dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
1,False,Shortcut endpoints must be distinct.,,,,,,,,,,,,,,,,,
2,False,Invalid shortcut: dst=2 is already a ring neighbour of src=1 for K=2.,,,,,,,,,,,,,,,,,
3,True,,0.991348764334004,0.008651235665994333,8000,True,86,5.187711870489185e-06,88,6.169438483870945e-06,False,528,0.0005119992184128802,578,0.0005093706849987723,50,0.9948661378385383,0.00047192465061792556,0.9264856901198839
4,True,,0.9938532287999838,0.006146771200014135,8000,True,85,1.045461884848215e-05,87,1.2439708564544016e-05,True,485,0.0010153293331785186,535,0.0010082625576387737,50,0.9930399178780523,3.837826292299912e-05,0.03806375892096625
5,True,,0.9954087242921188,0.004591275707879879,8000,True,78,6.344507121054275e-06,80,7.688205966199904e-06,False,454,0.0006149320035783584,504,0.0006107415076046115,50,0.9931854319674989,0.000495372402835307,0.8110999443581401
6,True,,0.9964696985809556,0.0035303014190429106,8000,True,79,1.2531491668888844e-05,81,1.5002380119162193e-05,True,459,0.0011418844962558503,509,0.001133220286966763,50,0.9924123592907192,2.6328831192711616e-05,0.023233639121643994
7,True,,0.9972407120477789,0.0027592879522202753,8000,True,70,7.2173797088875815e-06,72,8.948144498553254e-06,True,400,0.0007142942142006056,450,0.0007077450662329126,50,0.990831301951644,0.0004882891913907949,0.6899224236062753
8,True,,0.9978210091671449,0.0021789908328545124,8000,True,71,1.3513093799318093e-05,73,1.6437731743900033e-05,True,431,0.001247244344606085,481,0.0012367016346581617,50,0.991547197633313,1.920942864409379e-05,0.015532791504236584
9,True,,0.9982708880243819,0.0017291119756177049,8000,True,64,9.968076865349989e-06,66,1.251182531897403e-05,True,354,0.0008227048220519347,404,0.0008125345434467496,50,0.9876379980612985,0.0004606111483293578,0.5668819277214452
10,True,,0.9986237782662934,0.0013762217337055158,8000,True,63,1.487856986950519e-05,65,1.8509888797858132e-05,True,401,0.0013471845215940366,451,0.0013343787605649335,50,0.9904944268406893,1.4230392822670421e-05,0.010664432950540764
11,True,,0.9989048351649842,0.0010951648350151692,8000,True,56,1.045249662086064e-05,58,1.3624426168075073e-05,True,312,0.0009472459429310127,362,0.000932098818604812,50,0.9840093014499152,0.00041452024795775327,0.44471706184352555
12,True,,0.9991288275772452,0.0008711724227544122,8000,True,55,1.586118119955268e-05,57,2.0423171526369233e-05,True,367,0.001448938211647863,417,0.0014342670658806286,50,0.9898745538979546,1.0171815403140783e-05,0.007091995378765369
13,True,,0.9993088012906984,0.0006911987093009173,8000,True,50,1.3716538957301005e-05,52,1.8344013250847454e-05,True,274,0.0010939207095778498,324,0.001071394739257613,50,0.9794080410737177,0.000354255476241301,0.33064888529018766
14,True,,0.9994526553301101,0.0005473446698887952,8000,True,49,2.111931792083859e-05,51,2.783804002531944e-05,True,331,0.0015579328013315048,381,0.0015403197143892574,50,0.9886945785291932,6.8265446935565904e-06,0.004431901137007353
15,True,,0.9995681347591796,0.00043186524081991,8000,True,44,1.741729084203746e-05,46,2.4138918860810165e-05,True,238,0.0012697951994653377,288,0.0012372062189026924,50,0.9743352466788603,0.00028178919883486183,0.22776251406559156
16,True,,0.9996600528784709,0.00033994712152876335,8000,True,41,1.927268667606425e-05,43,2.734548318913478e-05,True,291,0.001681177609604958,341,0.0016592704064082085,50,0.9869691321894912,3.936747378556998e-06,0.002372577346858612
17,True,,0.9997333748160848,0.000266625183914981,8000,True,38,2.0963635426647744e-05,40,3.061965849102135e-05,True,204,0.0014855346445302045,254,0.0014375430066910439,50,0.9676940298794998,0.00020331800732730493,0.14143438240175166
18,True,,0.9997912667524467,0.00020873324755338064,8000,True,35,2.2286487675974994e-05,37,3.376447462508444e-05,True,243,0.0018324094583329143,293,0.0018048962261044586,50,0.9849852159934349,1.5393025742933826e-06,0.0008528482424807815
19,True,,0.9998370267677972,0.0001629732322024524,8000,True,32,2.295713659646743e-05,34,3.6470328424011777e-05,True,172,0.0017577683859765234,222,0.0016843955449482243,50,0.9582579584354415,0.00012736627822536914,0.07561542097838081
20,True,,0.9998728058201863,0.0001271941798134033,8000,True,29,2.2606180651197702e-05,31,3.827760821343776e-05,True,189,0.0020445660110702253,239,0.0020014568944926843,50,0.9789152728040433,2.600325842445898e-07,0.00012992165105334485
21,True,,0.9999008098373162,9.919016268348774e-05,8000,True,28,3.854427563310159e-05,30,6.337848904610333e-05,True,144,0.0021113493401098693,194,0.0019878356425804735,50,0.9415001131347746,6.792958338852948e-05,0.03417263577201378
