Wy,bx,corridor_halfwidth,corridor_band_width,start_x,target_x,wall_margin,delta_core,delta_open,phase,sep_peaks,valley_over_max,t_peak1,t_peak2,absorbed_mass,survival_tail
8,-0.12,0,1,7,58,5,0.95,0.6,1,0.6154136758594635,0.25257730045635673,532,2161,0.24913555463400378,0.7508644453657982
8,-0.08,0,1,7,58,5,0.95,0.6,1,0.5578125,0.12772383382679897,408,1836,0.5892832396723043,0.4107167603275631
8,-0.04,0,1,7,58,5,0.95,0.6,1,0.8273034249879402,0.0581841859808856,333,2048,0.8465795512265981,0.15342044877332042
8,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9578173186279609,0.04218268137199765
8,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999007957,9.918944343837896e-11
10,-0.12,0,1,7,58,5,0.95,0.6,1,0.6430600265101306,0.21452210712107328,526,2224,0.20985420621459375,0.7901457937852172
10,-0.08,0,1,7,58,5,0.95,0.6,1,0.5737736955247216,0.11153988883004883,404,1872,0.5162626145739431,0.48373738542591094
10,-0.04,0,1,7,58,5,0.95,0.6,1,0.756437315322921,0.056480594991181056,330,2122,0.7883111400773182,0.21168885992258715
10,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9412049266785115,0.05879507332144338
10,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999006589,9.932372730113283e-11
12,-0.12,0,1,7,58,5,0.95,0.6,1,0.6645173525507302,0.18636414454819092,523,2275,0.18595047145116672,0.8140495285486522
12,-0.08,0,1,7,58,5,0.95,0.6,1,0.5869012707722385,0.09794427808493357,401,1902,0.4651926429485547,0.5348073570512866
12,-0.04,0,1,7,58,5,0.95,0.6,1,0.7317841669948799,0.052924673766147734,327,2185,0.7371861291861219,0.2628138708137741
12,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.923629040695023,0.07637095930492538
12,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999005048,9.947856312738877e-11
14,-0.12,0,1,7,58,5,0.95,0.6,1,0.6822323462414579,0.1647018735245707,520,2317,0.16986220978470462,0.8301377902151298
14,-0.08,0,1,7,58,5,0.95,0.6,1,0.5974584555229716,0.08676417087411455,399,1927,0.4281608185465745,0.5718391814532721
14,-0.04,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.6940295021166594,0.30597049788323244
14,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9056687709376099,0.09433122906233128
14,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999003015,9.968111816043064e-11
16,-0.12,0,1,7,58,5,0.95,0.6,1,0.6965438663121915,0.14753358757079812,519,2353,0.1581736775886586,0.8418263224111605
16,-0.08,0,1,7,58,5,0.95,0.6,1,0.607471151965578,0.07760325520205376,397,1950,0.4001664162325017,0.5998335837673408
16,-0.04,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.6580832113890269,0.3419167886108554
16,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.8877734086325157,0.11222659136742424
16,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999999998291508,1.7083167613866786e-10
18,-0.12,0,1,7,58,5,0.95,0.6,1,0.7095916429249762,0.13360056999312067,518,2386,0.14920034207441485,0.8507996579254005
18,-0.08,0,1,7,58,5,0.95,0.6,1,0.615685507529826,0.07005996905679031,396,1970,0.37817503669713337,0.6218249633027034
18,-0.04,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.6281381163526405,0.3718618836472403
18,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.8702707903600982,0.12972920963983817
18,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999999945177811,5.482199213810536e-09
20,-0.12,0,1,7,58,5,0.95,0.6,1,0.7211246200607903,0.12207460006402668,517,2415,0.14203810605986444,0.8579618939399405
20,-0.08,0,1,7,58,5,0.95,0.6,1,0.6227263837277528,0.06379413747107152,396,1988,0.3603354257172006,0.6396645742826387
20,-0.04,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.6030193023866754,0.3969806976131996
20,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.8533887322795666,0.1466112677203637
20,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999999158957914,8.410418685957303e-08
22,-0.12,0,1,7,58,5,0.95,0.6,1,0.7313829787234043,0.11239100789983422,517,2442,0.13616165262046137,0.8638383473793425
22,-0.08,0,1,7,58,5,0.95,0.6,1,0.6301584197144533,0.05854069820521892,395,2006,0.3454891270579204,0.6545108729419176
22,-0.04,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.5817399631370287,0.4182600368628419
22,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.8372770349131284,0.16272296508680034
22,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999992687506605,7.312493167518535e-07
24,-0.12,0,1,7,58,5,0.95,0.6,1,0.7411206077872744,0.10415327456112036,516,2467,0.1312432363267338,0.8687567636730723
24,-0.08,0,1,7,58,5,0.95,0.6,1,0.6361681329423264,0.054100557697096874,395,2022,0.33288627612129323,0.6671137238785501
24,-0.04,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.5635186849390115,0.43648131506085064
24,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.8220262639895566,0.17797373601036787
24,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999958677413705,4.132258608845842e-06
26,-0.12,0,1,7,58,5,0.95,0.6,1,0.7490978157644824,0.09707650646431436,516,2488,0.12706548136269868,0.8729345186371161
26,-0.08,0,1,7,58,5,0.95,0.6,1,0.6424242424242425,0.05033032559287834,395,2038,0.3220234807342551,0.6779765192655813
26,-0.04,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.5477513745050687,0.4522486254947967
26,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.8076827949548819,0.19231720504504238
26,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999831828815328,1.6817118443670445e-05
28,-0.12,0,1,7,58,5,0.95,0.6,1,0.7561716672996582,0.09095196076261557,516,2507,0.1234766711000781,0.8765233288997493
28,-0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.3125504200499227,0.6874495799499188
28,-0.04,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.5339744144500941,0.4660255855497678
28,0.0,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.7942605926295431,0.20573940737037336
28,0.08,0,1,7,58,5,0.95,0.6,0,0.0,,,,0.9999468439783782,5.3156021597731515e-05
8,-0.12,1,3,7,58,5,0.95,0.6,1,0.5820262823230182,0.3246279089329771,586,1959,0.7450204858022142,0.2549795141976629
8,-0.08,1,3,7,58,5,0.95,0.6,2,1.8298784846318799,0.0822843186413291,425,1705,0.9305294599741717,0.06947054002576336
8,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9776142095181642,0.022385790481793857
8,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9892918994970881,0.01070810050288563
8,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999001573,9.982829822692898e-11
10,-0.12,1,3,7,58,5,0.95,0.6,1,0.5368242606893954,0.31378485735041867,574,1999,0.6756938783849626,0.32430612161491024
10,-0.08,1,3,7,58,5,0.95,0.6,2,1.6288532675709002,0.08768034338839657,419,1740,0.8884996290237638,0.11150037097615903
10,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9575325850828535,0.042467414917101834
10,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9823948779770194,0.01760512202294988
10,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999005941,9.939066652991541e-11
12,-0.12,1,3,7,58,5,0.95,0.6,1,0.5486526946107785,0.29654162098174547,566,2032,0.629494127039097,0.37050587296076704
12,-0.08,1,3,7,58,5,0.95,0.6,2,1.2103849597135183,0.08778272310254148,415,1767,0.8536809353669764,0.14631906463294075
12,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9360468366869427,0.06395316331299915
12,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9739714459190724,0.026028554080892566
12,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999005866,9.93970031782888e-11
14,-0.12,1,3,7,58,5,0.95,0.6,1,0.5638138138138138,0.2778802727740437,561,2063,0.5954656731292403,0.4045343268706212
14,-0.08,1,3,7,58,5,0.95,0.6,2,1.1120967741935484,0.08511305929562037,412,1791,0.8252121178835646,0.1747878821163461
14,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9151700776554343,0.08482992234450562
14,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9642198395621915,0.0357801604377696
14,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999001157,9.986833689310032e-11
16,-0.12,1,3,7,58,5,0.95,0.6,1,0.5775018811136192,0.2596895541065843,557,2092,0.5681971549889682,0.431802845010895
16,-0.08,1,3,7,58,5,0.95,0.6,2,1.0470500373412994,0.08111369086421352,410,1812,0.801229397854324,0.1987706021455813
16,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.8957259446073134,0.10427405539261969
16,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9534386709646708,0.046561329035287057
16,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999002455,9.973738650428247e-11
18,-0.12,1,3,7,58,5,0.95,0.6,1,0.5898982284206559,0.242697356777851,555,2120,0.54507773434462,0.45492226565523647
18,-0.08,1,3,7,58,5,0.95,0.6,1,0.9926803764377832,0.07658587366473477,408,1832,0.7802506956218838,0.219749304378022
18,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.8778801965021694,0.12211980349776005
18,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9419639377037855,0.05803606229616684
18,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9999999967991526,3.2008285795078717e-09
20,-0.12,1,3,7,58,5,0.95,0.6,1,0.6018867924528302,0.22714487482290288,553,2148,0.5248055796136941,0.47519442038615567
20,-0.08,1,3,7,58,5,0.95,0.6,1,0.9415605615409729,0.07196275317666824,408,1850,0.7613106611905361,0.23868933880936394
20,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.8615144288462254,0.13848557115370122
20,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9301200317697569,0.06987996823019389
20,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9999999435293467,5.647063303132097e-08
22,-0.12,1,3,7,58,5,0.95,0.6,1,0.6126534466477809,0.21305883312482965,552,2174,0.5066889769759444,0.493311023023909
22,-0.08,1,3,7,58,5,0.95,0.6,1,0.8946078431372549,0.06747734470571132,407,1867,0.7438269298832489,0.25617307011663987
22,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.8464240851271001,0.15357591487282263
22,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9181901922167751,0.0818098077831747
22,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.99999946536412,5.346358579555144e-07
24,-0.12,1,3,7,58,5,0.95,0.6,1,0.6223313810693368,0.20038108135706253,552,2199,0.4903280440561774,0.5096719559436672
24,-0.08,1,3,7,58,5,0.95,0.6,1,0.8497409326424871,0.06325557251494879,407,1883,0.7274609678885717,0.2725390321113158
