t,f_total,f_from_corridor,f_from_outer,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.9999999999999998
8,0.0,0.0,0.0,0.9999999999999998
9,0.0,0.0,0.0,0.9999999999999997
10,0.0,0.0,0.0,0.9999999999999997
11,0.0,0.0,0.0,0.9999999999999996
12,0.0,0.0,0.0,0.9999999999999996
13,0.0,0.0,0.0,0.9999999999999996
14,0.0,0.0,0.0,0.9999999999999994
15,0.0,0.0,0.0,0.9999999999999994
16,0.0,0.0,0.0,0.9999999999999994
17,0.0,0.0,0.0,0.9999999999999994
18,0.0,0.0,0.0,0.9999999999999994
19,0.0,0.0,0.0,0.9999999999999991
20,0.0,0.0,0.0,0.9999999999999991
21,0.0,0.0,0.0,0.9999999999999989
22,0.0,0.0,0.0,0.9999999999999989
23,0.0,0.0,0.0,0.9999999999999989
24,0.0,0.0,0.0,0.9999999999999989
25,0.0,0.0,0.0,0.9999999999999988
26,0.0,0.0,0.0,0.9999999999999988
27,0.0,0.0,0.0,0.9999999999999987
28,0.0,0.0,0.0,0.9999999999999987
29,0.0,0.0,0.0,0.9999999999999987
30,0.0,0.0,0.0,0.9999999999999987
31,0.0,0.0,0.0,0.9999999999999987
32,0.0,0.0,0.0,0.9999999999999987
33,0.0,0.0,0.0,0.9999999999999987
34,0.0,0.0,0.0,0.9999999999999987
35,0.0,0.0,0.0,0.9999999999999987
36,0.0,0.0,0.0,0.9999999999999984
37,0.0,0.0,0.0,0.9999999999999984
38,0.0,0.0,0.0,0.9999999999999982
39,0.0,0.0,0.0,0.9999999999999982
40,0.0,0.0,0.0,0.9999999999999982
41,0.0,0.0,0.0,0.9999999999999981
42,0.0,0.0,0.0,0.999999999999998
43,0.0,0.0,0.0,0.999999999999998
44,0.0,0.0,0.0,0.999999999999998
45,0.0,0.0,0.0,0.999999999999998
46,0.0,0.0,0.0,0.9999999999999979
47,0.0,0.0,0.0,0.9999999999999979
48,0.0,0.0,0.0,0.9999999999999978
49,0.0,0.0,0.0,0.9999999999999976
50,0.0,0.0,0.0,0.9999999999999976
51,1.3085555420893063e-24,1.3085555420893063e-24,0.0,0.9999999999999976
52,1.1907855433012689e-24,1.1907855433012689e-24,0.0,0.9999999999999976
53,1.5657626023312967e-22,1.5657626023312967e-22,0.0,0.9999999999999976
54,6.897732953693716e-22,6.897732953693716e-22,0.0,0.9999999999999976
55,5.8647754370095024e-21,5.8647754370095024e-21,0.0,0.9999999999999973
56,2.4990603985681284e-20,2.4990603985681284e-20,0.0,0.9999999999999973
57,1.1805361304484084e-19,1.1805361304484084e-19,0.0,0.9999999999999973
58,4.2667817150991624e-19,4.2667817150991624e-19,0.0,0.9999999999999973
59,1.5053668661427644e-18,1.5053668661427644e-18,0.0,0.9999999999999973
60,4.6351382002593065e-18,4.6351382002593065e-18,0.0,0.9999999999999973
61,1.357789222336242e-17,1.357789222336242e-17,0.0,0.9999999999999973
62,3.654678860609251e-17,3.654678860609251e-17,0.0,0.9999999999999973
63,9.35648846471099e-17,9.35648846471099e-17,0.0,0.9999999999999972
64,2.2555947047917744e-16,2.2555947047917744e-16,0.0,0.999999999999997
65,5.20101108324631e-16,5.20101108324631e-16,0.0,0.9999999999999962
66,1.1449386142609536e-15,1.1449386142609536e-15,0.0,0.9999999999999951
67,2.4257332473172776e-15,2.4257332473172776e-15,0.0,0.9999999999999927
68,4.950016847691161e-15,4.950016847691161e-15,0.0,0.9999999999999877
69,9.774978103542298e-15,9.774978103542298e-15,0.0,0.9999999999999779
70,1.8707851430837613e-14,1.8707851430837613e-14,0.0,0.9999999999999591
