t,f_any,f_m1_first,f_m2_first,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,1.0
11,9.617168744835696e-06,9.617168744835696e-06,0.0,0.9999903828312552
12,4.808584372417847e-06,4.808584372417847e-06,0.0,0.9999855742468827
13,2.673671817220214e-05,2.673671817220214e-05,0.0,0.9999588375287104
14,2.1036667705624762e-05,2.1036667705624762e-05,0.0,0.9999378008610047
15,5.001460047160457e-05,5.001460047160457e-05,0.0,0.9998877862605331
16,5.006222339116141e-05,5.006222339116141e-05,0.0,0.9998377240371419
17,8.204552801121317e-05,8.204552801121317e-05,0.0,0.9997556785091306
18,9.151732485209166e-05,9.151732485209166e-05,0.0,0.9996641611842785
19,0.00012549675001166373,0.00012549675001166373,0.0,0.9995386644342668
20,0.0001449738800991632,0.0001449738800991632,0.0,0.9993936905541676
21,0.00018143554616912357,0.00018143554616912357,0.0,0.9992122550079984
22,0.00020986625278244646,0.00020986625278244646,0.0,0.999002388755216
23,0.0002494422039037193,0.0002494422039037193,0.0,0.9987529465513122
24,0.00028524154410472773,0.00028524154410472773,0.0,0.9984677050072075
25,0.00032817229793492337,0.00032817229793492337,0.0,0.9981395327092725
26,0.0003697438252211598,0.0003697438252211598,0.0,0.9977697888840513
27,0.0004158338863284603,0.0004158338863284603,0.0,0.9973539549977228
28,0.00046174585530284293,0.00046174585530284293,0.0,0.9968922091424199
29,0.0005104935618856002,0.0005104935618856002,0.0,0.9963817155805343
30,0.0005595084973110867,0.0005595084973110867,0.0,0.9958222070832232
31,0.0006102517568341902,0.0006102517568341902,0.0,0.9952119553263891
32,0.0006613102720088534,0.0006613102720088534,0.0,0.9945506450543802
33,0.000713336702122306,0.000713336702122306,0.0,0.9938373083522579
34,0.0007655341678188122,0.0007655341678188122,0.0,0.9930717741844391
35,0.0008181508688332293,0.0008181508688332293,0.0,0.9922536233156058
36,0.0008707175344281448,0.0008707175344281448,0.0,0.9913829057811777
37,0.0009232898383967817,0.0009232898383967817,0.0,0.9904596159427809
38,0.0009755752626961445,0.0009755752626961445,0.0,0.9894840406800847
39,0.0010275449762101089,0.0010275449762101089,0.0,0.9884564957038745
40,0.0010790053566523056,0.0010790053566523056,0.0,0.9873774903472221
41,0.0011298965371811245,0.0011298965371811245,0.0,0.986247593810041
42,0.0011800836380038424,0.0011800836380038424,0.0,0.9850675101720371
43,0.001229501242302865,0.001229501242302865,0.0,0.9838380089297343
44,0.0012780521808270736,0.0012780521808270736,0.0,0.9825599567489072
45,0.0013256768954151915,0.0013256768954151915,0.0,0.981234279853492
46,0.0013723044860956548,0.0013723044860956548,7.414938933106546e-21,0.9798619753673963
47,0.001417885717718582,0.001417885717718582,1.1493155346315146e-20,0.9784440896496777
48,0.0014623693185904954,0.0014623693185904954,9.310334590579144e-20,0.9769817203310871
49,0.001505717500320386,0.0015057175003203858,1.6191163631523354e-19,0.9754760028307667
50,0.0015478944084871909,0.0015478944084871902,6.525932357600553e-19,0.9739281084222795
51,0.0015888732835414822,0.0015888732835414809,1.1971597779312126e-18,0.972339235138738
52,0.0016286307480238276,0.0016286307480238241,3.3722930161341385e-18,0.9707106043907141
53,0.001667149999780824,0.0016671499997808177,6.245976775144891e-18,0.9690434543909333
54,0.001704417905137697,0.0017044179051376826,1.4256113670469737e-17,0.9673390364857954
55,0.0017404263269439426,0.0017404263269439166,2.5959894795795362e-17,0.9655986101588514
56,0.0017751705744189536,0.0017751705744189017,5.191215439906301e-17,0.9638234395844324
