t,f_any,f_m1_first,f_m2_first,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0000000000000002
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0000000000000002
6,0.0,0.0,0.0,1.0000000000000002
7,1.0210252500000006e-06,1.0210252500000006e-06,0.0,0.9999989789747502
8,4.574193120000002e-06,4.574193120000002e-06,0.0,0.9999944047816303
9,1.2076458141825008e-05,1.2076458141825008e-05,0.0,0.9999823283234885
10,2.4602271246504017e-05,2.4602271246504017e-05,0.0,0.9999577260522421
11,4.283680382391115e-05,4.283680382391115e-05,0.0,0.9999148892484181
12,6.708687711736646e-05,6.708687711736646e-05,0.0,0.9998478023713009
13,9.729825804848143e-05,9.729825804848143e-05,0.0,0.9997505041132524
14,0.00013308058906483916,0.00013308058906483916,0.0,0.9996174235241875
15,0.0001737507223329963,0.0001737507223329963,0.0,0.9994436728018545
16,0.00021839690770613193,0.00021839690770611227,1.9638061523437523e-17,0.9992252758941484
17,0.0002659571912017856,0.0002659571912015437,2.419409179687503e-16,0.9989593187029469
18,0.00031530132154708815,0.00031530132154549974,1.5884276611328146e-15,0.9986440173813997
19,0.00036530609330780905,0.0003653060933004253,7.383726273193368e-15,0.9982787112880918
20,0.0004149171832342757,0.0004149171832070226,2.7253086693723283e-14,0.9978637941048577
21,0.00046319420581971646,0.00046319420573476207,8.495438772919485e-14,0.997400599899038
22,0.0005093387866720988,0.0005093387864397163,2.323824651219478e-13,0.9968912611123659
23,0.0005527075107831167,0.0005527075102107241,5.723926212484944e-13,0.9963385536015827
24,0.0005928126728482619,0.0005928126715549812,1.2932806969419883e-12,0.9957457409287346
25,0.0006293140626390815,0.0006293140599214116,2.7176698595216352e-12,0.9951164268660956
26,0.0006620048264293708,0.0006620048210611996,5.368171196428825e-12,0.9944544220396662
27,0.0006907939862118263,0.000690793976160297,1.0051529260497564e-11,0.9937636280534545
28,0.0007156876402194124,0.0007156876222573208,1.7962091708524217e-11,0.9930479404132351
29,0.0007367703181562157,0.0007367702873517822,3.0804433414693455e-11,0.992311170095079
30,0.0007541874807649317,0.0007541874298310227,5.093390904943124e-11,0.991556982614314
31,0.0007681297599810299,0.0007681296784681385,8.151289135039926e-11,0.9907888528543332
32,0.0007788192357135102,0.0007788191090339589,1.2667955132164344e-10,0.9900100336186195
33,0.0007864978293728939,0.0007864976376475835,1.9172531027309922e-10,0.9892235357892467
34,0.0007914177486507341,0.0007914174653741535,2.832765805863065e-10,0.988432118040596
35,0.0007938338276504525,0.0007938334181743221,4.0947613044231777e-10,0.9876382842129457
36,0.0007939975572767682,0.0007939969771174114,5.801593567976189e-10,0.9868442866556688
37,0.0007921525809019079,0.0007921517738809935,8.070209143833073e-10,0.986052134074767
38,0.000788531430200722,0.0007885303264332235,1.1037674984743624e-09,0.9852636026445665
39,0.0007833532883922665,0.0007833518021391865,1.4862530800229691e-09,0.9844802493561742
40,0.0007768225875953335,0.0007768206150018295,1.972593504015401e-09,0.9837034267685789
41,0.0007691282698344163,0.0007691256865763708,2.583258045567528e-09,0.9829342984987446
42,0.0007604435648841514,0.0007604402237479161,3.3411362353353917e-09,0.9821738549338606
43,0.0007509261609975626,0.0007509218894185803,4.27157898225211e-09,0.9814229287728631
44,0.0007407186656745588,0.0007407132632608502,5.402413708560552e-09,0.9806822101071885
45,0.0007299492725049656,0.0007299425085711191,6.76393384655539e-09,0.9799522608346835
46,0.0007187325665902765,0.0007187241777266652,8.388863611289422e-09,0.9792335282680933
47,0.0007071704151363565,0.0007071601028369092,1.031229944735068e-08,0.978526357852957
48,0.000695352901662123,0.0006953403300321785,1.2571629944476593e-08,0.9778310049512949
49,0.0006833592720983169,0.0006833440656619923,1.5206436324533293e-08,0.9771476456791967
