t,f_any,f_m1_first,f_m2_first,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0000000000000002
3,0.0,0.0,0.0,1.0000000000000002
4,0.0,0.0,0.0,1.0000000000000002
5,0.0,0.0,0.0,1.0000000000000004
6,0.0,0.0,0.0,1.0000000000000004
7,7.812500000000004e-10,7.812500000000004e-10,0.0,0.9999999992187505
8,4.375000000000004e-09,4.375000000000004e-09,0.0,0.9999999948437506
9,1.415039062500001e-08,1.415039062500001e-08,0.0,0.9999999806933599
10,3.4682812500000015e-08,3.4682812500000015e-08,0.0,0.9999999460105475
11,7.154434082031252e-08,7.154434082031252e-08,0.0,0.9999998744662071
12,1.3109219921875007e-07,1.3109219921875007e-07,0.0,0.9999997433740078
13,2.20280985107422e-07,2.20280985107422e-07,0.0,0.9999995230930226
14,3.464983351171878e-07,3.464983351171878e-07,0.0,0.9999991765946876
15,5.174151671938785e-07,5.174151671938785e-07,0.0,0.9999986591795205
16,7.408423338766333e-07,7.408423338765387e-07,9.459558105468757e-20,0.9999979183371865
17,1.0245895379451869e-06,1.024589537943925e-06,1.2618368261718762e-18,0.9999968937476487
18,1.3763264368530742e-06,1.3763264368441169e-06,8.957367029080819e-18,0.999995517421212
19,1.80344865714661e-06,1.8034486571016498e-06,4.496001428935869e-17,0.9999937139725547
20,2.3129527247789304e-06,2.312952724599976e-06,1.7895428861490752e-16,0.99999140101983
21,2.9113239747965793e-06,2.9113239741957624e-06,6.008167781181125e-16,0.9999884896958552
22,3.6044407693542043e-06,3.604440767586301e-06,1.7679036020032152e-15,0.9999848852550859
23,4.397497231144127e-06,4.397497226465366e-06,4.678761312622397e-15,0.9999804877578546
24,5.294945494040332e-06,5.2949454826952865e-06,1.1345045933952942e-14,0.9999751928123608
25,6.3004573774011785e-06,6.300457351845169e-06,2.5556010191683853e-14,0.9999688923549835
26,7.416904505435146e-06,7.416904451381824e-06,5.405332223355979e-14,0.9999614754504781
27,8.646355251580015e-06,8.646355143323405e-06,1.0825660993662188e-13,0.9999528290952266
28,9.99008648070352e-06,9.990086274003191e-06,2.0670032889405255e-13,0.9999428390087459
29,1.1448607856787177e-05,1.1448607478428403e-05,3.783587742198362e-13,0.9999313904008893
30,1.3021696438997158e-05,1.3021695771950189e-05,6.670469690672516e-13,0.9999183687044502
31,1.4708439362483169e-05,1.4708438225393408e-05,1.1370897606738573e-12,0.9999036602650879
32,1.650728255395154e-05,1.6507280673502428e-05,1.8804491096737674e-12,0.9998871529825342
33,1.8416083634550475e-05,1.8416080609060437e-05,3.0254900381966083e-12,0.9998687368988994
34,2.0432167389335703e-05,2.0432162641786547e-05,4.747549157078768e-12,0.9998483047315101
35,2.2552382415464164e-05,2.255237513401755e-05,7.281446615826176e-12,0.9998257523490947
36,2.4773157787728353e-05,2.477314685167486e-05,1.0936053490759143e-11,0.999800979191307
37,2.709055879197552e-05,2.7090542680982474e-05,1.6110993046335318e-11,0.9997738886325152
38,2.9500340969639647e-05,2.9500317654122528e-05,2.3315517119692295e-11,0.9997443882915455
39,3.1998001887826464e-05,3.199796869826715e-05,3.318955931582325e-11,0.9997123902896576
40,3.4578830198649064e-05,3.457878367172306e-05,4.652692600293852e-11,0.9996778114594592
41,3.723795167948362e-05,3.7237887378938155e-05,6.430054546744162e-11,0.9996405735077796
42,3.997037205388098e-05,3.997028436422484e-05,8.768965614404773e-11,0.9996006031357259
43,4.277101648280157e-05,4.277089837402399e-05,1.1810877757853842e-10,0.9995578321192431
44,4.5634765689576986e-05,4.5634608451303424e-05,1.5723827356536528e-10,0.9995121973535538
45,4.8556488741498614e-05,4.8556281685212184e-05,2.0705628642970825e-10,0.9994636408648122
46,5.153107255807407e-05,5.153080268627884e-05,2.6987179523096455e-10,0.9994121097922541
