t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,1,nan,nan,nan,nan,nan,nan
8,5,nan,nan,nan,nan,nan,nan
9,7,nan,nan,nan,nan,nan,nan
10,9,nan,nan,nan,nan,nan,nan
11,13,nan,nan,nan,nan,nan,nan
12,13,nan,nan,nan,nan,nan,nan
13,23,nan,nan,nan,nan,nan,nan
14,21,nan,nan,nan,nan,nan,nan
15,17,nan,nan,nan,nan,nan,nan
16,28,nan,nan,nan,nan,nan,nan
17,27,nan,nan,nan,nan,nan,nan
18,41,nan,nan,nan,nan,nan,nan
19,28,nan,nan,nan,nan,nan,nan
20,37,nan,nan,nan,nan,nan,nan
21,32,nan,nan,nan,nan,nan,nan
22,34,nan,nan,nan,nan,nan,nan
23,34,nan,nan,nan,nan,nan,nan
24,42,nan,nan,nan,nan,nan,nan
25,50,1.0,0.0,0.0,1.0,0.0,0.0
26,24,nan,nan,nan,nan,nan,nan
27,37,nan,nan,nan,nan,nan,nan
28,52,1.0,0.0,0.0,1.0,0.0,0.0
29,37,nan,nan,nan,nan,nan,nan
30,43,nan,nan,nan,nan,nan,nan
31,53,1.0,0.0,0.0,1.0,0.0,0.0
32,47,nan,nan,nan,nan,nan,nan
33,40,nan,nan,nan,nan,nan,nan
34,54,1.0,0.0,0.0,1.0,0.0,0.0
35,46,nan,nan,nan,nan,nan,nan
36,59,1.0,0.0,0.0,1.0,0.0,0.0
37,48,nan,nan,nan,nan,nan,nan
38,46,nan,nan,nan,nan,nan,nan
39,38,nan,nan,nan,nan,nan,nan
40,42,nan,nan,nan,nan,nan,nan
41,57,1.0,0.0,0.0,1.0,0.0,0.0
42,59,1.0,0.0,0.0,1.0,0.0,0.0
43,48,nan,nan,nan,nan,nan,nan
44,54,1.0,0.0,0.0,1.0,0.0,0.0
45,54,1.0,0.0,0.0,1.0,0.0,0.0
46,54,1.0,0.0,0.0,1.0,0.0,0.0
47,61,1.0,0.0,0.0,1.0,0.0,0.0
48,49,nan,nan,nan,nan,nan,nan
49,44,nan,nan,nan,nan,nan,nan
50,51,1.0,0.0,0.0,1.0,0.0,0.0
51,58,1.0,0.0,0.0,1.0,0.0,0.0
52,51,1.0,0.0,0.0,1.0,0.0,0.0
53,47,nan,nan,nan,nan,nan,nan
54,60,1.0,0.0,0.0,1.0,0.0,0.0
55,47,nan,nan,nan,nan,nan,nan
56,48,nan,nan,nan,nan,nan,nan
