N,K,beta,t1,tv,t2,h1,hv,h2,tail_gamma,aw_mass_in_window,paper_bimodal
50,2,0.01,298,,,0.0010437212185321078,,,0.0014253062198217078,0.9999999524546735,False
52,2,0.01,322,,,0.0009670469493894248,,,0.001322806279407083,0.9999998376242618,False
54,2,0.01,346,,,0.0008986272365253139,,,0.0012312720548551782,0.9999995134120884,False
56,2,0.01,371,,,0.0008373127862331563,,,0.001149181574569651,0.9999986978239872,False
58,2,0.01,397,,,0.0007821490672968604,,,0.0010752689038486469,0.9999968408016583,False
60,2,0.01,54,66.0,424.0,0.00013233059676111302,0.00013199910104635016,0.0007323361136355865,0.0010084740493208708,0.9775516705764229,True
62,2,0.01,53,74.0,452.0,0.00013224855844692584,0.00013079821363047264,0.0006871997207281702,0.0009479039506714546,0.9714166351387414,True
64,2,0.01,53,81.0,480.0,0.00013222102027343811,0.00012929114008210116,0.0006461692781442973,0.0008928018387330324,0.9643928070407075,True
66,2,0.01,53,89.0,510.0,0.0001322105644843481,0.00012757475276056906,0.000608759380698883,0.000842522968494715,0.9564911320899776,True
68,2,0.01,53,96.0,540.0,0.0001322067795504112,0.00012571221808565505,0.000574554089307913,0.0007965152537565556,0.9477371537060889,True
70,2,0.01,53,104.0,570.0,0.0001322054755346438,0.00012374875281759051,0.0005431953371540257,0.0007543037026524538,0.9381685901142791,True
72,2,0.01,53,112.0,602.0,0.00013220504878476598,0.00012171781097299178,0.0005143746583910973,0.0007154778240815868,0.9278328516807354,True
74,2,0.01,53,120.0,635.0,0.00013220491642546015,0.00011964312801953127,0.0004878231014367969,0.000679681373506709,0.9167846483998617,True
76,2,0.01,53,128.0,668.0,0.0001322048776192932,0.00011754505351044145,0.00046330796710985513,0.0006466039539520743,0.905083787523616,True
78,2,0.01,53,136.0,702.0,0.00013220486689783213,0.0001154412696900499,0.0004406245978498815,0.0006159740979803136,0.8927932198595672,True
80,2,0.01,53,145.0,736.0,0.00013220486411868462,0.00011334160631902835,0.00041959404822419067,0.0005875535391817065,0.8799773610548262,True
82,2,0.01,53,154.0,772.0,0.0001322048634487102,0.00011125729538628883,0.00040005861736377806,0.0005611324448749101,0.8667006916061271,True
84,2,0.01,53,163.0,808.0,0.00013220486330299186,0.00010919554660608087,0.00038187895796634334,0.0005365254298851394,0.8530266232047758,True
86,2,0.01,53,173.0,845.0,0.00013220486327891694,0.0001071614989915774,0.0003649317058880851,0.0005135682082981739,0.8390166096765567,True
88,2,0.01,53,183.0,883.0,0.00013220486328127329,0.00010516056418254083,0.00034910723018391574,0.000492114768963685,0.8247294754083367,True
90,2,0.01,53,193.0,921.0,0.00013220486328915842,0.00010319486770510132,0.0003343079229544543,0.0004720349832290985,0.8102209322566857,True
92,2,0.01,53,203.0,960.0,0.00013220486329832985,0.00010126718162900165,0.00032044646990014565,0.00045321257066560845,0.7955432561398212,True
94,2,0.01,53,213.0,1000.0,0.0001322048633079475,9.938043912059568e-05,0.0003074448264834879,0.00043554336294654623,0.7807450961735514,True
96,2,0.01,53,224.0,1041.0,0.0001322048633178198,9.753431758535579e-05,0.00029523281997014434,0.00041893381679368994,0.7658713915501163,True
98,2,0.01,53,235.0,1082.0,0.00013220486332786126,9.573055607036072e-05,0.0002837473007128549,0.0004032997359893272,0.7509633741694599,True
100,2,0.01,53,247.0,1124.0,0.0001322048633379766,9.396862240170813e-05,0.00027293141577065246,0.00038856516953363404,0.7360586379985082,True
102,2,0.01,53,259.0,1167.0,0.00013220486334818092,9.224951963968353e-05,0.00026273375952454576,0.0003746614585738157,0.7211912588499522,True
104,2,0.01,53,271.0,1211.0,0.0001322048633583757,9.057222623062391e-05,0.00025310771450121067,0.00036152640973242375,0.7063919507556177,True
106,2,0.01,53,283.0,1255.0,0.0001322048633685147,8.893637444958435e-05,0.0002440110720282037,0.000349103575823444,0.6916882476831216,True
108,2,0.01,53,295.0,1300.0,0.00013220486337854904,8.734195451773971e-05,0.0002354054042667864,0.00033734162850981365,0.6771047012908076,True
110,2,0.01,53,308.0,1345.0,0.00013220486338843794,8.578770916797952e-05,0.00022725574322346125,0.00032619380946517985,0.6626630870287469,True
112,2,0.01,53,321.0,1392.0,0.0001322048633981483,8.427325939763661e-05,0.00021953021682469446,0.0003156174491488204,0.6483826128201567,True
114,2,0.01,53,335.0,1439.0,0.00013220486340766876,8.279736263608796e-05,0.00021219964689160137,0.0003055735437992825,0.6342801255493613,True
116,2,0.01,53,349.0,1486.0,0.00013220486341692018,8.135954957174966e-05,0.0002052373660515141,0.00029602638269051113,0.620370311824651,True
118,2,0.01,53,363.0,1535.0,0.00013220486342593372,7.995855374138733e-05,0.00019861891018410643,0.0002869432189665934,0.606665890396457,True
120,2,0.01,53,377.0,1584.0,0.00013220486343467025,7.859350683641107e-05,0.00019232183487806592,0.0002782939782784378,0.5931777944172395,True
122,2,0.01,53,392.0,1633.0,0.00013220486344308932,7.72635807628997e-05,0.00018632549941595923,0.00027005100039043263,0.5799153423455581,True
124,2,0.01,53,407.0,1684.0,0.00013220486345122637,7.596765308467072e-05,0.00018061088602256255,0.00026218880954088545,0.5668863966576048,True
126,2,0.01,53,422.0,1735.0,0.00013220486345903037,7.470473993924133e-05,0.00017516048581060726,0.00025468390988444704,0.5540975103805812,True
128,2,0.01,53,438.0,1786.0,0.00013220486346650852,7.34740681295063e-05,0.00016995812657992474,0.00024751460302593344,0.5415540611761799,True
130,2,0.01,53,453.0,1838.0,0.00013220486347362978,7.227445646423366e-05,0.00016498883769094225,0.00024066082494030266,0.5292603734986752,True
132,2,0.01,53,470.0,1891.0,0.00013220486348041667,7.110505453400642e-05,0.0001602388038882428,0.00023410399985319,0.5172198292707625,True
134,2,0.01,53,486.0,1945.0,0.0001322048634868713,6.996496127552543e-05,0.00015569519702408934,0.0002278269092624189,0.5054349676420238,True
136,2,0.01,53,503.0,1999.0,0.00013220486349301095,6.885330052923037e-05,0.00015134611608443537,0.0002218135741438915,0.493907574639752,True
138,2,0.01,53,520.0,2054.0,0.00013220486349881078,6.776919863736342e-05,0.00014718052165343186,0.00021604914906671715,0.48263876336138023,True
140,2,0.01,53,538.0,2109.0,0.00013220486350425708,6.671178738948306e-05,0.00014318813804114873,0.00021051982661272618,0.47162904569951813,True
142,2,0.01,53,555.0,2166.0,0.0001322048635093771,6.568025486945733e-05,0.00013935941607812777,0.00020521275115685717,0.4608783961019688,True
144,2,0.01,53,574.0,2222.0,0.0001322048635141955,6.467371988003813e-05,0.00013568545105824105,0.00020011594088290173,0.4503863084998747,True
146,2,0.01,53,592.0,2280.0,0.00013220486351868174,6.369146487316859e-05,0.00013215792722053897,0.0001952182171916758,0.4401518466920382,True
148,2,0.01,53,611.0,2337.0,0.00013220486352287603,6.273275605088434e-05,0.00012876910133668507,0.00019050914069138294,0.43017368934400024,True
150,2,0.01,53,630.0,2396.0,0.00013220486352674997,6.17968349526145e-05,0.000125511729801809,0.00018597895300726834,0.4204501699247963,True
152,2,0.01,53,649.0,2455.0,0.000132204863530352,6.088302948347982e-05,0.00012237902987463138,0.00018161852400078488,0.4109793122728569,True
154,2,0.01,53,669.0,2515.0,0.0001322048635336677,5.9990567859747235e-05,0.00011936466357993433,0.00017741930358161704,0.40175886232933483,True
156,2,0.01,53,689.0,2575.0,0.00013220486353670937,5.911887461683559e-05,0.00011646268758270488,0.00017337327793193622,0.3927863165835251,True
158,2,0.01,53,710.0,2636.0,0.00013220486353948357,5.826725609689054e-05,0.00011366753100758906,0.000169472929364146,0.3840589474317624,True
