N,K,beta,t1,tv,t2,h1,hv,h2,h2_over_h1,hv_over_max,tail_gamma,aw_mass_in_window
100,2,0.0,1250,,,0.0002467581599459377,,,,,0.00032901387532833403,0.6585595950634304
100,2,0.01,53,247.0,1124.0,0.0001322048633379766,9.396862240170813e-05,0.00027293141577065246,2.0644582118958357,0.34429390305391255,0.00038856516953363404,0.7360586379985082
100,2,0.02,51,291.0,1022.0,0.0002595871506590295,0.00016894454359751788,0.0002941192119505788,1.1330268513055468,0.5744083920159077,0.0004417350426479541,0.7909807372531175
100,2,0.03,50,329.0,935.0,0.00038249692737188406,0.00022995450202690823,0.0003117724284564475,0.8150978639191149,0.6011930699859822,0.0004892186906938312,0.8308458511528435
100,2,0.04,49,367.0,856.0,0.0005012304065382927,0.0002790730575490149,0.0003269359404513311,0.6522667742950548,0.5567759934526127,0.0005316527492122684,0.8604216013417185
100,2,0.05,48,410.0,780.0,0.0006160585421639933,0.0003177968445205325,0.0003404485403765287,0.5526236827764043,0.5158549435971228,0.0005696140990941132,0.882806006259359
100,2,0.06,47,465.0,697.0,0.0007272232823739229,0.0003471849622014663,0.0003531547005484557,0.48562072902235687,0.4774117806956449,0.0006036209215360402,0.9000588448849383
100,2,0.07,46,,,0.0008349388352893088,,,,,0.0006341353615994101,0.9135791060347407
100,2,0.08,45,,,0.0009393926234279684,,,,,0.0006615672386418499,0.9243359868769583
100,2,0.09,45,,,0.0010407473732079561,,,,,0.0006862783463946656,0.933013408422595
100,2,0.1,44,,,0.0011392595403375554,,,,,0.000708586994054474,0.9401023131574759
100,2,0.11,43,,,0.001234978316306435,,,,,0.0007287725373822453,0.9459607668311717
100,2,0.12,42,,,0.0013280002752978936,,,,,0.0007470797305880618,0.9508538139133528
100,2,0.13,42,,,0.0014186489856485675,,,,,0.0007637227939394366,0.9549803624037586
100,2,0.14,41,,,0.001506812814094331,,,,,0.0007788891399832113,0.9584916123993255
100,2,0.15,41,,,0.00159276346444353,,,,,0.000792742735523007,0.9615038799349809
