t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,4,nan,nan,nan,nan,nan,nan
7,8,nan,nan,nan,nan,nan,nan
8,11,nan,nan,nan,nan,nan,nan
9,14,nan,nan,nan,nan,nan,nan
10,14,nan,nan,nan,nan,nan,nan
11,12,nan,nan,nan,nan,nan,nan
12,18,nan,nan,nan,nan,nan,nan
13,15,nan,nan,nan,nan,nan,nan
14,17,nan,nan,nan,nan,nan,nan
15,15,nan,nan,nan,nan,nan,nan
16,18,nan,nan,nan,nan,nan,nan
17,27,nan,nan,nan,nan,nan,nan
18,12,nan,nan,nan,nan,nan,nan
19,22,nan,nan,nan,nan,nan,nan
20,25,nan,nan,nan,nan,nan,nan
21,18,nan,nan,nan,nan,nan,nan
22,24,nan,nan,nan,nan,nan,nan
23,17,nan,nan,nan,nan,nan,nan
24,23,nan,nan,nan,nan,nan,nan
25,21,nan,nan,nan,nan,nan,nan
26,14,nan,nan,nan,nan,nan,nan
27,13,nan,nan,nan,nan,nan,nan
28,20,nan,nan,nan,nan,nan,nan
29,19,nan,nan,nan,nan,nan,nan
30,16,nan,nan,nan,nan,nan,nan
31,23,nan,nan,nan,nan,nan,nan
32,25,nan,nan,nan,nan,nan,nan
33,18,nan,nan,nan,nan,nan,nan
34,25,nan,nan,nan,nan,nan,nan
35,19,nan,nan,nan,nan,nan,nan
36,21,nan,nan,nan,nan,nan,nan
37,23,nan,nan,nan,nan,nan,nan
38,24,nan,nan,nan,nan,nan,nan
39,29,nan,nan,nan,nan,nan,nan
40,24,nan,nan,nan,nan,nan,nan
41,21,nan,nan,nan,nan,nan,nan
42,14,nan,nan,nan,nan,nan,nan
43,24,nan,nan,nan,nan,nan,nan
44,17,nan,nan,nan,nan,nan,nan
45,21,nan,nan,nan,nan,nan,nan
46,31,nan,nan,nan,nan,nan,nan
47,16,nan,nan,nan,nan,nan,nan
48,33,nan,nan,nan,nan,nan,nan
49,24,nan,nan,nan,nan,nan,nan
50,27,nan,nan,nan,nan,nan,nan
51,12,nan,nan,nan,nan,nan,nan
52,21,nan,nan,nan,nan,nan,nan
53,22,nan,nan,nan,nan,nan,nan
54,31,nan,nan,nan,nan,nan,nan
55,14,nan,nan,nan,nan,nan,nan
56,17,nan,nan,nan,nan,nan,nan
57,23,nan,nan,nan,nan,nan,nan
58,29,nan,nan,nan,nan,nan,nan
59,24,nan,nan,nan,nan,nan,nan
60,21,nan,nan,nan,nan,nan,nan
61,16,nan,nan,nan,nan,nan,nan
