N,K,beta,window,metric,value
50,2,0.01,other,P(C>=1|window),0.0890466042060396
50,2,0.01,other,P(J>=1|window),0.0
60,2,0.01,other,P(C>=1|window),0.1040397820473679
60,2,0.01,other,P(J>=1|window),0.0
70,2,0.01,other,P(C>=1|window),0.11729295877417
70,2,0.01,other,P(J>=1|window),0.0
80,2,0.01,other,P(C>=1|window),0.1331591185219322
80,2,0.01,other,P(J>=1|window),0.0
90,2,0.01,other,P(C>=1|window),0.14574092371082
90,2,0.01,other,P(J>=1|window),0.0
100,2,0.01,other,P(C>=1|window),0.1629752588728164
100,2,0.01,other,P(J>=1|window),0.0
110,2,0.01,other,P(C>=1|window),0.179248473064649
110,2,0.01,other,P(J>=1|window),0.0
120,2,0.01,other,P(C>=1|window),0.1921162947221147
120,2,0.01,other,P(J>=1|window),0.0
130,2,0.01,other,P(C>=1|window),0.2057053391359728
130,2,0.01,other,P(J>=1|window),0.0
140,2,0.01,other,P(C>=1|window),0.2194909446371745
140,2,0.01,other,P(J>=1|window),0.0
150,2,0.01,other,P(C>=1|window),0.2316037056592905
150,2,0.01,other,P(J>=1|window),0.0
160,2,0.01,other,P(C>=1|window),0.2438134958827932
160,2,0.01,other,P(J>=1|window),0.0
170,2,0.01,other,P(C>=1|window),0.2541062283829798
170,2,0.01,other,P(J>=1|window),0.0
180,2,0.01,other,P(C>=1|window),0.2652275679912387
180,2,0.01,other,P(J>=1|window),0.0
190,2,0.01,other,P(C>=1|window),0.2782545071096932
190,2,0.01,other,P(J>=1|window),0.0
200,2,0.01,other,P(C>=1|window),0.2893911468942994
200,2,0.01,other,P(J>=1|window),0.0
210,2,0.01,other,P(C>=1|window),0.3011477461316605
210,2,0.01,other,P(J>=1|window),0.0
220,2,0.01,other,P(C>=1|window),0.3128079213005312
220,2,0.01,other,P(J>=1|window),0.0
230,2,0.01,other,P(C>=1|window),0.321970786588679
230,2,0.01,other,P(J>=1|window),0.0
240,2,0.01,other,P(C>=1|window),0.3333404247397897
240,2,0.01,other,P(J>=1|window),0.0
250,2,0.01,other,P(C>=1|window),0.3437276460458339
250,2,0.01,other,P(J>=1|window),0.0
260,2,0.01,other,P(C>=1|window),0.3543858907345845
260,2,0.01,other,P(J>=1|window),0.0
270,2,0.01,other,P(C>=1|window),0.3637652889076339
270,2,0.01,other,P(J>=1|window),0.0
280,2,0.01,other,P(C>=1|window),0.3723717874477516
280,2,0.01,other,P(J>=1|window),0.0
290,2,0.01,other,P(C>=1|window),0.3806250394462794
290,2,0.01,other,P(J>=1|window),0.0
300,2,0.01,other,P(C>=1|window),0.3898634147877236
300,2,0.01,other,P(J>=1|window),0.0
50,4,0.01,other,P(C>=1|window),0.0391708449913228
50,4,0.01,other,P(J>=1|window),0.282650381741185
60,4,0.01,other,P(C>=1|window),0.0503983461073012
60,4,0.01,other,P(J>=1|window),0.28265933844292046
70,4,0.01,other,P(C>=1|window),0.0572897280875591
70,4,0.01,other,P(J>=1|window),0.2802066252879576
80,4,0.01,other,P(C>=1|window),0.0620250416154012
80,4,0.01,other,P(J>=1|window),0.2836102523806076
90,4,0.01,other,P(C>=1|window),0.0686435625599418
90,4,0.01,other,P(J>=1|window),0.2831540475388164
100,4,0.01,other,P(C>=1|window),0.0751641291409145
100,4,0.01,other,P(J>=1|window),0.2852650237292012
110,4,0.01,other,P(C>=1|window),0.0829043887800607
110,4,0.01,other,P(J>=1|window),0.2846090526403533
120,4,0.01,other,P(C>=1|window),0.0899183271396777
120,4,0.01,other,P(J>=1|window),0.2868505131265538
130,4,0.01,other,P(C>=1|window),0.09568805662200619
130,4,0.01,other,P(J>=1|window),0.2893990441118858
140,4,0.01,other,P(C>=1|window),0.1036952237573247
140,4,0.01,other,P(J>=1|window),0.287531168159079
150,4,0.01,other,P(C>=1|window),0.110978451548713
