t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,1,nan,nan,nan,nan,nan,nan
6,4,nan,nan,nan,nan,nan,nan
7,5,nan,nan,nan,nan,nan,nan
8,8,nan,nan,nan,nan,nan,nan
9,7,nan,nan,nan,nan,nan,nan
10,17,nan,nan,nan,nan,nan,nan
11,18,nan,nan,nan,nan,nan,nan
12,23,nan,nan,nan,nan,nan,nan
13,17,nan,nan,nan,nan,nan,nan
14,18,nan,nan,nan,nan,nan,nan
15,18,nan,nan,nan,nan,nan,nan
16,23,nan,nan,nan,nan,nan,nan
17,11,nan,nan,nan,nan,nan,nan
18,12,nan,nan,nan,nan,nan,nan
19,25,nan,nan,nan,nan,nan,nan
20,20,nan,nan,nan,nan,nan,nan
21,15,nan,nan,nan,nan,nan,nan
22,22,nan,nan,nan,nan,nan,nan
23,14,nan,nan,nan,nan,nan,nan
24,15,nan,nan,nan,nan,nan,nan
25,21,nan,nan,nan,nan,nan,nan
26,23,nan,nan,nan,nan,nan,nan
27,22,nan,nan,nan,nan,nan,nan
28,24,nan,nan,nan,nan,nan,nan
29,21,nan,nan,nan,nan,nan,nan
30,20,nan,nan,nan,nan,nan,nan
31,30,nan,nan,nan,nan,nan,nan
32,16,nan,nan,nan,nan,nan,nan
33,27,nan,nan,nan,nan,nan,nan
34,25,nan,nan,nan,nan,nan,nan
35,22,nan,nan,nan,nan,nan,nan
36,26,nan,nan,nan,nan,nan,nan
37,27,nan,nan,nan,nan,nan,nan
38,35,nan,nan,nan,nan,nan,nan
39,19,nan,nan,nan,nan,nan,nan
40,12,nan,nan,nan,nan,nan,nan
41,22,nan,nan,nan,nan,nan,nan
42,14,nan,nan,nan,nan,nan,nan
43,16,nan,nan,nan,nan,nan,nan
44,22,nan,nan,nan,nan,nan,nan
45,22,nan,nan,nan,nan,nan,nan
46,24,nan,nan,nan,nan,nan,nan
47,23,nan,nan,nan,nan,nan,nan
48,17,nan,nan,nan,nan,nan,nan
49,17,nan,nan,nan,nan,nan,nan
50,19,nan,nan,nan,nan,nan,nan
51,15,nan,nan,nan,nan,nan,nan
52,19,nan,nan,nan,nan,nan,nan
53,15,nan,nan,nan,nan,nan,nan
54,18,nan,nan,nan,nan,nan,nan
55,16,nan,nan,nan,nan,nan,nan
56,18,nan,nan,nan,nan,nan,nan
57,15,nan,nan,nan,nan,nan,nan
58,20,nan,nan,nan,nan,nan,nan
59,22,nan,nan,nan,nan,nan,nan
60,30,nan,nan,nan,nan,nan,nan
61,24,nan,nan,nan,nan,nan,nan
