N,K,beta,window,class,prob,summary_file
100,2,0.001,other,class_C0J0,0.980706913571314,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,other,class_C1pJ0,0.0192930864286858,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.005,other,class_C0J0,0.909263479580502,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,other,class_C1pJ0,0.090736520419498,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.01,other,class_C0J0,0.8359278725129815,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
