t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,3,nan,nan,nan,nan,nan,nan
8,10,nan,nan,nan,nan,nan,nan
9,8,nan,nan,nan,nan,nan,nan
10,8,nan,nan,nan,nan,nan,nan
11,10,nan,nan,nan,nan,nan,nan
12,14,nan,nan,nan,nan,nan,nan
13,26,nan,nan,nan,nan,nan,nan
14,23,nan,nan,nan,nan,nan,nan
15,17,nan,nan,nan,nan,nan,nan
16,27,nan,nan,nan,nan,nan,nan
17,28,nan,nan,nan,nan,nan,nan
18,32,nan,nan,nan,nan,nan,nan
19,32,nan,nan,nan,nan,nan,nan
20,32,nan,nan,nan,nan,nan,nan
21,43,nan,nan,nan,nan,nan,nan
22,29,nan,nan,nan,nan,nan,nan
23,42,nan,nan,nan,nan,nan,nan
24,35,nan,nan,nan,nan,nan,nan
25,46,nan,nan,nan,nan,nan,nan
26,42,nan,nan,nan,nan,nan,nan
27,59,1.0,0.0,0.0,1.0,0.0,0.0
28,49,nan,nan,nan,nan,nan,nan
29,50,1.0,0.0,0.0,1.0,0.0,0.0
30,40,nan,nan,nan,nan,nan,nan
31,49,nan,nan,nan,nan,nan,nan
32,52,1.0,0.0,0.0,1.0,0.0,0.0
33,56,1.0,0.0,0.0,1.0,0.0,0.0
34,41,nan,nan,nan,nan,nan,nan
35,47,nan,nan,nan,nan,nan,nan
36,50,1.0,0.0,0.0,1.0,0.0,0.0
37,50,1.0,0.0,0.0,1.0,0.0,0.0
38,52,1.0,0.0,0.0,1.0,0.0,0.0
39,43,nan,nan,nan,nan,nan,nan
40,40,nan,nan,nan,nan,nan,nan
41,52,1.0,0.0,0.0,1.0,0.0,0.0
42,60,1.0,0.0,0.0,1.0,0.0,0.0
43,50,1.0,0.0,0.0,1.0,0.0,0.0
44,46,nan,nan,nan,nan,nan,nan
45,43,nan,nan,nan,nan,nan,nan
46,50,1.0,0.0,0.0,1.0,0.0,0.0
47,51,1.0,0.0,0.0,1.0,0.0,0.0
48,42,nan,nan,nan,nan,nan,nan
49,56,1.0,0.0,0.0,1.0,0.0,0.0
50,48,nan,nan,nan,nan,nan,nan
51,62,1.0,0.0,0.0,1.0,0.0,0.0
52,47,nan,nan,nan,nan,nan,nan
53,46,nan,nan,nan,nan,nan,nan
54,57,1.0,0.0,0.0,1.0,0.0,0.0
55,48,nan,nan,nan,nan,nan,nan
56,52,1.0,0.0,0.0,1.0,0.0,0.0
