N,K,beta,flag,n_peaks,t1,h1,t2,h2,h2_over_h1,paper,macro
30,2,0.0,0,1,104,0.002943723602512476,,,,False,False
30,2,0.01,0,1,102,0.0030388392753241743,,,,False,False
30,2,0.02,0,1,100,0.0031286922435171264,,,,False,False
30,2,0.03,0,1,98,0.0032137421761669884,,,,False,False
30,2,0.04,0,1,96,0.0032943816648953197,,,,False,False
30,2,0.05,0,1,95,0.0033710311997363542,,,,False,False
30,2,0.06,0,1,93,0.003443986858099838,,,,False,False
30,2,0.07,0,1,91,0.00351344501979529,,,,False,False
30,2,0.08,0,1,90,0.0035798095205430798,,,,False,False
35,2,0.0,0,1,144,0.0021395217049693604,,,,False,False
35,2,0.01,0,1,140,0.0022212562665080305,,,,False,False
35,2,0.02,0,1,137,0.0022976166622987976,,,,False,False
35,2,0.03,0,1,133,0.002369172200583398,,,,False,False
35,2,0.04,0,1,130,0.0024363796690145844,,,,False,False
35,2,0.05,0,1,127,0.00249966135537145,,,,False,False
35,2,0.06,0,1,124,0.00255939163935358,,,,False,False
35,2,0.07,0,1,121,0.0026158843487231525,,,,False,False
35,2,0.08,0,1,119,0.0026694614202630263,,,,False,False
40,2,0.0,0,1,189,0.001625062456740408,,,,False,False
40,2,0.01,0,1,183,0.0016999985576150976,,,,False,False
40,2,0.02,0,1,177,0.001769270776979024,,,,False,False
40,2,0.03,0,1,172,0.0018335590465425003,,,,False,False
40,2,0.04,0,1,167,0.0018934311086353998,,,,False,False
40,2,0.05,0,1,162,0.0019493830152415802,,,,False,False
40,2,0.06,0,1,158,0.0020018250455440946,,,,False,False
40,2,0.07,0,1,153,0.0020511471107629124,,,,False,False
40,2,0.08,0,1,149,0.0020976687355431915,,,,False,False
45,2,0.0,0,1,242,0.001276178036328291,,,,False,False
45,2,0.01,0,1,232,0.0013415731415936344,,,,False,False
45,2,0.02,0,1,223,0.0014013161159170417,,,,False,False
45,2,0.03,0,1,215,0.0014561704209209497,,,,False,False
45,2,0.04,0,1,208,0.001506773496246546,,,,False,False
45,2,0.05,1,2,36,0.0007524226571939342,201,0.0015536542423135041,2.0648690300045756,True,False
45,2,0.06,1,2,34,0.0008897562931199182,195,0.00159727911075436,1.7951872025018476,True,False
45,2,0.07,1,2,33,0.0010235832976871523,189,0.0016380452788692151,1.6003048140493075,True,False
45,2,0.08,1,2,33,0.001154034977372789,183,0.0016763047403069282,1.452559734474521,True,False
50,2,0.0,0,1,299,0.0010287090556897588,,,,False,False
50,2,0.01,0,1,286,0.001088557897936108,,,,False,False
50,2,0.02,1,2,37,0.00031399911999880026,273,0.001142662586007068,3.6390630203404197,True,False
50,2,0.03,1,2,36,0.00046384856599040466,262,0.0011918825461704782,2.5695509990972654,True,False
50,2,0.04,1,2,35,0.0006094511127443576,252,0.001236921066209565,2.0295656868025245,True,False
50,2,0.05,1,2,34,0.000751014387334654,242,0.0012783644224250933,1.7021836651651931,True,False
50,2,0.06,1,2,33,0.0008886991003974681,234,0.0013167145266677666,1.4816201862687493,True,False
50,2,0.07,1,2,33,0.0010228098835003059,225,0.0013523970200268523,1.322236949254556,True,False
50,2,0.08,1,2,32,0.0011534207780377842,217,0.0013857766806360165,1.2014493817195833,True,False
55,2,0.0,0,1,364,0.000846840869844669,,,,False,False
55,2,0.01,1,2,37,0.0001593395947458723,345,0.0009000486782034112,5.6486190995959396,True,False
55,2,0.02,1,2,36,0.0003138165684028,329,0.0009475596718845768,3.019469866448652,True,False
55,2,0.03,1,2,35,0.0004637305278320386,314,0.0009903110211263583,2.135531222747201,True,False
55,2,0.04,1,2,35,0.0006093424436404621,300,0.001029062825133265,1.688808708261353,True,False
55,2,0.05,1,2,34,0.0007509453013218724,287,0.0010644375474018653,1.417463489721767,True,False
55,2,0.06,1,2,33,0.0008886570351877563,276,0.0010969618178244835,1.2344040213362137,True,False
55,2,0.07,1,2,33,0.001022767836868753,264,0.0011270832472719896,1.1019932448429377,True,False
