t,f_total,f_target1,f_target2,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.017777777777777778,0.017777777777777778,0.0,0.9822222222222222
3,0.011851851851851853,0.011851851851851853,0.0,0.9703703703703703
4,0.00845432098765432,0.00845432098765432,0.0,0.9619160493827161
5,0.006004938271604939,0.006004938271604939,0.0,0.9559111111111113
6,0.004356213991769549,0.004356213991769549,0.0,0.9515548971193416
7,0.0032108276177411988,0.0032108276177411988,0.0,0.9483440695016006
8,0.002401536741350405,0.002401536741350405,0.0,0.9459425327602502
9,0.0018186506365899515,0.0018186506365899515,0.0,0.9441238821236603
10,0.003254056188128504,0.0013920235918508362,0.0018620325962776677,0.9408698259355317
11,0.007282096700073951,0.0010753213791483912,0.00620677532092556,0.9335877292354577
12,0.013540533629157196,0.0008373334723295496,0.012703200156827646,0.9200471956063007
13,0.02112515178796464,0.0006565860629567888,0.02046856572500785,0.898922043818336
14,0.029032748209618067,0.0005180315961340381,0.02851471661348403,0.8698892956087179
15,0.0364148571599049,0.00041095042689087474,0.03600390673301402,0.8334744384488131
16,0.042680770206211416,0.0003275939137593833,0.042353176292452034,0.7907936682426018
17,0.047502361550504045,0.0002622879529133749,0.04724007359759067,0.7432913066920976
18,0.05077060587230729,0.0002108293907766513,0.05055977648153064,0.6925207008197904
19,0.05253616879308923,0.00017007248676454342,0.05236609630632468,0.6399845320267012
20,0.052952008361509796,0.0001376410871618235,0.052814367274347976,0.5870325236651914
21,0.052225961579233156,0.00011172541179051798,0.05211423616744264,0.5348065620859584
22,0.05058546347437438,9.093670847106416e-05,0.05049452676590331,0.48422109861158397
23,0.048253575594249094,7.420206583756098e-05,0.048179373528411534,0.4359675230173349
24,0.045434283951053894,6.068746934227593e-05,0.04537359648171162,0.390533239066281
25,0.04230477247080477,4.974096485221901e-05,0.04225503150595255,0.3482284665954763
26,0.03901258828050314,4.0850299042850246e-05,0.038971737981460294,0.30921587831497316
27,0.03567600173623672,3.3611090353963874e-05,0.03564239064588276,0.2735398765787364
28,0.03238627551676117,2.7702732747898717e-05,0.032358572784013266,0.24115360106197525
29,0.029210923525250426,2.287002747418067e-05,0.029188053497776246,0.21194267753672485
30,0.02619733721147052,1.8909092020616904e-05,0.0261784281194499,0.18574534032525433
31,0.023376382763993397,1.5656486697573028e-05,0.023360726277295824,0.16236895756126093
32,0.020765736175882614,1.2980778470665342e-05,0.02075275539741195,0.14160322138537831
33,0.018372836508365367,1.0775962735039294e-05,0.01836206054563033,0.12323038487701297
34,0.016197412684406852,8.956309836000374e-06,0.01618845637457085,0.10703297219260612
35,0.014233586156601963,7.452310186289907e-06,0.014226133846415674,0.09279938603600417
36,0.012471579100304456,6.207470858041997e-06,0.012465371629446415,0.08032780693569971
37,0.01089907171579437,5.17577529023673e-06,0.010893895940504134,0.06942873521990534
38,0.009502257439038805,4.31966174108108e-06,0.009497937777297724,0.05992647778086654
39,0.00826664467438315,3.608409251829801e-06,0.008263036265131321,0.05165983310648338
40,0.007177650363791075,3.0168449993334637e-06,0.007174633518791742,0.04448218274269232
41,0.006221025827741452,2.5243060495410554e-06,0.006218501521691911,0.03826115691495087
42,0.005383149840270232,2.113803182224178e-06,0.005381036037088008,0.03287800707468064
43,0.00465121844207648,1.7713457415507835e-06,0.004649447096334929,0.02822678863260416
44,0.004013355898951742,1.4853951950277014e-06,0.004011870503756714,0.02421343273365242
45,0.0034586666541737954,1.2464218637945195e-06,0.0034574202323100008,0.020754766079478622
46,0.002977244169185493,1.0465445768175367e-06,0.0029761976246086754,0.01777752191029313
47,0.002560149195954524,8.792371442973108e-07,0.002559269958810227,0.015217372714338609
48,0.002199367237652531,7.390888022788165e-07,0.002198628148850252,0.013018005476686079
49,0.0018877526731022123,6.216083495612125e-07,0.0018871310647526512,0.011130252803583868
