dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
1,False,Shortcut endpoints must be distinct.,,,,,,,,,,,,,,,,,
2,False,Invalid shortcut: dst=2 is already a ring neighbour of src=1 for K=2.,,,,,,,,,,,,,,,,,
3,True,,0.9963396761657323,0.0036603238342660044,8000,True,48,9.725352352600755e-06,50,1.3380629006815298e-05,False,262,0.0008894053433354067,312,0.0008700292253338743,50,0.978214524854473,0.0008059116525865693,0.9263041161373633
4,True,,0.9978302463528747,0.002169753647124142,8000,True,47,1.9496398977823216e-05,49,2.6839484471911548e-05,True,263,0.0018646394978740772,313,0.0018262873644469954,50,0.9794318775984269,3.20088095077066e-07,0.00017526710270702087
5,True,,0.9985754677512911,0.0014245322487075756,8000,True,42,1.2046527384493054e-05,44,1.7406275391847302e-05,False,226,0.001146485097525054,276,0.0011148333210313432,50,0.9723923350054542,0.000839977187091935,0.7534554011310534
6,True,,0.9990000806703732,0.0009999193296265745,8000,True,43,2.9003568319169364e-05,45,3.9909571584780084e-05,True,243,0.002134135457675101,293,0.0020851536913442698,50,0.9770484267272372,1.3798249590576057e-07,6.617377725130907e-05
7,True,,0.9992645480925257,0.000735451907473518,8000,True,38,2.096360605333737e-05,40,3.061951411715869e-05,True,194,0.0014106215239759951,244,0.0013603703274881595,50,0.9643765562670581,0.0007923162630317616,0.5824268928996158
8,True,,0.9994395265661514,0.0005604734338479001,8000,True,37,3.401623210050545e-05,39,4.883060409848634e-05,True,221,0.0023774735863629527,271,0.002315363975320112,50,0.9738757934476758,5.1616339191864215e-08,2.2292969806066006e-05
9,True,,0.9995610336386606,0.0004389663613388546,8000,True,32,2.295713659646743e-05,34,3.6470328424011777e-05,True,166,0.00171901962674657,216,0.0016375635895118819,50,0.9526148300070009,0.0006899472295564074,0.4213254581228592
10,True,,0.9996482976729754,0.00035170232702351717,8000,True,31,3.8286610998325704e-05,33,5.929688333265846e-05,True,197,0.0026267516195683776,247,0.0025467251061461445,50,0.9695340386102501,1.4231440801860139e-08,5.588133861607073e-06
11,True,,0.9997129719423081,0.0002870280576914861,8000,True,28,3.854427563310159e-05,30,6.337848904610333e-05,True,142,0.002097110868706885,192,0.001959665914907538,50,0.9344598533867223,0.0005571269212690539,0.2842968880720368
12,True,,0.9997619223129361,0.00023807768706336844,8000,True,25,3.645007992968147e-05,27,6.527947300255543e-05,True,169,0.002905899513955017,219,0.0028030859096187075,50,0.9646190090735873,1.9031445820862957e-09,6.789462197914487e-07
13,True,,0.9997998427434732,0.00020015725652597737,8000,True,22,3.1118039731626154e-05,24,6.346496534936222e-05,True,116,0.0025808927073600104,166,0.0023689555840718,50,0.9178822417980326,0.0003761935391758295,0.15880143203412106
14,True,,0.9998296326622396,0.00017036733775990982,8000,True,21,5.60901783130787e-05,23,0.00010975496268566742,True,135,0.003258903703902421,185,0.003119402983564049,50,0.9571939728776506,4.202066665694933e-11,1.3470740035306034e-08
15,True,,0.9998534784210323,0.00014652157896694485,8000,True,18,4.1537814670138884e-05,20,0.00010052433720341434,True,92,0.0032350905913660103,142,0.0028820037444760175,50,0.890857199537988,0.0001984826173098278,0.06886965976024931
16,True,,0.9998727475449736,0.00012725245502630126,8000,True,17,7.798936631944444e-05,19,0.00017900820131655092,True,93,0.003816424854118131,143,0.0035840302919306517,50,0.9391067370456114,1.613576174052699e-15,4.5021276122738766e-13
17,True,,0.9998885716911365,0.00011142830886310282,8000,True,16,0.00014580620659722222,18,0.00031647858796296296,True,72,0.004171197431778894,122,0.0035075946865847194,50,0.8409083348252909,7.591212994215295e-05,0.021642218307745015
18,True,,0.999901646215531,9.83537844690994e-05,8000,True,13,8.138020833333333e-05,15,0.0002712673611111111,True,63,0.004834838070683036,113,0.004218807364130824,50,0.8725850385170847,0.0,0.0
19,True,,0.9999126082974678,8.739170253218992e-05,8000,True,12,0.00016276041666666666,14,0.0005018446180555556,True,52,0.005584726319105421,102,0.004350407099177154,50,0.7789830424266907,1.1039839594944655e-05,0.00253765667057521
20,True,,0.9999218292515235,7.81707484761583e-05,8000,True,11,0.0003255208333333333,13,0.0009223090277777779,True,45,0.006586231042417281,95,0.00499133409848929,50,0.7578437601632281,0.0,0.0
21,True,,0.9999296952474683,7.030475253125242e-05,8000,True,10,0.0006510416666666666,12,0.001681857638888889,True,38,0.00787591422670052,88,0.005251411806503306,50,0.6667685370036457,5.213790386739546e-07,9.928359418095587e-05
22,True,,0.9999364090827618,6.359091723802263e-05,8000,True,9,0.0013020833333333333,11,0.0030381944444444445,True,31,0.009601572938913503,81,0.0058921542599665,50,0.6136655209988172,0.0,0.0
