dst,valid,reason_invalid,bimodal,t1,h1,t2,h2,h2_over_h1,delta,window_lo,window_hi
1,True,,False,198,0.0015404748718173499,,,,,,
2,True,,False,198,0.0015422015246964668,,,,,,
3,False,Invalid shortcut: dst=3 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
4,False,Invalid shortcut: dst=4 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
5,False,Invalid shortcut: dst=5 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
6,False,Shortcut endpoints must be distinct.,False,,,,,,,,
7,False,Invalid shortcut: dst=7 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
8,False,Invalid shortcut: dst=8 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
9,False,Invalid shortcut: dst=9 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
10,True,,False,190,0.0016218475171228713,,,,,,
11,True,,False,189,0.0016377216912721736,,,,,,
12,True,,False,188,0.0016542752842481955,,,,,,
13,True,,False,186,0.001671455983780782,,,,,,
14,True,,False,185,0.0016894649211970606,,,,,,
15,True,,False,183,0.0017081222680156904,,,,,,
16,True,,False,181,0.001727394498082299,,,,,,
17,True,,False,180,0.0017472879539245393,,,,,,
18,True,,False,178,0.0017677548074469518,,,,,,
19,True,,False,176,0.0017887533419483873,,,,,,
20,True,,False,174,0.0018102536537764815,,,,,,
21,True,,False,172,0.0018322172335851665,,,,,,
22,True,,False,170,0.0018546092466245037,,,,,,
23,True,,False,168,0.0018773902981744103,,,,,,
24,True,,False,166,0.001900517131528332,,,,,,
25,True,,False,164,0.0019239434135301567,,,,,,
26,True,,False,162,0.0019476181002849708,,,,,,
27,True,,False,160,0.001971485224422087,,,,,,
28,True,,False,158,0.001995483441934131,,,,,,
29,True,,False,155,0.0020195756412959734,,,,,,
30,True,,False,153,0.0020436643030616176,,,,,,
31,True,,False,151,0.0020676677626527244,,,,,,
32,True,,False,148,0.0020915288363060904,,,,,,
33,True,,False,146,0.002115141012870155,,,,,,
34,True,,False,143,0.002138393288175431,,,,,,
35,True,,False,141,0.002161211851057936,,,,,,
36,True,,False,138,0.002183431811029429,,,,,,
37,True,,False,136,0.0022049710470293717,,,,,,
38,True,,False,133,0.002225646767273934,,,,,,
39,True,,False,131,0.0022453190300470017,,,,,,
40,True,,False,128,0.0022638380520222327,,,,,,
41,True,,False,125,0.002280967823635305,,,,,,
42,True,,False,122,0.002296536843579225,,,,,,
43,True,,True,37,0.0020169075366708957,120,0.002310405605946969,1.1455188519749997,4,116,124
44,True,,True,29,0.002193657799790536,117,0.00232198891293299,1.0585009718264662,4,113,121
45,True,,True,25,0.0024031545630879216,114,0.0023315798123289926,0.9702163348715451,4,110,118
46,True,,True,21,0.002632074344642372,111,0.002339141545683862,0.8887064875067914,4,107,115
47,True,,True,16,0.0030490913183519193,107,0.002340849263689338,0.7677202875493421,4,103,111
48,True,,True,15,0.003283112908183018,104,0.002344312292449163,0.7140516814411302,4,100,108
49,True,,True,14,0.0034548336058841046,102,0.0023455575353902697,0.6789205510202952,4,98,106
50,True,,True,3,0.007936507936658302,5,0.007306626354394561,0.9206349206362723,1,4,6
51,True,,True,14,0.003454833605892491,101,0.0023412049220434285,0.677660689085089,4,97,105
52,True,,True,15,0.0032831129082001725,103,0.0023355918173499387,0.7113955208535084,4,99,107
53,True,,True,16,0.003049091318378553,105,0.0023278693758044403,0.763463318324738,4,101,109
54,True,,True,21,0.0026320743424808847,109,0.0023230276300500985,0.8825843527886482,4,105,113
55,True,,True,25,0.002403154020759518,112,0.0023120467854188405,0.962088474332626,4,108,116
56,True,,True,29,0.002193650746130011,115,0.0022994386063721153,1.048224568304108,4,111,119
57,True,,True,37,0.002016798549449811,117,0.002285254586627229,1.1331099912039573,4,113,121
58,True,,False,120,0.0022689082876753506,,,,,,
59,True,,False,123,0.0022511115438674676,,,,,,
60,True,,False,126,0.00223197122363148,,,,,,
61,True,,False,128,0.0022116425853168534,,,,,,
62,True,,False,131,0.0021903492335002142,,,,,,
63,True,,False,134,0.0021682107045235227,,,,,,
