dst,t1,h1,t2,h2,h2_over_h1,delta,window_lo,window_hi,n_walkers,n_in_window,frac_in_window,frac_no,frac_one,frac_multi
36,34,0.0020867635864178728,108,0.002175758311457518,1.0426472484084377,3,105,111,500000,7574,0.015148,0.36678109321362556,0.6130182202270927,0.020200686559281752
37,28,0.002274341754480351,104,0.002193403074225475,0.9644122612200078,3,101,107,500000,7852,0.015704,0.3466632705043301,0.6379266428935303,0.015410086602139583
38,24,0.002501637729731197,98,0.0022099691471338507,0.883408944816048,3,95,101,500000,7903,0.015806,0.32291534860179677,0.6626597494622295,0.014424901935973681
39,21,0.0027742662034292323,89,0.002226320274228451,0.8024897796312868,3,86,92,500000,7788,0.015576,0.28287108371854136,0.7060862865947611,0.011042629686697484
43,4,0.003968253968253956,8,0.004699168639629065,1.184190497186528,1,7,9,500000,7109,0.014218,0.0,1.0,0.0
45,3,0.007936507936507908,5,0.007306626354245376,0.9206349206349207,1,4,6,500000,10117,0.020234,0.0,1.0,0.0
46,3,0.01190476190476188,5,0.008865583270345152,0.7447089947089943,1,4,6,500000,12250,0.0245,0.0,1.0,0.0
47,2,0.023809523809523853,4,0.011999244142101267,0.5039682539682523,1,3,5,500000,14604,0.029208,0.0,1.0,0.0
48,2,0.02380952380952385,4,0.013321995464852587,0.5595238095238076,1,3,5,500000,17905,0.03581,0.0,1.0,0.0
50,3,0.020408163265306103,5,0.011040924306230406,0.5410052910052904,1,4,6,500000,15200,0.0304,0.0,1.0,0.0
52,2,0.023809523809523846,4,0.013321995464852588,0.5595238095238079,1,3,5,500000,18004,0.036008,0.0,1.0,0.0
53,2,0.023809523809523853,4,0.011999244142101271,0.5039682539682524,1,3,5,500000,14629,0.029258,0.0,1.0,0.0
54,3,0.011904761904761882,5,0.00886558327034515,0.7447089947089941,1,4,6,500000,12360,0.02472,0.0,1.0,0.0
55,3,0.00793650793650791,5,0.007306626354245379,0.9206349206349208,1,4,6,500000,9979,0.019958,0.0,1.0,0.0
57,4,0.003968253968253956,6,0.004498404299991584,1.1335978835978826,1,5,7,500000,6367,0.012734,0.0,1.0,0.0
62,24,0.002501637308792205,97,0.002203031123131077,0.8806357002225492,3,94,100,500000,7765,0.01553,0.32195750160978753,0.666580811332904,0.011461687057308436
63,28,0.0022743364309911404,103,0.0021856854706619267,0.9610211756179888,3,100,106,500000,7655,0.01531,0.33154800783801436,0.6535597648595689,0.014892227302416721
64,34,0.0020867147908614943,108,0.0021674474593811185,1.038688884975169,3,105,111,500000,7600,0.0152,0.36328947368421055,0.6185526315789474,0.018157894736842106
