dst,valid,reason_invalid,bimodal,t1,h1,t2,h2,h2_over_h1,delta,window_lo,window_hi
1,False,Shortcut endpoints must be distinct.,False,,,,,,,,
2,False,Invalid shortcut: dst=2 is already a ring neighbour of src=1 for K=6.,False,,,,,,,,
3,False,Invalid shortcut: dst=3 is already a ring neighbour of src=1 for K=6.,False,,,,,,,,
4,False,Invalid shortcut: dst=4 is already a ring neighbour of src=1 for K=6.,False,,,,,,,,
5,True,,False,192,0.0015894144031729012,,,,,,
6,True,,False,191,0.0015984263871008863,,,,,,
7,True,,False,190,0.001608618104850581,,,,,,
8,True,,False,188,0.001619892713211958,,,,,,
9,True,,False,186,0.0016322890430335725,,,,,,
10,True,,False,185,0.0016456737690729198,,,,,,
11,True,,False,183,0.0016600050127669435,,,,,,
12,True,,False,181,0.0016752438096589433,,,,,,
13,True,,False,178,0.0016913373412383568,,,,,,
14,True,,False,176,0.0017082393690354544,,,,,,
15,True,,False,174,0.0017259024203691074,,,,,,
16,True,,False,171,0.0017442959191089034,,,,,,
17,True,,False,169,0.0017633730729992186,,,,,,
18,True,,False,166,0.0017830995562625525,,,,,,
19,True,,False,163,0.0018034171005872396,,,,,,
20,True,,False,161,0.0018243042491477913,,,,,,
21,True,,False,158,0.001845701042477473,,,,,,
22,True,,False,155,0.0018675519767416843,,,,,,
23,True,,False,152,0.0018898022245236058,,,,,,
24,True,,False,149,0.0019123902580659307,,,,,,
25,True,,False,146,0.0019352470189630772,,,,,,
26,True,,False,143,0.0019582950454121164,,,,,,
27,True,,False,140,0.0019814475964301144,,,,,,
28,True,,False,137,0.0020046078304520676,,,,,,
29,True,,False,134,0.0020276679678720975,,,,,,
30,True,,False,130,0.0020505285050065733,,,,,,
31,True,,False,127,0.0020730602169339663,,,,,,
32,True,,False,124,0.002095105613220015,,,,,,
33,True,,False,120,0.00211656030082037,,,,,,
34,True,,False,116,0.0021372353131349146,,,,,,
35,True,,False,113,0.002157018606930018,,,,,,
36,True,,True,34,0.0020867635864178728,108,0.002175758311457518,1.0426472484084377,3,105,111
37,True,,True,28,0.002274341754480351,104,0.002193403074225475,0.9644122612200078,3,101,107
38,True,,True,24,0.002501637729731197,98,0.0022099691471338507,0.883408944816048,3,95,101
39,True,,True,21,0.0027742662034292323,89,0.002226320274228451,0.8024897796312868,3,86,92
