dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
1,False,Shortcut endpoints must be distinct.,,,,,,,,,,,,,,,,,
2,False,Invalid shortcut: dst=2 is already a ring neighbour of src=1 for K=2.,,,,,,,,,,,,,,,,,
3,True,,0.9563217736484704,0.04367822635152675,8000,True,108,3.346936765855186e-06,110,3.7832848985505794e-06,False,892,0.00032174470251497957,942,0.0003211615140386653,50,0.9981874185596354,0.00029840961692318953,0.9291574609006962
4,True,,0.9537916498615393,0.04620835013845845,8000,True,112,4.812971739630374e-06,114,5.403097448176158e-06,True,1125,0.00043689639319595256,1175,0.0004362536087253262,50,0.9985287485073422,0.00015944665088420796,0.36549073221443235
5,True,,0.9529809777389797,0.04701902226101899,8000,True,110,3.6161274589392336e-06,112,4.056906359803049e-06,False,898,0.0003271675004413009,948,0.0003265467218597503,50,0.998102566481349,0.0002792434084650787,0.8551407494606911
6,True,,0.9531858156103162,0.046814184389683336,8000,True,114,4.841384274294349e-06,116,5.393954582790007e-06,True,1087,0.00048326012062917137,1137,0.00048254027303776503,50,0.9985104345244356,0.00011817561643215154,0.24490311593723238
7,True,,0.9540545528940851,0.045945447105913986,8000,True,110,3.6090812823565907e-06,112,4.04881874754368e-06,False,866,0.00034332784285339313,916,0.0003426157659228315,50,0.9979259563551748,0.00026632363934865275,0.7773245303855565
8,True,,0.9553345566417304,0.04466544335826862,8000,True,118,5.685635450963057e-06,120,6.268139046866989e-06,True,1047,0.0005183158365642131,1097,0.0005174868501843291,50,0.998400615375021,9.566429919995901e-05,0.18486324660401193
9,True,,0.9569110062425752,0.043088993757424,8000,True,110,3.6598224583336175e-06,112,4.110966917113433e-06,True,822,0.00036524920972186243,872,0.00036434374089194,50,0.9975209560874562,0.00025406394801698724,0.6973193704248087
10,True,,0.9586602302159506,0.04133976978404786,8000,True,118,5.557997287844364e-06,120,6.120091559624944e-06,True,1005,0.0005489086471136561,1055,0.0005479491514586701,50,0.998251993915506,8.174419079918374e-05,0.14918207388692237
11,True,,0.9605447514879801,0.039455248512019175,8000,True,112,4.276788233740701e-06,114,4.792916829718835e-06,True,770,0.00039183404344074967,820,0.0003907640029943034,50,0.9972691488543208,0.00023991524181990253,0.6139645412103121
12,True,,0.9624890009535083,0.037510999046490905,8000,True,120,6.055838452377952e-06,122,6.63713719898197e-06,True,959,0.0005777411438368924,1009,0.0005767126691615056,50,0.9982198348060232,7.263290615073395e-05,0.12594296958368614
13,True,,0.9644858846458582,0.035514115354141125,8000,True,112,4.6717082768161015e-06,114,5.255692259751147e-06,True,718,0.0004230373558989511,768,0.0004216539145588588,50,0.9967297418991462,0.00022375049250985307,0.5306496270619104
14,True,,0.9664818710629198,0.03351812893707941,8000,True,122,6.604890480879716e-06,124,7.2087925897534075e-06,True,913,0.0006061738074473976,963,0.0006049773400850804,50,0.9980261975235196,6.629745571667713e-05,0.10958667593624821
15,True,,0.9684830954839756,0.03151690451602382,8000,True,110,4.9046482070072765e-06,112,5.56678857027989e-06,True,664,0.0004592687088701321,714,0.0004575853177670388,50,0.9963346270482161,0.00020423330109102706,0.44632835268330057
16,True,,0.9704480868316795,0.02955191316831962,8000,True,122,6.591596864178745e-06,124,7.192785314641943e-06,True,863,0.0006350606081792633,913,0.0006337546017697941,50,0.997943493278203,6.203240255445992e-05,0.09788079231492927
17,True,,0.9723889238753782,0.02761107612462158,8000,True,106,5.031665278455963e-06,108,5.782324061087914e-06,True,614,0.0005011870493020102,664,0.0004988892972985412,50,0.9954153803322152,0.0001828763499892232,0.36656699387918085
18,True,,0.9742718698180713,0.02572813018192826,8000,True,117,7.064346791635843e-06,119,7.944112005025343e-06,True,811,0.0006650871863079712,861,0.0006636152444756775,50,0.9977868437964281,5.9212575495810886e-05,0.08922726834371436
19,True,,0.9761115038723256,0.02388849612767366,8000,True,102,5.877123937452284e-06,104,6.807141623832281e-06,True,564,0.0005495467534287331,614,0.000546662328721575,50,0.9947512660403113,0.00015849427848768099,0.2899308588874888
20,True,,0.9778797509064335,0.022120249093565608,8000,True,107,7.934278753077657e-06,109,9.01658966780427e-06,True,757,0.0006969643518692924,807,0.0006952043984509689,50,0.9974748300776026,5.755123850688931e-05,0.08278319100846177
21,True,,0.9795919415064636,0.020408058493535993,8000,True,96,6.706939892301614e-06,98,7.83873773304995e-06,True,518,0.0006050873744912523,568,0.0006013277339662638,50,0.9937866154815252,0.00013350957112754006,0.22202463579541193
