dst,valid,reason_invalid,bimodal,t1,h1,t2,h2,h2_over_h1,delta,window_lo,window_hi
1,True,,False,198,0.0015404748679440014,,,,,,
2,True,,False,198,0.0015422015208381888,,,,,,
3,False,Invalid shortcut: dst=3 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
4,False,Invalid shortcut: dst=4 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
5,False,Invalid shortcut: dst=5 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
6,False,Shortcut endpoints must be distinct.,False,,,,,,,,
7,False,Invalid shortcut: dst=7 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
8,False,Invalid shortcut: dst=8 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
9,False,Invalid shortcut: dst=9 is already a ring neighbour of src=6 for K=6.,False,,,,,,,,
10,True,,False,190,0.001621847513873003,,,,,,
11,True,,False,189,0.0016377216881392222,,,,,,
12,True,,False,188,0.0016542752812343413,,,,,,
13,True,,False,186,0.0016714559808807725,,,,,,
14,True,,False,185,0.0016894649184200148,,,,,,
15,True,,False,183,0.0017081222653560694,,,,,,
16,True,,False,181,0.0017273944955406536,,,,,,
17,True,,False,180,0.0017472879515067405,,,,,,
18,True,,False,178,0.001767754805146623,,,,,,
19,True,,False,176,0.0017887533397646068,,,,,,
20,True,,False,174,0.0018102536517079092,,,,,,
21,True,,False,172,0.0018322172316300445,,,,,,
22,True,,False,170,0.0018546092447807095,,,,,,
23,True,,False,168,0.0018773902964395054,,,,,,
24,True,,False,166,0.0019005171298995675,,,,,,
25,True,,False,164,0.0019239434120045258,,,,,,
26,True,,False,162,0.001947618098859235,,,,,,
27,True,,False,160,0.0019714852230927997,,,,,,
28,True,,False,158,0.00199548344069768,,,,,,
29,True,,False,155,0.0020195756401453963,,,,,,
30,True,,False,153,0.002043664301996435,,,,,,
31,True,,False,151,0.0020676677616689692,,,,,,
32,True,,False,148,0.0020915288353970884,,,,,,
33,True,,False,146,0.0021151410120346784,,,,,,
34,True,,False,143,0.0021383932874070918,,,,,,
35,True,,False,141,0.0021612118503551644,,,,,,
36,True,,False,138,0.0021834318103862035,,,,,,
37,True,,False,136,0.002204971046443856,,,,,,
38,True,,False,133,0.0022256467667405694,,,,,,
39,True,,False,131,0.002245319029563837,,,,,,
40,True,,False,128,0.002263838051583999,,,,,,
41,True,,False,125,0.002280967823238988,,,,,,
42,True,,False,122,0.0022965368432214394,,,,,,
43,True,,True,37,0.002016907536240802,120,0.0023104056056250807,1.14551885205968,4,116,124
44,True,,True,29,0.002193657799396975,117,0.002321988912645057,1.0585009718851133,4,113,121
45,True,,True,25,0.00240315456273066,114,0.002331579812069849,0.9702163349079462,4,110,118
46,True,,True,21,0.0026320743443147944,111,0.0023391415454481934,0.888706487527859,4,107,115
47,True,,True,16,0.003049091318069367,107,0.0023408492634883382,0.7677202875545637,4,103,111
48,True,,True,15,0.00328311290791712,104,0.002344312292259125,0.7140516814410776,4,100,108
49,True,,True,14,0.0034548336056272016,102,0.002345557535206258,0.6789205510175179,4,98,106
50,True,,True,3,0.007936507936507891,5,0.007306626354245368,0.9206349206349217,1,4,6
51,True,,True,14,0.003454833605627204,101,0.0023412049218523674,0.6776606890818222,4,97,105
52,True,,True,15,0.003283112907917118,103,0.0023355918171461955,0.7113955208527837,4,99,107
53,True,,True,16,0.0030490913180693663,105,0.0023278693755817586,0.7634633183291233,4,101,109
54,True,,True,21,0.00263207434211533,109,0.0023230276297836116,0.8825843528099797,4,105,113
55,True,,True,25,0.002403154020352976,112,0.0023120467851197716,0.9620884743709341,4,108,116
56,True,,True,29,0.0021936507456749486,115,0.002299438606034248,1.0482245683675366,4,111,119
57,True,,True,37,0.002016798548945965,117,0.0022852545862432107,1.1331099912966263,4,113,121
58,True,,False,120,0.0022689082872451995,,,,,,
59,True,,False,123,0.0022511115433868174,,,,,,
60,True,,False,126,0.002231971223096471,,,,,,
61,True,,False,128,0.0022116425847222587,,,,,,
62,True,,False,131,0.0021903492328439263,,,,,,
63,True,,False,134,0.0021682107038018834,,,,,,
64,True,,False,136,0.0021454276196408205,,,,,,
65,True,,False,139,0.0021220907383911226,,,,,,
66,True,,False,141,0.0020983629554545812,,,,,,
67,True,,False,144,0.0020743375955653994,,,,,,
68,True,,False,146,0.002050146148376211,,,,,,
69,True,,False,149,0.002025864478112863,,,,,,
70,True,,False,151,0.002001617870752649,,,,,,
71,True,,False,153,0.001977451817292541,,,,,,
72,True,,False,156,0.0019534869764592138,,,,,,
73,True,,False,158,0.0019297645828898237,,,,,,
74,True,,False,160,0.0019063474628770566,,,,,,
75,True,,False,163,0.0018833295589164181,,,,,,
76,True,,False,165,0.0018607343190265614,,,,,,
77,True,,False,167,0.0018386139003601877,,,,,,
78,True,,False,169,0.001817016100364676,,,,,,
79,True,,False,172,0.0017959902561336723,,,,,,
80,True,,False,174,0.0017755699319464571,,,,,,
81,True,,False,176,0.0017557842051090411,,,,,,
82,True,,False,178,0.0017366647467234604,,,,,,
83,True,,False,180,0.0017182402117295703,,,,,,
84,True,,False,181,0.0017005449217735267,,,,,,
85,True,,False,183,0.0016836035510078787,,,,,,
86,True,,False,185,0.001667433837511565,,,,,,
87,True,,False,186,0.0016520594119834027,,,,,,
88,True,,False,188,0.0016375277232808076,,,,,,
89,True,,False,189,0.001623838155452486,,,,,,
90,True,,False,191,0.0016110425197925354,,,,,,
91,True,,False,192,0.0015991603282504278,,,,,,
92,True,,False,193,0.0015882245519011212,,,,,,
93,True,,False,194,0.001578275049173782,,,,,,
94,True,,False,195,0.0015693537710881223,,,,,,
95,True,,False,196,0.0015615050054448374,,,,,,
96,True,,False,197,0.0015547776357331745,,,,,,
97,True,,False,197,0.0015492470033420262,,,,,,
98,True,,False,197,0.0015449582546468428,,,,,,
99,True,,False,198,0.0015420230813009445,,,,,,
100,True,,False,198,0.0015404632565344666,,,,,,
