grid_n,spacing,radius,radius_in_cells,dimensionless_doi_strength,reaction_rate,mean_time,target_area_ratio,linear_solve_residual,linear_solve_relative_residual
161,0.006211180124223602,0.05,8.05,1.0,399.99999999999994,0.627741279099375,0.9995920194190254,9.185252558552293e-11,6.499904490198933e-16
161,0.006211180124223602,0.04,6.44,1.0,625.0,0.6631427205900542,0.9977500193832411,8.401213058562007e-11,5.638376763817093e-16
161,0.006211180124223602,0.03,4.83,1.0,1111.111111111111,0.7075241178296148,0.9986027971775858,9.707301629191534e-11,6.114790657329699e-16
161,0.006211180124223602,0.025,4.025,1.0,1599.9999999999998,0.7346389429488687,1.0008200194428818,9.003220391434752e-11,5.461290305179428e-16
161,0.006211180124223602,0.02,3.22,1.0,2500.0,0.7658454995220131,1.0092625196068938,8.802647499805971e-11,5.112693294012844e-16
241,0.004149377593360996,0.05,12.05,1.0,399.99999999999994,0.6279797508259662,0.9993596485186934,3.6871350417300164e-10,1.16529338536581e-15
241,0.004149377593360996,0.04,9.64,1.0,625.0,0.6625655628185098,0.9995394757107253,2.7380575584601274e-10,8.221462911057261e-16
241,0.004149377593360996,0.03,7.2299999999999995,1.0,1111.111111111111,0.7074553260187817,0.9990399557328589,2.627584816394801e-10,7.409383229600948e-16
241,0.004149377593360996,0.025,6.025,1.0,1599.9999999999998,0.7349106993785007,1.0018258500094168,2.330726722732379e-10,6.33438061847609e-16
241,0.004149377593360996,0.02,4.82,1.0,2500.0,0.7711944668289775,0.9993253957202112,2.1883650447307446e-10,5.673154676389297e-16
321,0.003115264797507788,0.05,16.05,1.0,399.99999999999994,0.6279412857945097,0.9995741638951492,5.569165129060138e-10,9.925420884964993e-16
321,0.003115264797507788,0.04,12.84,1.0,625.0,0.6620649630563104,1.000718117561432,6.971407895406401e-10,1.181438569326525e-15
321,0.003115264797507788,0.03,9.63,1.0,1111.111111111111,0.7074938122645179,0.9996857168077544,7.006246693919138e-10,1.1147211291403474e-15
321,0.003115264797507788,0.025,8.025,1.0,1599.9999999999998,0.7365684115635315,0.9981068140447276,4.5282855243300446e-10,6.932807806312755e-16
321,0.003115264797507788,0.02,6.42,1.0,2500.0,0.7709717049795725,1.0001147664716203,7.952339897698835e-10,1.1650833896252784e-15
401,0.0024937655860349127,0.05,20.05,1.0,399.99999999999994,0.6278696550264866,0.999809489768584,1.3798393538877463e-09,1.5762704373409013e-15
401,0.0024937655860349127,0.04,16.04,1.0,625.0,0.662268113451861,1.0002023021145245,8.986780208886103e-10,9.759122034892441e-16
401,0.0024937655860349127,0.03,12.03,1.0,1111.111111111111,0.7072006465520019,1.00021089381063,9.007339318856111e-10,9.191289035660704e-16
401,0.0024937655860349127,0.025,10.025,1.0,1599.9999999999998,0.7359517600538579,0.9998589779381511,1.4390431068989074e-09,1.413880052307214e-15
401,0.0024937655860349127,0.02,8.02,1.0,2500.0,0.7715239654719307,0.9987331220804948,1.2815264405219295e-09,1.2036281066367518e-15
