family,nx,ny,channel,midpoint_count,diffusivity_weighted_count,intersection_count,union_count,midpoint_only_count,diffusivity_weighted_only_count,symmetric_difference_count,jaccard_distance
principal_matched_endpoint,9,5,near,7,9,7,9,0,2,2,0.2222222222222222
principal_matched_endpoint,9,5,far,9,10,9,10,0,1,1,0.1
principal_matched_endpoint,9,5,patterned_union,16,19,16,19,0,3,3,0.15789473684210525
principal_matched_endpoint,11,7,near,18,20,18,20,0,2,2,0.1
principal_matched_endpoint,11,7,far,24,26,24,26,0,2,2,0.07692307692307693
principal_matched_endpoint,11,7,patterned_union,42,46,42,46,0,4,4,0.08695652173913043
principal_matched_endpoint,13,9,near,55,53,47,61,8,6,14,0.22950819672131148
principal_matched_endpoint,13,9,far,63,61,57,67,6,4,10,0.14925373134328357
principal_matched_endpoint,13,9,patterned_union,118,114,104,128,14,10,24,0.1875
supplemental_trimodal,13,9,near,4,9,4,9,0,5,5,0.5555555555555556
supplemental_trimodal,13,9,middle,4,6,4,6,0,2,2,0.3333333333333333
supplemental_trimodal,13,9,far,3,6,3,6,0,3,3,0.5
supplemental_trimodal,13,9,patterned_union,11,21,11,21,0,10,10,0.47619047619047616
