budget_measure,classification,dt,endpoint,f_t_residual,f_tt_residual,f_ttheta,f_ttt,kappa_bar,matched_budget,maximum_f_t_residual,maximum_time,minimum_f_t_residual,minimum_time,mu,normal_form_half_separation,normal_form_prominence,normal_form_separation,nx,ny,peak_height_ratio,prominence,prominence_ratio_to_normal_form,quadrature_closure_error,record_type,separation,separation_ratio_to_normal_form,strict_classification,tail_at_480,theta,time,valley_ratio
,,,,8.673617379884035e-19,0.0,0.00016692439036738657,-1.3420495445698455e-05,1.108,138.5,,,,,,,,,9,5,,,,,fold,,,,,0.27537299848381813,16.809332082432274,
,,,,,,,,,,-1.3010426069826053e-18,16.879724552405854,-1.734723475976807e-18,16.738667859300193,0.0002,0.0705351542721329,3.1397433670254255e-09,0.1410703085442658,9,5,,3.1397376270073107e-09,0.9999981718193356,,scaling,0.1410566931056607,0.999903484732219,,,0.2755729984838181,,
,,,,,,,,,,-8.673617379884035e-19,16.920491749397236,-4.7704895589362195e-18,16.69749377840605,0.0005,0.11152587130564805,1.2410925385257938e-08,0.2230517426112961,9,5,,1.2410875634485952e-08,0.9999959913728879,,scaling,0.22299797099118734,0.9997589275946502,,,0.27587299848381813,,
,,,,,,,,,,-2.6020852139652106e-18,16.966300156234343,8.673617379884035e-19,16.65100921933513,0.001,0.15772139975592386,3.5103398002864614e-08,0.3154427995118477,9,5,,3.5103179287822306e-08,0.9999937694053923,,scaling,0.3152909368992134,0.9995185732155898,,,0.27637299848381813,,
,,,,,,,,,,1.734723475976807e-18,17.030819872444333,-3.469446951953614e-18,16.58514464342594,0.002,0.2230517426112961,9.92874030820635e-08,0.4461034852225922,9,5,,9.928687283488127e-08,0.9999946594717379,,scaling,0.4456752290183914,0.9990400070423411,,,0.27737299848381813,,
,,,,,,,,,,-1.734723475976807e-18,17.15783150249636,-2.6020852139652106e-18,16.454157821259688,0.005,0.3526757713606645,3.9246792087817813e-07,0.705351542721329,9,5,,3.9248343769535815e-07,1.0000395365235082,,scaling,0.7036736812366726,0.997621240781323,,,0.28037299848381814,,
,,,,,,,,,,-3.903127820947816e-18,17.29920097469981,2.168404344971009e-18,16.306359896412694,0.01,0.4987588589786445,1.1100669130045807e-06,0.997517717957289,9,5,,1.1103466495167302e-06,1.000251999684769,,scaling,0.9928410782871175,0.9953117227032836,,,0.28537299848381814,,
,,,,,,,,,,-4.336808689942018e-19,17.495642985405368,0.0,16.09779181425102,0.02,0.705351542721329,3.139743367025425e-06,1.410703085442658,9,5,,3.1434227578080835e-06,1.001171876281769,,scaling,1.3978511711543469,0.9908897099461021,,,0.29537299848381815,,
,,,,,,,,,,-7.806255641895632e-18,17.873269451963395,3.903127820947816e-18,15.689520407304762,0.05,1.1152587130564804,1.241092538525794e-05,2.2305174261129608,9,5,,1.2504302486533204e-05,1.0075237823431105,,scaling,2.183749044658633,0.9790324967172171,,,0.3253729984838181,,
,strict_unimodal,,theta0,,,,,,,,,,,,,,,9,5,,,,,endpoint,,,,1.2054625416245971e-15,0.0,,
,strict_bimodal,,theta1,,,,,,,,,,,,,,,9,5,0.0353334851224269,,,,endpoint,,,,1.7496264895664929e-06,1.0,,0.9252516719084237
,,0.2,theta0,,,,,,,,,,,,,,,9,5,,,,0.003161299320918576,time_step,,,,,,,
,,0.1,theta0,,,,,,,,,,,,,,,9,5,,,,0.0007929771555811316,time_step,,,,,,,
,,0.05,theta0,,,,,,,,,,,,,,,9,5,,,,0.0001984116770544775,time_step,,,,,,,
,,0.2,theta1,,,,,,,,,,,,,,,9,5,,,,0.0013645739973019433,time_step,,,,,,,
,,0.1,theta1,,,,,,,,,,,,,,,9,5,,,,0.0003418756133957146,time_step,,,,,,,
,,0.05,theta1,,,,,,,,,,,,,,,9,5,,,,8.551512870524913e-05,time_step,,,,,,,
,,,,8.673617379884035e-19,1.734723475976807e-18,0.00028264184458657443,-7.813579299242868e-06,1.7679083094555874,617.0,,,,,,,,,11,7,,,,,fold,,,,,0.013810351262683337,18.099532297105192,
,,,,,,,,,,8.673617379884035e-19,18.219327130439382,0.0,17.978893535478253,0.0002,0.12028825175258513,9.066264895318642e-09,0.24057650350517026,11,7,,9.05356044040434e-09,0.9985987112597093,,scaling,0.2404335949611287,0.999405974640252,,,0.014010351262683338,,
,,,,,,,,,,1.3010426069826053e-18,18.28838756423279,-1.734723475976807e-18,17.90856667206148,0.0005,0.19019242564895494,3.5837558674543685e-08,0.3803848512979099,11,7,,3.5712314857064276e-08,0.9965052357886093,,scaling,0.37982089217130977,0.9985173985644386,,,0.014310351262683338,,
,,,,,,,,,,1.3010426069826053e-18,18.36559840611103,1.3010426069826053e-18,17.82924371204876,0.001,0.26897270781338856,1.0136392303976248e-07,0.5379454156267771,11,7,,1.006582809742751e-07,0.9930385284593751,,scaling,0.5363546940622683,0.9970429684531182,,,0.014810351262683336,,
,,,,,,,,,,8.673617379884035e-19,18.473453977223436,3.0357660829594124e-18,17.717158849216208,0.002,0.3803848512979099,2.867004693963495e-07,0.7607697025958198,11,7,,2.8274059468312226e-07,0.9861881122079612,,scaling,0.7562951280072276,0.9941183585869358,,,0.015810351262683337,,
,,,,,,,,,,-8.673617379884035e-19,18.681684968682088,-4.336808689942018e-19,17.496203453598554,0.005,0.6014412587629256,1.1332831119148302e-06,1.2028825175258513,11,7,,1.0950692645719448e-06,0.9662804051863809,,scaling,1.1854815150835343,0.9855339135877473,,,0.018810351262683336,,
,,,,,,,,,,1.734723475976807e-18,18.904896537093638,2.168404344971009e-18,17.251687197710762,0.01,0.8505663851132756,3.2054086937566778e-06,1.7011327702265513,11,7,,2.997435093502702e-06,0.9351179147111394,,scaling,1.653209339382876,0.9718285182188966,,,0.023810351262683337,,
,,,,,,,,,,-3.469446951953614e-18,19.19538458348128,3.0357660829594124e-18,16.918384949201087,0.02,1.2028825175258513,9.066264895318641e-06,2.4057650350517026,11,7,,7.97382058940338e-06,0.8795044796805634,,scaling,2.2769996342801946,0.9464763188027875,,,0.033810351262683336,,
,,,,,,,,,,2.6020852139652106e-18,19.673773906244627,0.0,16.31221207192864,0.05,1.9019242564895493,3.5837558674543696e-05,3.8038485129790987,11,7,,2.7002754553162936e-05,0.7534763960454611,,scaling,3.361561834315985,0.8837265266600421,,,0.06381035126268333,,
,strict_unimodal,,theta0,,,,,,,,,,,,,,,11,7,,,,,endpoint,,,,1.0309736689961996e-16,0.0,,
,strict_bimodal,,theta1,,,,,,,,,,,,,,,11,7,0.052817051294292254,,,,endpoint,,,,9.574425602148806e-10,1.0,,0.749119803042014
,,0.2,theta0,,,,,,,,,,,,,,,11,7,,,,0.0017677176868818867,time_step,,,,,,,
,,0.1,theta0,,,,,,,,,,,,,,,11,7,,,,0.0004376216937367339,time_step,,,,,,,
,,0.05,theta0,,,,,,,,,,,,,,,11,7,,,,0.00010912852484934454,time_step,,,,,,,
,,0.2,theta1,,,,,,,,,,,,,,,11,7,,,,0.000474187494792111,time_step,,,,,,,
,,0.1,theta1,,,,,,,,,,,,,,,11,7,,,,0.00011728076048345137,time_step,,,,,,,
,,0.05,theta1,,,,,,,,,,,,,,,11,7,,,,2.9239299772165772e-05,time_step,,,,,,,
,,,,3.0357660829594124e-18,-1.734723475976807e-17,7.461846224854872e-05,-5.958893612656446e-06,1.8784505788067676,2109.5,,,,,,,,,13,9,,,,,fold,,,,,0.255892008347189,16.58075874542334,
