root_number,time,type,density,f_t,f_tt,f_ttt,near_flux,middle_flux,far_flux,dominant_channel,dominant_share,survival,bracket_left,bracket_right,nx,ny
1,1.1222943703627026,maximum,0.009684208831354802,7.025630077706069e-17,-0.0072216548285386735,0.013746290222335967,0.009683180323706339,1.02850453938746e-06,3.1090753313428024e-12,near,0.999893795387277,0.9921382186783971,1.12,1.1400000000000001,9,5
2,3.7010886530693217,minimum,0.005272820302729111,1.3010426069826053e-18,0.002118481296136664,-0.0004458338638337455,0.0036663780620655173,0.0016057554586545934,6.867820090001628e-07,near,0.6953352952627402,0.9735240433282127,3.7,3.72,9,5
3,8.554299502790336,maximum,0.01195702450509166,-1.3877787807814457e-17,-0.0008286608579490123,0.0002924797314976524,0.00027357020457532906,0.011464978878867223,0.0002184754216491074,middle,0.9588488234664979,0.9301845210962785,8.540000000000001,8.56,9,5
4,17.850451012372186,minimum,0.006489157911839965,-4.336808689942018e-19,9.454159464421935e-05,-3.511593712307928e-05,2.730107406450844e-06,0.003863234267972932,0.002623193536460581,middle,0.5953367633301334,0.8498307143674245,17.84,17.86,9,5
5,34.32921317082577,maximum,0.008063503067823649,-1.734723475976807e-18,-1.1022895845262844e-05,1.1201896769758024e-06,2.579904616050162e-08,0.0022514082941233835,0.005812068974654106,far,0.7207870978367211,0.7271321653300196,34.32,34.34,9,5
1,1.0131530776661546,maximum,0.011318862226130474,8.673617379884035e-19,-0.008351734061329708,0.01665848855925193,0.0113181550162793,7.072096987512724e-07,1.5242295094470143e-13,near,0.999937519351588,0.9913942713707461,1.0,1.02,11,7
2,3.8987360350080533,minimum,0.005452120915396756,-2.3852447794681098e-18,0.0019878566774028496,-0.0007762389518204335,0.003510905103529642,0.0019408789732575026,3.368386096117832e-07,near,0.6439521716429413,0.9683416990814058,3.88,3.9,11,7
3,8.264158257209195,maximum,0.010337336860090177,-1.3877787807814457e-17,-0.0008014431772286681,0.00024034930534053145,0.00027533402754221706,0.009978159490103711,8.384334244424751e-05,middle,0.965254361461978,0.932917233491941,8.26,8.28,11,7
4,16.798380849715645,minimum,0.0052036239209184414,-1.734723475976807e-18,0.0001280502007542303,-4.205504312046471e-05,2.4242882515981133e-06,0.0035172710349064074,0.001683928597760436,middle,0.6759272169472247,0.8705988815315832,16.78,16.8,11,7
5,38.89371439524441,maximum,0.00820320433315662,8.673617379884035e-18,-9.263953742844055e-06,8.712540263550173e-07,4.67299029130638e-09,0.0017423507942004848,0.006460848865965845,far,0.787600625752021,0.7137587349644063,38.879999999999995,38.900000000000006,11,7
1,1.0167297359251104,maximum,0.007790434723825006,-1.732555071631836e-15,-0.007099335528242556,0.014310235681220931,0.007790423745339643,1.0978484963962492e-08,3.9853984091674896e-16,near,0.9999985907737178,0.994261738940682,1.0,1.02,13,9
2,4.455170207092439,minimum,0.0023369125765488625,1.5178830414797062e-18,0.001050201462272399,-0.000493114610127271,0.00144851029106001,0.0008882116769194638,1.9060856938858513e-07,near,0.6198393151699156,0.9785790807932699,4.44,4.46,13,9
3,8.936255793387188,maximum,0.004942824529470584,-1.951563910473908e-18,-0.00039067581092278904,0.00013069887698580196,8.47578088224373e-05,0.0047915879445611384,6.647877608700772e-05,middle,0.9694028011701148,0.96170721408269,8.92,8.94,13,9
4,15.934062267559653,minimum,0.002908307881562639,8.673617379884035e-19,0.00010952198858447254,-2.2768079911437977e-05,1.2723341578048797e-06,0.0017854878061075816,0.0011215477412972524,middle,0.6139266813623033,0.9351571307487266,15.92,15.94,13,9
5,48.281972851685374,maximum,0.007859609120204707,6.938893903907228e-18,-6.598797391104121e-06,4.726199741584419e-07,3.038992135597777e-10,0.0004635149777063827,0.0073960938385991114,far,0.941025657317482,0.7385001381126655,48.28,48.3,13,9
1,0.8542067879867717,maximum,0.011464862381684347,9.540979117872439e-18,-0.014173124761167959,0.035515988568923414,0.011464862336352617,4.5331730251277266e-11,6.993094140407409e-19,near,0.9999999960460293,0.992867357178478,0.84,0.86,15,11
2,4.951229198112063,minimum,0.0018377546193948497,4.445228907190568e-18,0.0009012806102008759,-0.0005104143392685861,0.0010894910541087608,0.0007479675542375611,2.9601104852788306e-07,near,0.592838152934431,0.9709187927892086,4.94,4.96,15,11
3,9.315094057229924,maximum,0.003886598681008223,2.3852447794681098e-18,-0.0003190926969832645,0.00011407130227658602,5.7028563468724035e-05,0.003766092599920589,6.347751761891042e-05,middle,0.9689944625164197,0.957983254625489,9.3,9.32,15,11
4,15.557973568558758,minimum,0.002468444157863915,1.3010426069826053e-18,0.00010803862065461405,-1.783513735298392e-05,1.0486090418955187e-06,0.0015654620255225078,0.0009019335232995118,middle,0.6341897670787057,0.9386362491415796,15.540000000000001,15.56,15,11
5,48.8367513005265,maximum,0.007896771349954104,4.336808689942018e-19,-6.814240244479644e-06,4.970118014924196e-07,1.1050074425669742e-10,0.0003826184907930525,0.007514152748660309,far,0.9515474635977628,0.7411350226846917,48.82,48.84,15,11
