delta_theta,theta,side,local_critical_pair_count,early_maximum_time,intervening_minimum_time,critical_point_separation,local_prominence,minimum_local_first_derivative,normal_form_separation,normal_form_prominence
-0.064,-9.739363585346341,one-peak-side,0,,,,,5.696099863004548e-11,,
-0.032,-9.707363585346341,one-peak-side,0,,,,,2.9360389319738524e-11,,
-0.016,-9.691363585346341,one-peak-side,0,,,,,1.4905181444615867e-11,,
-0.008,-9.68336358534634,one-peak-side,0,,,,,7.509475148034668e-12,,
-0.004,-9.67936358534634,one-peak-side,0,,,,,3.769039090003039e-12,,
-0.002,-9.677363585346342,one-peak-side,0,,,,,1.888105018935422e-12,,
-0.001,-9.67636358534634,one-peak-side,0,,,,,9.44950142444353e-13,,
0.001,-9.674363585346342,two-peak-side,2,36.98860507170905,37.16425917487636,0.1756541031673109,1.1086599621697593e-13,-9.463218650571834e-13,0.1756338682392227,1.1074870122756587e-13
0.002,-9.67336358534634,two-peak-side,2,36.9536851705624,37.202126205180114,0.24844103461771283,3.139085064664854e-13,-1.8935908523069965e-12,0.24838379847595793,3.1324463058245897e-13
0.004,-9.671363585346342,two-peak-side,2,36.905138240184456,37.25656788266724,0.35142964248278474,8.897490111402231e-13,-3.7909739880284224e-12,0.3512677364784454,8.85989609820527e-13
0.008,-9.667363585346342,two-peak-side,2,36.838135968358415,37.33536160509624,0.4972256367378236,2.5272683069321288e-12,-7.597147514438247e-12,0.49676759695191586,2.5059570446596718e-12
0.016,-9.659363585346341,two-peak-side,2,36.74662836807294,37.45045994158249,0.7038315735095466,7.208981455959085e-12,-1.5255337275874348e-11,0.7025354729568908,7.087916878564216e-12
0.032,-9.643363585346341,two-peak-side,2,36.62354843071856,37.62075276703339,0.9972043363148302,2.0738318221516638e-11,-3.075681004607154e-11,0.9935351939038317,2.0047656357277374e-11
0.064,-9.611363585346341,two-peak-side,2,36.46169309489942,37.87716015094381,1.4154670560443918,6.06772386010113e-11,-6.251411690898588e-11,1.4050709459137816,5.6703335028513725e-11
