diagnostic,resolution,secondary_resolution,error_primary,error_secondary,estimate_primary,estimate_secondary
GIG_log_quadrature_grid,501,,0.00024357674219244174,0.00024357674219244174,1.0002435767421924,1.0002435767421924
GIG_log_quadrature_grid,1001,,6.089084859906002e-05,6.089084859883798e-05,1.000060890848599,1.0000608908485988
GIG_log_quadrature_grid,2001,,1.5222503597422943e-05,1.5222503597200898e-05,1.0000152225035974,1.0000152225035972
GIG_log_quadrature_grid,4001,,3.805612865059871e-06,3.8056128648378262e-06,1.000003805612865,1.0000038056128648
GIG_log_quadrature_grid,8001,,9.514024015278011e-07,9.514024015278011e-07,1.0000009514024015,1.0000009514024015
GIG_log_quadrature_grid,16001,,2.378505494782246e-07,2.378505494782246e-07,1.0000002378505495,1.0000002378505495
CTMC_fold_central_time_difference,1.0,,4.108525441189647e-11,6.21789202889032e-12,4.108525441186214e-11,6.217892028978415e-12
CTMC_fold_central_time_difference,0.5,,1.0233400105797355e-11,1.551097608191748e-12,1.0233400105763027e-11,1.5510976082798428e-12
CTMC_fold_central_time_difference,0.25,,2.5559827459806435e-12,3.8756345239681923e-13,2.5559827459463155e-12,3.8756345248491396e-13
CTMC_fold_central_time_difference,0.125,,6.38847770097005e-13,9.687769918822136e-14,6.38847770062677e-13,9.687769927631609e-14
CTMC_fold_central_time_difference,0.0625,,1.5970270200287786e-13,2.4218765739351324e-14,1.5970270196854987e-13,2.421876582744606e-14
CTMC_sampled_extremum_time_grid,0.8,32,0.18476232942171578,0.25140275576207216,36.52833352123977,37.69239782152209
CTMC_sampled_extremum_time_grid,0.4,64,0.04305098664791274,0.06891136253808128,36.487553470789585,37.834109164295896
CTMC_sampled_extremum_time_grid,0.2,126,0.006756124844436329,0.012138667858053509,36.467075637913034,37.87040402609937
CTMC_sampled_extremum_time_grid,0.1,251,0.0022036998197236812,0.003405826212450336,36.46289522129214,37.874956451124085
CTMC_sampled_extremum_time_grid,0.05,501,0.00041911340679234854,0.000663038120499948,36.46211220830621,37.8769162262301
CTMC_parameter_sensitivity_check,0.01,,1.578053899252591e-14,,-9.458644002088636e-10,-9.45848619669871e-10
CTMC_parameter_sensitivity_check,0.003,,1.4202401484379903e-15,,-9.458500399100195e-10,-9.45848619669871e-10
CTMC_parameter_sensitivity_check,0.001,,1.578384565901871e-16,,-9.458487775083276e-10,-9.45848619669871e-10
CTMC_parameter_sensitivity_check,0.0003,,1.40090499972932e-17,,-9.45848633678921e-10,-9.45848619669871e-10
CTMC_parameter_sensitivity_check,0.0001,,1.752990519034122e-18,,-9.458486214228615e-10,-9.45848619669871e-10
