binary_tube_states,budget_abs_gap_to_continuum,budget_invariance_relative_error,dimensionless_f_t_residual,dimensionless_f_tt_residual,discretization,fold_density,fold_found,fold_theta,fold_theta_physical,fold_time,frac_tube_sum,free_mass_balance_relative_error,initial_tube_fraction_mass,jacobian_determinant,kappa_bar,matched_budget,n,normalized_margin_f_ttheta,normalized_margin_f_ttt,product_states,setup_seconds,solve_seconds,spacing
369,0.007330441368272073,0.0,1.3868869078835003e-14,1.5952749672311709e-13,scharfetter_gummel,0.0010000465169065454,True,0.21480811423771412,True,18.607082121025243,468.90625,1.5312654117731166e-16,0.07124999999999998,1.9321359281851776e-10,2.2724905303030303,0.18308639526367188,9,0.8428402423779857,-27.476733868404985,6561,0.026177999970968813,1.6999145000008866,0.125
369,0.007330441368272073,0.0,1.5528934427443017e-14,1.2407284905708052e-13,upwind,0.0037709468553015083,True,-0.18366819083629005,False,10.386720642542073,468.90625,1.3965222242725433e-16,0.07124999999999998,-4.620352458132171e-06,2.2724905303030303,0.18308639526367188,9,-87.8722975035121,-43.03641688461082,6561,0.026177999970968813,1465.6117102919961,0.125
1941,0.0035700446698968824,0.0,3.0295164192322137e-15,7.806997526833961e-14,scharfetter_gummel,0.000518764466142858,True,-0.11782646118549032,False,19.32733590072239,2045.203125,1.9524697582116167e-16,0.0,9.896569646227474e-10,2.265200692930772,0.17932599856529668,13,16.24227062176764,-31.59260810881293,28561,0.11825549998320639,9.674329541972838,0.08333333333333333
1941,0.0035700446698968824,0.0,9.139903678771259e-15,2.136208418688975e-12,upwind,0.0026350645991090253,True,-0.17576422151938542,False,10.577994028542106,2045.203125,2.0046221032308866e-16,0.0,-3.084042167486509e-06,2.265200692930772,0.17932599856529668,13,-98.90417949358329,-56.22589796306445,28561,0.11825549998320639,7.270043708966114,0.08333333333333333
5341,0.0005786656266949519,1.7314315963557148e-15,1.730343968537342e-14,8.470921469674187e-13,scharfetter_gummel,0.0005029212135052472,True,-0.13857708024239646,False,18.293030696548424,6003.78125,1.418262966991681e-16,0.0,1.4404950894888355e-09,2.254152621408935,0.17633461952209473,17,24.583322296630133,-25.942626923245903,83521,0.36137288296595216,57.11534192500403,0.0625
5341,0.0005786656266949519,1.7314315963557148e-15,6.838764072150587e-15,0.0,upwind,0.0007115178378660932,True,-0.04312179508070551,False,17.952012086963276,6003.78125,1.7411075369456075e-16,0.0,4.696875803942573e-10,2.254152621408935,0.17633461952209473,17,3.5727591751175445,-26.970331005576057,83521,0.36137288296595216,59.03957587201148,0.0625
14193,0.0017123015516493922,1.275798352510295e-15,1.3135297511981447e-14,2.987008936586035e-13,scharfetter_gummel,0.000427467005689446,True,-0.14583425993945173,False,17.79573509935452,14065.265625,1.8888516220567563e-16,0.0,1.3330407148869732e-09,2.2414399390278312,0.17404365234375038,21,31.90408080284498,-22.932727420815485,194481,0.8627782189869322,113.35830340097891,0.05
14193,0.0017123015516493922,1.275798352510295e-15,6.270131840220856e-14,3.6910578075172493e-13,upwind,0.0005885035502731924,True,-0.10001904898824608,False,18.273393451374726,14065.265625,1.9381962241137486e-16,0.0,8.096201097582706e-10,2.2414399390278312,0.17404365234375038,21,9.634782212219335,-27.053161895353636,194481,0.8627782189869322,140.26614307198906,0.05
26733,0.001974571086063831,4.997331886533041e-15,4.0590799343526604e-15,3.90367584239879e-13,scharfetter_gummel,0.0003528212738881671,True,-0.15071084303611784,False,17.441757694077577,28899.5,2.3639486492757497e-16,0.0,9.49858089887199e-10,2.2560307856565593,0.1777305249814636,25,35.09997325149924,-20.118861849492852,390625,1.6809250959777273,271.40428477397654,0.041666666666666664
26733,0.001974571086063831,4.997331886533041e-15,1.1180556280137712e-14,3.348274738839162e-13,upwind,0.0004880422371248299,True,-0.11811165633327231,False,18.30112782127208,28899.5,2.2232918628347413e-16,0.0,8.16399032373588e-10,2.2560307856565593,0.1777305249814636,25,14.316695591971794,-26.856925172524743,390625,1.6809250959777273,330.44952296296833,0.041666666666666664
50381,0.00041185771599094867,3.4824249966138483e-15,4.496667115648883e-15,1.130966025007802e-13,scharfetter_gummel,0.00034537898894579843,True,-0.1552607308514705,False,16.97706428442402,52237.546875,2.4538368636210047e-16,0.0,8.201147646023616e-10,2.2475432455258733,0.17534409617940883,29,35.6535757842493,-16.0188038196951,707281,3.305055723001715,2844.128361153009,0.03571428571428571
50381,0.00041185771599094867,3.4824249966138483e-15,3.1029379569415495e-13,1.112020231256684e-12,upwind,0.0004697132646898489,True,-0.12971247851630846,False,18.22777331615636,52237.546875,2.5082073309729547e-16,0.0,9.362996087704776e-10,2.2475432455258733,0.17534409617940883,29,18.58745387074131,-25.203668830778625,707281,3.305055723001715,1387.8558126210119,0.03571428571428571
91173,0.0008001350932814733,1.0946390526424762e-14,4.214970922785101e-14,1.1151123546007614e-12,scharfetter_gummel,0.0003297146047690588,True,-0.15780136738478842,False,16.810578015827502,87825.34375,1.9665822444537901e-16,0.0,6.89237721276463e-10,2.2488504438291432,0.1749558188021183,33,38.0672149205265,-13.300628104207489,1185921,5.4600646600010805,1168.1252094979864,0.03125
91173,0.0008001350932814733,1.0946390526424762e-14,2.3616081347726337e-14,2.3954925571977507e-12,upwind,0.00044846144221143743,True,-0.13701909539082696,False,18.173735522775512,87825.34375,2.1848728238810119e-16,0.0,9.778852984535507e-10,2.2488504438291432,0.1749558188021183,33,22.185807688069517,-23.907780990966362,1185921,5.4600646600010805,1504.9405101109878,0.03125
