direction_index,predicted_gradient_dot_direction,frechet_directional_derivative,five_point_directional_derivative,relative_linearity_error,relative_finite_difference_error,budget_residual,metric_norm_residual
0.0,-0.006125592113819363,-0.006125592113819363,-0.006125592114068767,0.0,4.0715051146417174e-11,0.0,0.0
1.0,-0.015957089394275745,-0.01595708939427573,-0.015957089394234382,8.696941819974267e-16,2.5921235094433302e-12,0.0,-2.220446049250313e-16
2.0,-0.011246030177299826,-0.01124603017729982,-0.011246030176918312,6.170082948837736e-16,3.392435006929964e-11,-1.1102230246251565e-16,-2.220446049250313e-16
3.0,0.0043248608806358765,0.004324860880635862,0.004324860881100197,3.4093927992550493e-15,1.0736077648595349e-10,-1.1102230246251565e-16,-2.220446049250313e-16
4.0,0.0027796467056308664,0.002779646705630863,0.002779646705736623,1.2481611223445715e-15,3.8046759371587817e-11,-1.1102230246251565e-16,-1.1102230246251565e-16
5.0,0.005240507230099027,0.005240507230098999,0.005240507230282187,5.2963528902782096e-15,3.4950798233973724e-11,-5.551115123125783e-17,0.0
6.0,0.007517008478527343,0.0075170084785273405,0.0075170084785682505,3.4615967527295174e-16,5.4419762549660746e-12,-3.3306690738754696e-16,-2.220446049250313e-16
7.0,0.010918058921545397,0.010918058921545414,0.010918058921521404,1.5888570380890222e-15,2.1975481693809268e-12,-8.881784197001252e-16,-1.1102230246251565e-16
8.0,0.0007916823615782571,0.0007916823615782623,0.0007916823612647005,6.5735586398004645e-15,3.960636185557561e-10,2.220446049250313e-16,0.0
9.0,0.009913359972356733,0.009913359972356737,0.009913359972508102,3.4997689598432253e-16,1.5269141994900007e-11,-8.326672684688674e-17,2.220446049250313e-16
10.0,-0.009048082303155156,-0.009048082303155175,-0.009048082303097133,2.1089505595114635e-15,6.412743483139948e-12,-4.996003610813204e-16,2.220446049250313e-16
11.0,-0.01807060134914517,-0.01807060134914518,-0.01807060134898878,5.759819861419943e-16,8.654321335778845e-12,0.0,0.0
12.0,-0.0003137259416289666,-0.00031372594162897526,-0.0003137259418223292,2.7647115598735282e-14,6.163425046712528e-10,2.220446049250313e-16,0.0
13.0,0.018197051819134197,0.018197051819134197,0.01819705181931493,0.0,9.932042940949528e-12,0.0,2.220446049250313e-16
14.0,0.004759705492434384,0.004759705492434397,0.004759705492055991,2.5512217827634888e-15,7.949935089320243e-11,-1.1102230246251565e-16,-1.1102230246251565e-16
15.0,-0.00118984300870577,-0.0011898430087057751,-0.0011898430088419507,4.373829479399582e-15,1.1445272963087348e-10,2.220446049250313e-16,0.0
16.0,-0.005373337794570261,-0.0053733377945702765,-0.0053733377947465235,2.9055517966980433e-15,3.2803195526088125e-11,0.0,0.0
17.0,-0.006051937566786559,-0.006051937566786559,-0.0060519375666192214,0.0,2.7650235346651325e-11,2.220446049250313e-16,0.0
18.0,0.020217288426589,0.020217288426589,0.020217288426530956,0.0,2.871000614990828e-12,5.551115123125783e-17,0.0
19.0,-0.004281498697520094,-0.004281498697520095,-0.004281498697557284,4.0516734875255613e-16,8.686382789906051e-12,-2.220446049250313e-16,0.0
20.0,0.006277533930449418,0.006277533930449424,0.006277533930685678,9.671842849371342e-16,3.763576574139158e-11,-5.551115123125783e-17,-1.1102230246251565e-16
21.0,0.010468929219305267,0.010468929219305284,0.010468929219076271,1.6570209231884777e-15,2.1873836100734138e-11,5.551115123125783e-17,0.0
22.0,-0.011766156065771863,-0.011766156065771872,-0.011766156065827944,7.371666100090696e-16,4.76622443367464e-12,2.220446049250313e-16,4.440892098500626e-16
23.0,-0.007248605420102936,-0.007248605420102951,-0.00724860542039805,2.034205021604438e-15,4.071317759798581e-11,4.996003610813204e-16,0.0
24.0,0.010110941133704074,0.01011094113370406,0.010110941133627722,1.3725515384076244e-15,7.551435426434148e-12,1.1102230246251565e-16,0.0
25.0,-0.008612501911431356,-0.008612501911431366,-0.008612501911029375,1.2085153609134021e-15,4.66740717538365e-11,-5.551115123125783e-17,0.0
26.0,-0.007816324167734423,-0.007816324167734407,-0.007816324167654135,1.997423718458261e-15,1.0271862440155965e-11,-1.1102230246251565e-16,-1.1102230246251565e-16
27.0,-0.010562957114781123,-0.010562957114781116,-0.010562957114580716,6.569082718510128e-16,1.897266048053299e-11,3.3306690738754696e-16,0.0
28.0,-0.014332612147000646,-0.014332612147000658,-0.014332612146885266,8.472331635918015e-16,8.05016745383113e-12,9.43689570931383e-16,2.220446049250313e-16
29.0,-0.008243839469318465,-0.008243839469318464,-0.008243839469448028,2.1042664433311152e-16,1.5716345211951434e-11,1.1102230246251565e-16,0.0
30.0,0.016279731734376628,0.016279731734376628,0.01627973173444023,0.0,3.9068150852057375e-12,1.1102230246251565e-16,-2.220446049250313e-16
31.0,0.011890433501443955,0.011890433501443937,0.01189043350146209,1.4589236597332632e-15,1.5251587938851534e-12,2.220446049250313e-16,-1.1102230246251565e-16
32.0,-0.0040982577972768705,-0.004098257797276884,-0.004098257797060152,3.386265211777465e-15,5.2880552471844105e-11,-1.1102230246251565e-16,0.0
33.0,-0.009744717998195717,-0.00974471799819571,-0.009744717997493822,7.120671840059404e-16,7.202826591414089e-11,2.220446049250313e-16,0.0
34.0,-0.017356605212634,-0.017356605212634026,-0.017356605213000864,1.399244170483518e-15,2.113678254729967e-11,6.661338147750939e-16,0.0
35.0,0.004970227844871621,0.004970227844871604,0.004970227844731482,3.4902292814739444e-15,2.819581725038726e-11,-3.3306690738754696e-16,-3.3306690738754696e-16
36.0,-0.013995573256941849,-0.013995573256941833,-0.01399557325690535,1.1155321041278111e-15,2.607866163427683e-12,0.0,-1.1102230246251565e-16
