dimension,channel_count,isolated_root_count,resolved_mode_count,minimum_peak_to_valley_ratio,max_scaled_derivative_residual
1,2,3,2,1.9961543885074915,3.6410191458503135e-15
1,3,5,3,1.9961543885074966,2.975575870055293e-14
1,4,7,4,1.9961543885074966,7.739803736588864e-15
2,2,3,2,2.695647755849703,5.328588897623603e-15
2,3,5,3,2.695647755849697,2.136319375477967e-14
2,4,7,4,2.695647755849702,1.7459841293145423e-13
3,2,3,2,3.6531292619523197,1.5352844978662125e-15
3,3,5,3,3.6531292619523197,5.162394124075168e-14
3,4,7,4,3.653129261952317,4.663426662268599e-14
4,2,3,2,4.959766409581116,4.608782547788293e-16
4,3,5,3,4.959766409581116,1.5093556349732457e-14
4,4,7,4,4.95976640958112,7.79994221769703e-14
