dimension,mode_count,channel,p,b,target_isolated_mode,a,log_normalization,catalyst_distance,mixture_weight,isolated_peak_height
1,2,1,2.0,0.01,1.0,2.01,-0.7777111033603843,1.3266499161421599,0.11220429018792191,0.28872260484589696
1,2,2,2.0,0.01,10.0,21.0,-3.4944608586678787,4.55521678957215,0.8877957098120779,0.0364902810183652
1,3,1,2.0,0.01,1.0,2.01,-0.7777111033603843,1.3266499161421599,0.019559275181641755,0.28872260484589696
1,3,2,2.0,0.01,10.0,21.0,-3.4944608586678787,4.55521678957215,0.1547591501556025,0.0364902810183652
1,3,3,2.0,0.01,100.0,300.0,-8.225291886737292,17.313289693180785,0.8256815746627562,0.006839446407227717
1,4,1,2.0,0.01,1.0,2.01,-0.7777111033603843,1.3266499161421599,0.004799730874496116,0.28872260484589696
1,4,2,2.0,0.01,10.0,21.0,-3.4944608586678787,4.55521678957215,0.037976983513674185,0.0364902810183652
1,4,3,2.0,0.01,100.0,300.0,-8.225291886737292,17.313289693180785,0.2026173930070323,0.006839446407227717
1,4,4,2.0,0.01,1000.0,12000.0,-29.515585893441877,109.54337040642852,0.7546058926047978,0.0018364431211373533
2,2,1,2.5,0.01,1.0,2.51,-1.542816153874273,1.5033296378372907,0.10390695960038128,0.37636952229862836
2,2,2,2.5,0.01,10.0,26.0,-5.324730518547373,5.07444578254611,0.8960930403996188,0.04364213422621624
2,3,1,2.5,0.01,1.0,2.51,-1.542816153874273,1.5033296378372907,0.01634355400075257,0.37636952229862836
2,3,2,2.5,0.01,10.0,26.0,-5.324730518547373,5.07444578254611,0.14094671860089705,0.04364213422621624
2,3,3,2.5,0.01,100.0,350.0,-11.092952621887132,18.701604209265042,0.84270972739835,0.007299329071370017
2,4,1,2.5,0.01,1.0,2.51,-1.542816153874273,1.5033296378372907,0.003789967373903055,0.37636952229862836
2,4,2,2.5,0.01,10.0,26.0,-5.324730518547373,5.07444578254611,0.032684657506653524,0.04364213422621624
2,4,3,2.5,0.01,100.0,350.0,-11.092952621887132,18.701604209265042,0.19541908524690638,0.007299329071370017
2,4,4,2.5,0.01,1000.0,12500.0,-33.480633640075,111.80228083541051,0.7681062898725372,0.0018570713830243298
3,2,1,3.0,0.01,1.0,3.01,-2.2326220977488282,1.6613247725836149,0.09965709334118779,0.45503638224440934
3,2,2,3.0,0.01,10.0,31.0,-7.119336905249115,5.545268253204709,0.900342906658812,0.05036703558564507
3,3,1,3.0,0.01,1.0,3.01,-2.2326220977488282,1.6613247725836149,0.014536305894940229,0.45503638224440934
3,3,2,3.0,0.01,10.0,31.0,-7.119336905249115,5.545268253204709,0.13132692779554558,0.05036703558564507
3,3,3,3.0,0.01,100.0,400.0,-13.954690701671588,19.993749023132207,0.8541367663095144,0.007744132212234925
3,4,1,3.0,0.01,1.0,3.01,-2.2326220977488282,1.6613247725836149,0.0032138157769685477,0.45503638224440934
3,4,2,3.0,0.01,10.0,31.0,-7.119336905249115,5.545268253204709,0.029034925072472736,0.05036703558564507
3,4,3,3.0,0.01,100.0,400.0,-13.954690701671588,19.993749023132207,0.1888401520368322,0.007744132212234925
3,4,4,3.0,0.01,1000.0,13000.0,-37.445449953616865,114.01644618211883,0.7789111071137261,0.0018774967913485565
4,2,1,3.5,0.01,1.0,3.51,-2.877344535501977,1.8055470085267789,0.09725579426371686,0.5258940751855031
4,2,2,3.5,0.01,10.0,36.0,-8.88829768114459,5.979130371550699,0.9027442057362833,0.056656410150020035
4,3,1,3.5,0.01,1.0,3.51,-2.877344535501977,1.8055470085267789,0.013402050139107315,0.5258940751855031
4,3,2,3.5,0.01,10.0,36.0,-8.88829768114459,5.979130371550699,0.12440002366604395,0.056656410150020035
4,3,3,3.5,0.01,100.0,450.0,-16.81136302010856,21.207310060448496,0.8621979261948485,0.008174525302561202
4,4,1,3.5,0.01,1.0,3.51,-2.877344535501977,1.8055470085267789,0.0028430609160446903,0.5258940751855031
4,4,2,3.5,0.01,10.0,36.0,-8.88829768114459,5.979130371550699,0.026389756908007045,0.056656410150020035
4,4,3,3.5,0.01,100.0,450.0,-16.81136302010856,21.207310060448496,0.18290345136871972,0.008174525302561202
4,4,4,3.5,0.01,1000.0,13500.0,-41.41004412660046,116.18842455253449,0.7878637308072289,0.0018977252444499163
