dimension,mode_count,root_index,time,kind,density,second_derivative,scaled_first_derivative_residual
1,2,1,1.0000063701053998,maximum,0.032395936888082635,-0.06543104699866356,1.54493017446142e-16
1,2,2,3.182248543053444,minimum,0.01622917399305212,0.006941612365847521,8.83251400644448e-16
1,2,3,9.497306045104255,maximum,0.03429228584080355,-0.0007493988179295684,3.6410191458503135e-15
1,3,1,1.0000063701053952,maximum,0.005647208705655313,-0.011405837080974469,9.479356868705165e-15
1,3,2,3.1822485430534435,minimum,0.002829044054992996,0.001210050936916081,1.4132022410311167e-15
1,3,3,9.497306059235234,maximum,0.005977777269577998,-0.0001306340158842456,6.175189993920347e-17
1,3,4,36.96773070232733,minimum,0.0019465315535428266,1.0903660683877018e-05,2.975575870055293e-14
1,3,5,98.04016148372934,maximum,0.005804965366571379,-2.2590469436493317e-06,2.5510885457157366e-16
1,4,1,1.0000063701054,maximum,0.0013857917395987023,-0.002798925209580778,2.8960240945236613e-16
1,4,2,3.1822485430534435,minimum,0.0006942307406567104,0.0002969393695672501,5.299508403866688e-16
1,4,3,9.497306059235234,maximum,0.0014669113172754238,-3.2056817723365155e-05,1.7707830919763115e-16
1,4,4,36.96773070232715,minimum,0.0004776673730982388,2.675694080860187e-06,1.0260606448466478e-15
1,4,5,98.04016148372934,maximum,0.001424504294589848,-5.543568083006881e-07,2.5510885457157366e-16
1,4,6,495.74367607498493,minimum,1.6219362939852155e-05,6.4466686581043476e-09,7.739803736588864e-15
1,4,7,999.9902111800941,maximum,0.0013858163055210473,-3.048479229129802e-08,6.829665677808061e-16
2,2,1,1.0000002218606878,maximum,0.03910741367909723,-0.09855012531866376,4.1353481148644765e-16
2,2,2,3.350331839333866,minimum,0.014507612722853721,0.008736466559469767,1.673826996673444e-15
2,2,3,9.751499570284992,maximum,0.04022153568760145,-0.0010718918822285395,5.328588897623603e-15
2,3,1,1.0000002218606916,maximum,0.0061512157583306784,-0.015500976076299104,9.356380527226325e-15
2,3,2,3.350331839333868,minimum,0.0022819063599768246,0.001374161206714195,5.207461767428495e-15
2,3,3,9.751499571170218,maximum,0.006326456312803526,-0.00016859816582161704,2.580271313962614e-16
2,3,4,37.52592292290551,minimum,0.0015512821445070719,1.1953381085478838e-05,1.8227187846576908e-15
2,3,5,99.01541904308814,maximum,0.006234911910545001,-2.7575938368739052e-06,2.136319375477967e-14
2,4,1,1.0000002218606878,maximum,0.0014264282439938197,-0.003594578852930105,4.135367173110018e-16
2,4,2,3.3503318393338577,minimum,0.0005291597319784801,0.0003186593405381882,1.5994346857101756e-14
2,4,3,9.751499571170216,maximum,0.0014670654263353195,-3.909685419306004e-05,2.494575215332152e-16
2,4,4,37.52592292290551,minimum,0.0003597325719442328,2.771913888479134e-06,1.8227187846576908e-15
2,4,5,99.01541904308766,maximum,0.0014458368552541878,-6.394686658573255e-07,1.6639673527592126e-16
2,4,6,490.97137789975557,minimum,1.1928087375752594e-05,5.372452658355257e-09,1.7459841293145423e-13
2,4,7,999.9950782788077,maximum,0.0014264412103859986,-3.2093183452386636e-08,3.680472390369828e-16
3,2,1,1.000000007749372,maximum,0.04534760325688371,-0.13694973001519142,2.3342995046364874e-16
3,2,2,3.4571533462489867,minimum,0.012413358522290247,0.010145060517121066,1.5352844978662125e-15
3,2,3,9.87742703180468,maximum,0.04598062128314517,-0.0014546988146650216,5.140381366295848e-17
3,3,1,1.0000000077493754,maximum,0.006614548051162268,-0.019975930473054536,1.0003390707273487e-14
3,3,2,3.457153346249006,minimum,0.001810652615020607,0.0014797913330129374,5.162394124075168e-14
3,3,3,9.877427031847267,maximum,0.006706882107459528,-0.00021218707311700748,1.9318037209701925e-16
3,3,4,37.902188466964475,minimum,0.0012241208744778128,1.2463475528303282e-05,3.681989702974277e-15
3,3,5,99.50469156447747,maximum,0.006658782325955982,-3.2943573082241663e-06,2.2655472581008367e-16
3,4,1,1.000000007749372,maximum,0.0014624031055745245,-0.004416456352660862,2.3342994053748134e-16
3,4,2,3.4571533462489707,minimum,0.0004003151820565425,0.0003271654275185394,4.663426662268599e-14
3,4,3,9.877427031847265,maximum,0.0014828171398569819,-4.691220508021793e-05,2.608866485066368e-16
3,4,4,37.90218846696447,minimum,0.0002706395288972762,2.7555360060677284e-06,1.314996322490813e-15
3,4,5,99.50469156447745,maximum,0.0014721828124162914,-7.283458100470844e-07,7.174232983985983e-16
3,4,6,486.6468431276174,minimum,8.760359095501575e-06,4.4403759367658475e-09,5.0651862197008825e-15
3,4,7,999.9975250210947,maximum,0.0014624097110971946,-3.363446853694008e-08,2.3455872443314495e-15
4,2,1,1.0000000002711142,maximum,0.05114624598225125,-0.18003478417434496,4.608782547788293e-16
4,2,2,3.530433855792115,minimum,0.010312228794373983,0.01105150362519581,3.9195689536165755e-16
4,2,3,9.939457640750877,maximum,0.051497750247531456,-0.0018899379450958947,1.3793768406310077e-16
4,3,1,1.0000000002711176,maximum,0.0070480587637026075,-0.02480916661628723,1.2007197615369581e-14
4,3,2,3.530433855792114,minimum,0.0014210465134179295,0.0015229201182171304,3.1356551628932596e-15
4,3,3,9.939457640752643,maximum,0.007096496780409676,-0.0002604373681952495,3.1408817851545886e-16
4,3,4,38.161591439916165,minimum,0.0009578692593260155,1.2486444350200187e-05,1.5093556349732457e-14
4,3,5,99.75093922712018,maximum,0.0070713243493056716,-3.864780789256685e-06,1.278875937832094e-15
4,4,1,1.0000000002711142,maximum,0.0014951488911832886,-0.005262924047761098,4.608782582943469e-16
