sample,q1,q2,bias1,bias2,rho1,rho2,classification,R_peak,R_valley,separation_widths,tail_mass
0,0.7134925858464705,0.23464461700403474,0.32838251713005995,0.25847637659747574,0.5416966126584761,0.5620453392815307,bimodal,0.37485917527139234,0.11191304411320585,1.5034013605442176,9.940234065092462e-12
1,0.6986579611772514,0.19784578255852486,0.3459037892967,0.33127032321563477,0.6318094017401901,0.6620966271226858,bimodal,0.2786880555511067,0.0863912755055637,1.6615384615384616,9.923291674500266e-12
2,0.6634621561156392,0.1607862107765456,0.28697697555570645,0.29871367196040427,0.6769736636981802,0.5354524347468036,bimodal,0.4151872984811763,0.08374050250374812,1.6408839779005524,9.980899494784217e-12
3,0.6918129723068048,0.18889040326517967,0.33052735118444454,0.2851526721881196,0.5372565569250587,0.5951645056251723,bimodal,0.3873360391594157,0.07968015252991442,1.584097859327217,9.944511547020995e-12
4,0.6959648527769524,0.19478835655981125,0.3060276803393319,0.269723823097536,0.6668792761323042,0.5454811574057035,bimodal,0.46045530801073237,0.09043509984846779,1.5476190476190477,9.94097764090068e-12
5,0.7398176634485187,0.22960063361958405,0.3416675806807013,0.2586232864551981,0.6445478976077547,0.5547430057285666,bimodal,0.46645767932433035,0.08578181089904009,1.5083056478405317,9.921091112419123e-12
6,0.7430628071899701,0.18017710288760005,0.2670359393058783,0.3259166715541609,0.6638453744735489,0.5874063647099639,bimodal,0.2852265523372548,0.1117996660780094,1.710344827586207,9.947978501236885e-12
7,0.7291171484550446,0.1856038438225838,0.2801658569798478,0.31201007944429454,0.6666062709266714,0.6508124773472442,bimodal,0.31862257938122296,0.10740081757679824,1.6554054054054055,9.913839113456636e-12
8,0.7134455392638853,0.16325273471614998,0.2699280574464424,0.3025033328957574,0.6154758795394109,0.5011271417256388,bimodal,0.37687497117032176,0.09142141747095885,1.6487252124645893,9.961865166403645e-12
9,0.6421416151899056,0.2102281637107825,0.33772953916107407,0.34063602948136695,0.5830197198960175,0.5349901127255366,bimodal,0.19713482503356028,0.1210597310027335,1.706896551724138,9.997396168246288e-12
10,0.6508411650468978,0.22208151437681492,0.29308686400491907,0.2951625385571601,0.6610148672993558,0.6088367976750946,bimodal,0.2611855155015264,0.1511390642837764,1.667953667953668,9.9974175021721e-12
11,0.7415208753298617,0.21159383423843586,0.2686186842849437,0.340557470336857,0.6578674526468962,0.5736773409557373,bimodal,0.19528905831600965,0.15074476796832914,1.7777777777777777,9.878758183282006e-12
12,0.7616105650062949,0.22589098828440815,0.33968211197760445,0.2598646395822916,0.6467685202190395,0.5316430674448795,bimodal,0.48221902721742094,0.07950295431534793,1.5098039215686274,9.938061681790532e-12
13,0.7546546113161128,0.17658467362416064,0.3014794837086756,0.2851294795961877,0.6680519534693754,0.5903543414895505,shoulder,,,,9.93619164829301e-12
14,0.6854321395706469,0.16312011627829898,0.3329707050191144,0.29731797525067116,0.656868001147985,0.5045902916345757,bimodal,0.4775422247718808,0.053128097453421584,1.6378830083565459,9.922990884612598e-12
15,0.6630258158010627,0.16115554250386321,0.2965007894470162,0.33550022666934387,0.6219840659145861,0.565980640915594,bimodal,0.29286158437288345,0.08845350273368671,1.718849840255591,9.931069785789222e-12
16,0.7345799399612029,0.20671022000716,0.28400479203490125,0.2841720670051959,0.6022800783065321,0.5883693447971337,bimodal,0.3383533674204505,0.12066652771279225,1.5892255892255893,9.942982402364214e-12
17,0.7659569577829761,0.17871010008205707,0.30662352857775094,0.3325310317249523,0.5002850962968717,0.5000102258581832,bimodal,0.26660682624714815,0.08368552729859159,1.696551724137931,9.99554022731893e-12
18,0.6699466974152899,0.20320488766737865,0.3281314990843669,0.3141093625285343,0.6126974171503324,0.569920168602771,bimodal,0.2793138926741141,0.10498145554761132,1.6404494382022472,9.927210682562524e-12
19,0.7676497984123231,0.18124340922643092,0.26163367825940775,0.31850123149011295,0.5904553668655106,0.6497542185506329,bimodal,0.2845731680400952,0.11557702279715092,1.6835016835016836,9.91538624308764e-12
20,0.7008372650004293,0.20761624246157231,0.29041866198792776,0.30840263069243434,0.6892528462204421,0.6624352423672863,bimodal,0.28199137136575775,0.12791405709057777,1.6754716981132076,9.955336729605938e-12
21,0.6854206418244739,0.16340478803473274,0.2814754541650108,0.2530725660814544,0.5909208068054801,0.5361259218811402,bimodal,0.5775770182034315,0.0771925693946174,1.53810623556582,9.969998359737983e-12
22,0.7535906344313201,0.20308484808322275,0.277693285584584,0.3269059832532473,0.6888299686571465,0.6916580556515327,bimodal,0.2535484627839491,0.12725904748621666,1.7086614173228347,9.931990155696171e-12
23,0.6495449566011862,0.22986757424140208,0.29060817014243645,0.3004831064991567,0.5769311443352363,0.5405455869429711,bimodal,0.2144355543809287,0.1684447380391094,1.7004048582995952,9.954423794528046e-12
24,0.6365290793287119,0.17741661158017696,0.2792334591798822,0.2857536785124888,0.6636620787349602,0.626651273245921,bimodal,0.374446061361142,0.11405320437346175,1.6023391812865497,9.996654050187295e-12
25,0.677113995250044,0.2223526793820259,0.33703654794372834,0.2831056716080733,0.6989095884863956,0.663438592356263,bimodal,0.36728935805736546,0.10369588024816138,1.5563636363636364,9.93096697068805e-12
26,0.6793355310609777,0.19238261515780566,0.2554413021438928,0.31844711830419065,0.569884459031931,0.6212599409945871,bimodal,0.21993613987452035,0.15743268308572372,1.7410071942446044,9.983625424993199e-12
27,0.6343222191876409,0.17112519290997275,0.26188030533917883,0.2977973527998981,0.6007556576121923,0.6872467192243789,bimodal,0.3109332474913712,0.13027429395413126,1.6617210682492582,9.928110904979023e-12
