info: FormalPRR/ZeroBound.lean:355:0: 'expPoly_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:356:0: 'affine_times_exp_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:357:0: 'affine_times_exp_ncard_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:358:0: 'rolle_interleave' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:359:0: 'atMost_succ_of_deriv' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:360:0: 'expPoly_atMostZeros' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:361:0: 'expPoly_zeros_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:362:0: 'expPoly_zeros_ncard_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:363:0: 'expPoly_one_zeros_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:364:0: 'expPoly_two_zeros_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/ZeroBound.lean:365:0: 'expPoly_three_zeros_le_five' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/GaussianMixture.lean:259:0: 'FormalPRR.MixtureIndep.H_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/GaussianMixture.lean:260:0: 'FormalPRR.MixtureIndep.logDeriv_H' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/GaussianMixture.lean:261:0: 'FormalPRR.MixtureIndep.second_logDeriv_H' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/GaussianMixture.lean:262:0: 'FormalPRR.MixtureIndep.crossover_point' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/GaussianMixture.lean:263:0: 'FormalPRR.MixtureIndep.sum_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/GaussianMixture.lean:264:0: 'FormalPRR.MixtureIndep.cbar_eq_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/GaussianMixture.lean:265:0: 'FormalPRR.MixtureIndep.var_eq_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/BZeroThreshold.lean:163:0: 'FormalPRR.BZero.threshold_wd' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/BZeroThreshold.lean:164:0: 'FormalPRR.BZero.margin_min' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/BZeroThreshold.lean:165:0: 'FormalPRR.BZero.Eexp_strictMono' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/BZeroThreshold.lean:166:0: 'FormalPRR.BZero.explicit_log_form' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/BZeroThreshold.lean:167:0: 'FormalPRR.BZero.explicit_is_threshold' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/NewtonContraction.lean:111:0: 'FormalPRR.Newton.neumann_inverse_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/NewtonContraction.lean:112:0: 'FormalPRR.Newton.neumann_inverse_bound'' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/NewtonContraction.lean:113:0: 'FormalPRR.Newton.contraction_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/NewtonContraction.lean:114:0: 'FormalPRR.Newton.contraction_factor_extreme' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/NewtonContraction.lean:115:0: 'FormalPRR.Newton.fixed_point_displacement' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/NewtonContraction.lean:116:0: 'FormalPRR.Newton.sqrt2_prefactor_le' depends on axioms: [propext, Classical.choice, Quot.sound]
