t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,1.0376530218265133e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0376530218265133e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4,6.2612283484580119e-05,0.0000000000000000e+00,0.0000000000000000e+00,1.6186529576012759e-07,6.5948852488440870e-06,5.5855532939975902e-05,0.0000000000000000e+00,0.0000000000000000e+00
5,6.1763046269340180e-04,0.0000000000000000e+00,8.4114849961889514e-09,7.4368904270301101e-07,1.9165716777181866e-05,1.6950415502518958e-04,4.2820849036333112e-04,0.0000000000000000e+00
6,2.3196326817421786e-03,2.8564649689459416e-10,4.1588155129025665e-08,1.9860317474193768e-06,3.9396522572953728e-05,3.3394452904242486e-04,1.0806610924416862e-03,8.6360263213606863e-04
7,4.5477646953245507e-03,1.4718730694224813e-09,1.2049980692808401e-07,4.0651646468002686e-06,6.6886873633053659e-05,5.3073473788778423e-04,1.8460501679547804e-03,2.0999057795221343e-03
8,6.9067248223714239e-03,4.4240293758220210e-09,2.6741418447173697e-07,7.0907974721591864e-06,1.0062606084132602e-04,7.4459358699828818e-04,2.6253148139996577e-03,3.4288277248461460e-03
9,9.1440699852400435e-03,1.0142115764475496e-08,5.0332868173605350e-07,1.1114724184389008e-05,1.3941881576478936e-04,9.6346923979401624e-04,3.3612638950196523e-03,4.6682898396796964e-03
10,1.1137995793291298e-02,1.9648317747070639e-08,8.4619827132680418e-07,1.6142450519679396e-05,1.8206830547824369e-04,1.1788807863236366e-03,4.0226588153807058e-03,5.7373795889999598e-03
11,1.2843080196889983e-02,3.3895196911378814e-08,1.3098801555430187e-06,2.2143461829560378e-05,2.2747402795661413e-04,1.3851252105042387e-03,4.5962452637130016e-03,6.6107484575341135e-03
12,1.4257043025625872e-02,5.3699719615349211e-08,1.9036528937266761e-06,2.9059966020988616e-05,2.7466588583338440e-04,1.5785988180725638e-03,5.0795798559243243e-03,7.2931811471612686e-03
13,1.5399292949595939e-02,7.9702140961905636e-08,2.6321705031522925e-06,3.6814073252932532e-05,3.2280980553094676e-04,1.7572108980904537e-03,5.4764413490860451e-03,7.8033049509914449e-03
14,1.6298670662297385e-02,1.1234615299119015e-07,3.4957217666096674e-06,4.5313698252880508e-05,3.7119949818561408e-04,1.9199399039844798e-03,5.7938447297806806e-03,8.1647647641741282e-03
15,1.6986659936339923e-02,1.5187581543001467e-07,4.4906865010948856e-06,5.4457419602566360e-05,4.1924316953174527e-04,2.0665037855695646e-03,6.0402070876610873e-03,8.4016059116584357e-03
16,1.7493855951800304e-02,1.9834483769529442e-07,5.6101029260367364e-06,6.4138489563038059e-05,4.6644925205802058e-04,2.1971202827915717e-03,6.2242543962562850e-03,8.5360850833676571e-03
17,1.7848287333825884e-02,2.5163425691218870e-07,6.8442816387839946e-06,7.4248135729021363e-05,5.1241300896671081e-04,2.3123343711523880e-03,6.3544024152462734e-03,8.5877934868357937e-03
18,1.8074769207936187e-02,3.1147521223701187e-07,8.1814200236796741e-06,8.4678258955267594e-05,5.5680466285579764e-04,2.4128952614638562e-03,6.4384329021909053e-03,8.5734652272344437e-03
19,1.8194807879388649e-02,3.7747420278796182e-07,9.6081858198500332e-06,9.5323607343821267e-05,5.9935914623903070e-04,2.4996696042456214e-03,6.4833501673839415e-03,8.5071196941535962e-03
20,1.8226783480726871e-02,4.4913885929363255e-07,1.1110250163248756e-05,1.0608349118419563e-04,6.3986733367621222e-04,2.5735810029235344e-03,6.4953446256297825e-03,8.4003476382906051e-03
21,1.8186256880262128e-02,5.2590282038056913e-07,1.2672759127192379e-05,1.1686309497380857e-04,6.7816853964088942e-04,2.6355685451010351e-03,6.4798171971828765e-03,8.2626408414159455e-03
22,1.8086316711170534e-02,6.0714876984557644e-07,1.4280739116545490e-05,1.2757443733917134e-04,7.1414406446678250e-04,2.6865590051599153e-03,6.4414358802105300e-03,8.1017154361077426e-03
23,1.7937922304740096e-02,6.9222906187841359e-07,1.5919435914266948e-05,1.3813702601663355e-04,7.4771159846301945e-04,2.7274488085826678e-03,6.3842069756771544e-03,7.9238062310244776e-03
24,1.7750220970038262e-02,7.8048364534547578e-07,1.7574590165899560e-05,1.4847825197367512e-04,7.7882032980965523e-04,2.7590929081378096e-03,6.3115505214420310e-03,7.7339238848638464e-03
25,1.7530830698560401e-02,8.7125520781970498e-07,1.9232653976120810e-05,1.5853356371588333e-04,8.0744663546779229e-04,2.7822985020938334e-03,6.2263739466827134e-03,7.5360741414162375e-03
26,1.7286086223701414e-02,9.6390160795407356e-07,2.0880954369561826e-05,1.6824645961715791e-04,8.3359026248369390e-04,2.7978220978548758e-03,6.1311407336564058e-03,7.3334418141117646e-03
27,1.7021249901498448e-02,1.0578057634425189e-06,2.2507809861569052e-05,1.7756833270352496e-04,8.5727092907544118e-04,2.8063688447909295e-03,6.0279325786856946e-03,7.1285436006178447e-03
28,1.6740690538902751e-02,1.1523832222887833e-06,2.4102606467392057e-05,1.8645819877815458e-04,8.7852529136187463e-04,2.8085933674858966e-03,5.9185045682603526e-03,6.9233541233267937e-03
29,1.6448033913369679e-02,1.2470876768774639e-06,2.5655839282435865e-05,1.9488233519479066e-04,8.9740423354779696e-04,2.8051015547142133e-03,5.8043334797204024e-03,6.7194093832331639e-03
30,1.6146288784972603e-02,1.3414146912068658e-06,2.7159125390479994e-05,2.0281385406859258e-04,9.1397044786893937e-04,2.7964529221045013e-03,5.6866596397548968e-03,6.5178913810939867e-03
31,1.5837951975986322e-02,1.4349039078335042e-06,2.8605193373947780e-05,2.1023223034281988e-04,9.2829627654609701e-04,2.7831632839185457e-03,5.5665229308102405e-03,6.3196971570868392e-03
32,1.5525095739386444e-02,1.5271399874546632e-06,2.9987854163185053e-05,2.1712280197182362e-04,9.4046179214122671e-04,2.7657075537212091e-03,5.4447935911965169e-03,6.1254950062050268e-03
33,1.5209440243576981e-02,1.6177525143208858e-06,3.1301957407734490e-05,2.2347625657924604e-04,9.5055309561432844e-04,2.7445225538655555e-03,5.3221984510278628e-03,5.9357701765679321e-03
34,1.4892413612036463e-02,1.7064150775781744e-06,3.2543337007625247e-05,2.2928811632998906e-04,9.5866081346253091e-04,2.7200097562594312e-03,5.1993432095306597e-03,5.7508619643686512e-03
35,1.4575201596368511e-02,1.7928437141847853e-06,3.3708748923884066e-05,2.3455823042453823e-04,9.6487877687512344e-04,2.6925379066710460e-03,5.0767313061658896e-03,5.5709937835938441e-03
36,1.4258788639200024e-02,1.8767948746304693e-06,3.4795803905500370e-05,2.3929028258168347e-04,9.6930286706129777e-04,2.6624455054372821e-03,4.9547798785167015e-03,5.3962975068229287e-03
37,1.3943991801961601e-02,1.9580630492509636e-06,3.5802897330901716e-05,2.4349131910883254e-04,9.7203001193424485e-04,2.6300431314684961e-03,4.8338332399760200e-03,5.2268331390938538e-03
38,1.3631488790438432e-02,2.0364781710772998e-06,3.6729137968169862e-05,2.4717130165030675e-04,9.7315732025068480e-04,2.5956156057984269e-03,4.7141742533171431e-03,5.0626046932826241e-03
39,1.3321841104854071e-02,2.1119028912329782e-06,3.7574277109912826e-05,2.5034268743194922e-04,9.7278134016001228e-04,2.5594239969866537e-03,4.5960339239906386e-03,4.9035729762836712e-03
