case_id,L,x1_0,x2_0,q0,rho,Q1,Q2,mean_distribution,mass_balance_error,diagonal_decomposition_error,tail_mass,classification,t1,t2,tv,R_peak,R_valley,peak_separation,score,candidate_peaks,dominant_early_positions,dominant_late_positions
p00_rho0p1,7,0,6,3.4999999999999998e-01,1.0000000000000001e-01,6.3636363636363630e-02,6.3636363636363624e-01,4.9245220683688139e+01,3.3089850304257595e-16,0.0000000000000000e+00,9.8964310885680561e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,0:5.896917e-02;1:4.491704e-02;2:1.731773e-02,
p00_rho0p2,7,0,6,3.4999999999999998e-01,2.0000000000000001e-01,1.1666666666666665e-01,5.8333333333333337e-01,4.6249557292257464e+01,2.8449465006019636e-16,0.0000000000000000e+00,9.7968258853320783e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,1:4.684699e-02;0:3.914410e-02;2:3.073922e-02,
p00_rho0p5,7,0,6,3.4999999999999998e-01,5.0000000000000000e-01,2.3333333333333331e-01,4.6666666666666662e-01,4.3659427741598066e+01,2.4980018054066022e-16,0.0000000000000000e+00,9.9975533705017553e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,2:3.773280e-02;1:3.363028e-02;3:3.024969e-02,
p00_rho1p0,7,0,6,3.4999999999999998e-01,1.0000000000000000e+00,3.4999999999999998e-01,3.4999999999999998e-01,4.3097594297317201e+01,3.5735303605122226e-16,0.0000000000000000e+00,9.8775804910120152e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,3:3.552071e-02;4:3.059757e-02;2:3.059757e-02,
p00_rho2p0,7,0,6,3.4999999999999998e-01,2.0000000000000000e+00,4.6666666666666662e-01,2.3333333333333331e-01,4.3659427741598044e+01,2.2551405187698492e-16,0.0000000000000000e+00,9.9975533705017521e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,4:3.773280e-02;5:3.363028e-02;3:3.024969e-02,
p00_rho5p0,7,0,6,3.4999999999999998e-01,5.0000000000000000e+00,5.8333333333333337e-01,1.1666666666666665e-01,4.6249557292257485e+01,1.7401444868392346e-16,0.0000000000000000e+00,9.7968258853320752e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,5:4.684699e-02;6:3.914410e-02;4:3.073922e-02,
p00_rho10p0,7,0,6,3.4999999999999998e-01,1.0000000000000000e+01,6.3636363636363635e-01,6.3636363636363630e-02,4.9245220683688281e+01,2.2204460492503131e-16,0.0000000000000000e+00,9.8964310885683701e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,6:5.896917e-02;5:4.491704e-02;4:1.731773e-02,
p01_rho0p1,7,6,0,3.4999999999999998e-01,1.0000000000000001e-01,6.3636363636363630e-02,6.3636363636363624e-01,4.9245220683688139e+01,2.3939183968479938e-16,0.0000000000000000e+00,9.8964310885680466e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,6:5.896917e-02;5:4.491704e-02;4:1.731773e-02,
p01_rho0p2,7,6,0,3.4999999999999998e-01,2.0000000000000001e-01,1.1666666666666665e-01,5.8333333333333337e-01,4.6249557292257485e+01,2.2204460492503131e-16,0.0000000000000000e+00,9.7968258853320752e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,5:4.684699e-02;6:3.914410e-02;4:3.073922e-02,
p01_rho0p5,7,6,0,3.4999999999999998e-01,5.0000000000000000e-01,2.3333333333333331e-01,4.6666666666666662e-01,4.3659427741598044e+01,2.2204460492503131e-16,0.0000000000000000e+00,9.9975533705017521e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,4:3.773280e-02;5:3.363028e-02;3:3.024969e-02,
p01_rho1p0,7,6,0,3.4999999999999998e-01,1.0000000000000000e+00,3.4999999999999998e-01,3.4999999999999998e-01,4.3097594297317201e+01,2.6714741530042829e-16,0.0000000000000000e+00,9.8775804910120152e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,3:3.552071e-02;4:3.059757e-02;2:3.059757e-02,
p01_rho2p0,7,6,0,3.4999999999999998e-01,2.0000000000000000e+00,4.6666666666666662e-01,2.3333333333333331e-01,4.3659427741598066e+01,2.2204460492503131e-16,0.0000000000000000e+00,9.9975533705017553e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,2:3.773280e-02;1:3.363028e-02;3:3.024969e-02,
p01_rho5p0,7,6,0,3.4999999999999998e-01,5.0000000000000000e+00,5.8333333333333337e-01,1.1666666666666665e-01,4.6249557292257464e+01,2.8275992658421956e-16,0.0000000000000000e+00,9.7968258853320783e-15,unimodal,19,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,19,1:4.684699e-02;0:3.914410e-02;2:3.073922e-02,
