case_id,L,x1_0,x2_0,q0,rho
p00_rho0p1,7,0,6,0.35,0.1
p00_rho0p2,7,0,6,0.35,0.2
p00_rho0p5,7,0,6,0.35,0.5
p00_rho1p0,7,0,6,0.35,1.0
p00_rho2p0,7,0,6,0.35,2.0
p00_rho5p0,7,0,6,0.35,5.0
p00_rho10p0,7,0,6,0.35,10.0
p01_rho0p1,7,6,0,0.35,0.1
p01_rho0p2,7,6,0,0.35,0.2
p01_rho0p5,7,6,0,0.35,0.5
p01_rho1p0,7,6,0,0.35,1.0
p01_rho2p0,7,6,0,0.35,2.0
p01_rho5p0,7,6,0,0.35,5.0
p01_rho10p0,7,6,0,0.35,10.0
p02_rho0p1,7,1,5,0.35,0.1
p02_rho0p2,7,1,5,0.35,0.2
p02_rho0p5,7,1,5,0.35,0.5
p02_rho1p0,7,1,5,0.35,1.0
p02_rho2p0,7,1,5,0.35,2.0
p02_rho5p0,7,1,5,0.35,5.0
p02_rho10p0,7,1,5,0.35,10.0
p03_rho0p1,7,5,1,0.35,0.1
p03_rho0p2,7,5,1,0.35,0.2
p03_rho0p5,7,5,1,0.35,0.5
p03_rho1p0,7,5,1,0.35,1.0
p03_rho2p0,7,5,1,0.35,2.0
p03_rho5p0,7,5,1,0.35,5.0
p03_rho10p0,7,5,1,0.35,10.0
