t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,2.0173010973936889e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0173010973936889e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4,3.2598465011050127e-04,0.0000000000000000e+00,0.0000000000000000e+00,1.5836934337372342e-04,1.4373270318930034e-04,2.3882603547477508e-05,0.0000000000000000e+00,0.0000000000000000e+00
5,1.2801290119870252e-03,0.0000000000000000e+00,1.9896609592404179e-04,5.6326799815471025e-04,4.1358209622352824e-04,9.7976566105162637e-05,6.3362555795822086e-06,0.0000000000000000e+00
6,2.9386067592329576e-03,8.8605835221991988e-05,6.2380078132871612e-04,1.1622023243719609e-03,8.0716001456973812e-04,2.3007727509216094e-04,2.5860637546944403e-05,8.9989110144523277e-07
7,5.0900794979193541e-03,2.8394382328274980e-04,1.1967924271132746e-03,1.8557143066441166e-03,1.2744130868796747e-03,4.1269378952553555e-04,6.2635282181638691e-05,3.8867822923645854e-06
8,7.4636660928326937e-03,5.5627155649377912e-04,1.8263037136496500e-03,2.5567449132364068e-03,1.7658680403506151e-03,6.3113621251272012e-04,1.1744378656916701e-04,9.8978700203549371e-06
9,9.8362693692269545e-03,8.6479180964551020e-04,2.4428606346405747e-03,3.2075192195983428e-03,2.2437596777368195e-03,8.6943468365549797e-04,1.8851434602315683e-04,1.9388997927054734e-05
10,1.2058359435663335e-02,1.1753702977140717e-03,3.0040407812837121e-03,3.7770531423922567e-03,2.6835940713028266e-03,1.1134533818540223e-03,2.7251821583286831e-04,3.2329545283577177e-05
11,1.4045064686597303e-02,1.4650040280440408e-03,3.4888205776260482e-03,4.2534694261010409e-03,3.0719444937343252e-03,1.3520691566102465e-03,3.6544612959768367e-04,4.8310874883915737e-05
12,1.5758512883487175e-02,1.7206860674150023e-03,3.8904631520566019e-03,4.6367506055046926e-03,3.4033973785953580e-03,1.5772834439907405e-03,4.6324462067825947e-04,6.6687615246521095e-05
13,1.7191519732994980e-02,1.9367569159074354e-03,4.2107795988615849e-03,4.9334020106903964e-03,3.6778110869347593e-03,1.7838462083905914e-03,5.6221643866782758e-04,8.6707473542384052e-05
14,1.8355275117631478e-02,2.1123735202898948e-03,4.4561635218845503e-03,5.1529623859890078e-03,3.8982135324198731e-03,1.9687184226277079e-03,6.5923243239592814e-04,1.0761130202451640e-04
15,1.9270904950482580e-02,2.2495615713099544e-03,4.6350723828277518e-03,5.3059007044292689e-03,4.0693249914927005e-03,2.1305355115069911e-03,7.5180950082438152e-04,1.2870028809153344e-04
16,1.9964033384513989e-02,2.3518648229283465e-03,4.7565250707957861e-03,5.4024425516077685e-03,4.1965838826839748e-03,2.2691404402726311e-03,8.3810217238325228e-04,1.4937444384222987e-04
17,2.0461451525971442e-02,2.4234700506210807e-03,4.8292620433980638e-03,5.4519791556215339e-03,4.2855405445602259e-03,2.3852063378468017e-03,9.1684427523495982e-04,1.6914911868877729e-04
18,2.0789186098773227e-02,2.4686724748151437e-03,4.8613175440624335e-03,5.4628230323069448e-03,4.3415047278881130e-03,2.4799456130063847e-03,9.8726640679430038e-04,1.8765629989990539e-04
19,2.0971464340746867e-02,2.4915704175222679e-03,4.8598384602733836e-03,5.4421592608280920e-03,4.3693602921228139e-03,2.5548934205280160e-03,1.0490060785985781e-03,2.0463641087371484e-04
20,2.1030234935085646e-02,2.4959077408960293e-03,4.8310448968747893e-03,5.3960997940854204e-03,4.3734856455889884e-03,2.6117511173111038e-03,1.1020207887196486e-03,2.1992495160966930e-04
21,2.0985022721648604e-02,2.4850079736838124e-03,4.7802677601043288e-03,5.3297860008438428e-03,4.3577381007217615e-03,2.6522762344225338e-03,1.1465096162193906e-03,2.3343703565293213e-04
22,2.0852975380378572e-02,2.4617629649684525e-03,4.7120244085400477e-03,5.2475082010666665e-03,4.3254746243236095e-03,2.6782075304965913e-03,1.1828458353233843e-03,2.4515181565982146e-04
23,2.0649013408299551e-02,2.4286521523703892e-03,4.6301095457480538e-03,5.1528252448032868e-03,4.2795914288510572e-03,2.6912159447081661e-03,1.2115211052601855e-03,2.5509798655841116e-04
24,2.0386029073234210e-02,2.3877774532471831e-03,4.5376884431306856e-03,5.0486756336834485e-03,4.2225715701299420e-03,2.6928743259171956e-03,1.2331006613019689e-03,2.6334098582378896e-04
25,2.0075101913283863e-02,2.3409046419951528e-03,4.4373855844978037e-03,4.9374765427699805e-03,4.1565341293547135e-03,2.6846405385789005e-03,1.2481883465152303e-03,2.6997212957208288e-04
26,1.9725712109407288e-02,2.2895058421498709e-03,4.3313653956597526e-03,4.8212097943832050e-03,4.0832813854125563e-03,2.6678499212824010e-03,1.2574000863507001e-03,2.7509968416880234e-04
27,1.9345941592810598e-02,2.2348001401242368e-03,4.2214037984594699e-03,4.7014952477474016e-03,4.0043421511461634e-03,2.6437141381841327e-03,1.2613443820983241e-03,2.7884173505087146e-04
28,1.8942657959162071e-02,2.1777908003425151e-03,4.1089504938369367e-03,4.5796527376146699e-03,3.9210105195665954e-03,2.6133242710844181e-03,1.2606084916335681e-03,2.8132064508337013e-04
29,1.8521679374869215e-02,2.1192984521927875e-03,3.9951824952973768e-03,4.4567539455165331e-03,3.8343798915885952e-03,2.5776566039938092e-03,1.2557491164854439e-03,2.8265886979466699e-04
30,1.8087920462260279e-02,2.0599901402171255e-03,3.8810497259176586e-03,4.3336656113296982e-03,3.7453725009176696e-03,2.5375799993813094e-03,1.2472865855325827e-03,2.8297589896423349e-04
31,1.7645520139999555e-02,2.0004044184640333e-03,3.7673135955477353e-03,4.2110854027225765e-03,3.6547648224470974e-03,2.4938640939171520e-03,1.2357016954948382e-03,2.8238611140612351e-04
32,1.7197952888308499e-02,1.9409728168349183e-03,3.6545794732524214e-03,4.0895716199251791e-03,3.5632093175713775e-03,2.4471877812700634e-03,1.2214345248932493e-03,2.8099735456128740e-04
33,1.6748125104211531e-02,1.8820380682177602e-03,3.5433239132615030e-03,3.9695677586280096e-03,3.4712529773023521e-03,2.3981476232773549e-03,1.2048846757941132e-03,2.7891008773043831e-04
34,1.6298458234211714e-02,1.8238694959681228e-03,3.4339174103355380e-03,3.8514228033153654e-03,3.3793530994168535e-03,2.3472659558536331e-03,1.1864125148358267e-03,2.7621695448637468e-04
35,1.5850960297471215e-02,1.7666759441735418e-03,3.3266433696144382e-03,3.7354079858999412e-03,3.2878906957520687e-03,2.2949985452558456e-03,1.1663410824000642e-03,2.7300267437531687e-04
36,1.5407287288883353e-02,1.7106166018315194e-03,3.2217138862145034e-03,3.6217306235979191e-03,3.1971818800450346e-03,2.2417417133705356e-03,1.1449584181346694e-03,2.6934416568917400e-04
37,1.4968795806807822e-02,1.6558100348403177e-03,3.1192828460328880e-03,3.5105455460515841e-03,3.1074875409551196e-03,2.1878388946263649e-03,1.1225201146625825e-03,2.6531082963896261e-04
38,1.4536588101413795e-02,1.6023417013699018e-03,3.0194567836612151e-03,3.4019645337534004e-03,3.0190215620495395e-03,2.1335866171911101e-03,1.0992519616159161e-03,2.6096494177271253e-04
39,1.4111550595970466e-02,1.5502701894338385e-03,2.9223038666967589e-03,3.2960641161693042e-03,2.9319578119263636e-03,2.0792399211357962e-03,1.0753525813914373e-03,2.5636210921696782e-04
