t,f_total,survival_before,survival_after
1,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2,7.4104938271604909e-04,1.0000000000000000e+00,9.9925895061728398e-01
3,5.4343621399176945e-03,9.9925895061728398e-01,9.9382458847736643e-01
4,1.0926946517108672e-02,9.9382458847736643e-01,9.8289764196025775e-01
5,1.5076228353068056e-02,9.8289764196025775e-01,9.6782141360718987e-01
6,1.7912942307358452e-02,9.6782141360718987e-01,9.4990847129983147e-01
7,1.9821373000967007e-02,9.4990847129983147e-01,9.3008709829886438e-01
8,2.1102391501220046e-02,9.3008709829886438e-01,9.0898470679764443e-01
9,2.1947777624681052e-02,9.0898470679764443e-01,8.8703692917296340e-01
10,2.2477293340229590e-02,8.8703692917296340e-01,8.6455963583273387e-01
11,2.2768779712987144e-02,8.6455963583273387e-01,8.4179085611974669e-01
12,2.2875917972818464e-02,8.4179085611974669e-01,8.1891493814692828e-01
13,2.2837919688817609e-02,8.1891493814692828e-01,7.9607701845811085e-01
14,2.2684777876875811e-02,7.9607701845811085e-01,7.7339224058123501e-01
15,2.2440194611630149e-02,7.7339224058123501e-01,7.5095204596960485e-01
16,2.2123298707492633e-02,7.5095204596960485e-01,7.2882874726211233e-01
17,2.1749721993624647e-02,7.2882874726211233e-01,7.0707902526848776e-01
18,2.1332323638213108e-02,7.0707902526848776e-01,6.8574670163027474e-01
19,2.0881711518172971e-02,6.8574670163027474e-01,6.6486499011210176e-01
20,2.0406638903640438e-02,6.6486499011210176e-01,6.4445835120846129e-01
21,1.9914318824860409e-02,6.4445835120846129e-01,6.2454403238360101e-01
22,1.9410680049444372e-02,6.2454403238360101e-01,6.0513335233415666e-01
23,1.8900578983668738e-02,6.0513335233415666e-01,5.8623277335048796e-01
24,1.8387976693747667e-02,5.8623277335048796e-01,5.6784479665674037e-01
25,1.7876087432214673e-02,5.6784479665674037e-01,5.4996870922452579e-01
26,1.7367503434697677e-02,5.4996870922452579e-01,5.3260120578982806e-01
27,1.6864299752404530e-02,5.3260120578982806e-01,5.1573690603742350e-01
28,1.6368122213448064e-02,5.1573690603742350e-01,4.9936878382397554e-01
29,1.5880261113024867e-02,4.9936878382397554e-01,4.8348852271095066e-01
30,1.5401712843285289e-02,4.8348852271095066e-01,4.6808680986766543e-01
31,1.4933231350768138e-02,4.6808680986766543e-01,4.5315357851689730e-01
32,1.4475371033486749e-02,4.5315357851689730e-01,4.3867820748341058e-01
33,1.4028522451194146e-02,4.3867820748341058e-01,4.2464968503221645e-01
34,1.3592942015322114e-02,4.2464968503221645e-01,4.1105674301689443e-01
