case_id,near,basin_radius,global_bias,local_bias,hold_strength,classification,score,t1,tv,t2,R_peak,R_valley,p_near,p_far,survival_tail,early_near_fraction,late_far_fraction,binned_roughness,row_stochasticity_error,mass_balance_error,decomposition_error
near5_9_R2p5_g0p08_l0p00_h0p00,"(5, 9)",2.5,0.08,0,0,unimodal,0,12,,,0,1,0.284484,0.408046,0.30747,0,0,0.0461,0,8.99281e-15,4.14869e-19
near5_9_R2p5_g0p08_l0p00_h0p25,"(5, 9)",2.5,0.08,0,0.25,unimodal,0,13,,,0,1,0.280785,0.409987,0.309229,0,0,0.0485157,1.11022e-16,9.10383e-15,3.74933e-19
near5_9_R2p5_g0p08_l0p00_h0p45,"(5, 9)",2.5,0.08,0,0.45,unimodal,0,14,,,0,1,0.277041,0.411944,0.311015,0,0,0.0498633,2.22045e-16,9.32587e-15,3.73429e-19
near5_9_R2p5_g0p08_l0p04_h0p00,"(5, 9)",2.5,0.08,0.04,0,unimodal,0,12,,,0,1,0.315932,0.391562,0.292506,0,0,0.0479691,0,8.88178e-15,4.06152e-19
near5_9_R2p5_g0p08_l0p04_h0p25,"(5, 9)",2.5,0.08,0.04,0.25,unimodal,0,13,,,0,1,0.313189,0.392994,0.293817,0,0,0.0508215,1.11022e-16,9.21485e-15,4.00435e-19
near5_9_R2p5_g0p08_l0p04_h0p45,"(5, 9)",2.5,0.08,0.04,0.45,unimodal,0,13,,,0,1,0.310232,0.39453,0.295238,0,0,0.0524204,2.22045e-16,8.54872e-15,4.15443e-19
near5_9_R2p5_g0p08_l0p08_h0p00,"(5, 9)",2.5,0.08,0.08,0,unimodal,0,12,,,0,1,0.344548,0.376399,0.279054,0,0,0.0493716,0,8.43769e-15,3.86035e-19
near5_9_R2p5_g0p08_l0p08_h0p25,"(5, 9)",2.5,0.08,0.08,0.25,unimodal,0,13,,,0,1,0.342686,0.377353,0.279961,0,0,0.0526173,1.11022e-16,8.10463e-15,4.23516e-19
near5_9_R2p5_g0p08_l0p08_h0p45,"(5, 9)",2.5,0.08,0.08,0.45,unimodal,0,13,,,0,1,0.340477,0.378483,0.28104,0,0,0.0544332,1.11022e-16,8.32667e-15,4.06946e-19
near5_9_R2p5_g0p08_l0p12_h0p00,"(5, 9)",2.5,0.08,0.12,0,unimodal,0,12,,,0,1,0.370678,0.362422,0.2669,0,0,0.0504028,0,9.4369e-15,4.1142e-19
near5_9_R2p5_g0p08_l0p12_h0p25,"(5, 9)",2.5,0.08,0.12,0.25,unimodal,0,12,,,0,1,0.369626,0.362933,0.267441,0,0,0.0540138,1.11022e-16,7.43849e-15,4.21822e-19
near5_9_R2p5_g0p08_l0p12_h0p45,"(5, 9)",2.5,0.08,0.12,0.45,unimodal,0,13,,,0,1,0.368118,0.363678,0.268204,0,0,0.0560219,2.22045e-16,8.43769e-15,4.10387e-19
near5_9_R2p5_g0p12_l0p00_h0p00,"(5, 9)",2.5,0.12,0,0,double_peak,87.7889,11,62,95,0.329368,0.315153,0.217037,0.46895,0.314013,1,0.807717,0.0447448,0,7.54952e-15,3.39184e-19
near5_9_R2p5_g0p12_l0p00_h0p25,"(5, 9)",2.5,0.12,0,0.25,double_peak,88.3141,12,61,96,0.343212,0.326447,0.212572,0.471564,0.315864,1,0.816248,0.0484354,1.11022e-16,6.32827e-15,4.3241e-19
near5_9_R2p5_g0p12_l0p00_h0p45,"(5, 9)",2.5,0.12,0,0.45,double_peak,89.9423,12,61,97,0.356595,0.337,0.208119,0.474163,0.317718,1,0.824518,0.0505773,2.22045e-16,6.77236e-15,3.66765e-19
near5_9_R2p5_g0p12_l0p04_h0p00,"(5, 9)",2.5,0.12,0.04,0,double_peak,76.425,11,70,87,0.289273,0.287664,0.242445,0.454206,0.303348,1,0.73558,0.0465871,2.22045e-16,7.77156e-15,4.03188e-19
near5_9_R2p5_g0p12_l0p04_h0p25,"(5, 9)",2.5,0.12,0.04,0.25,double_peak,76.6037,12,69,88,0.300661,0.298291,0.238483,0.456519,0.304998,1,0.74567,0.0509041,1.11022e-16,7.99361e-15,4.23516e-19
near5_9_R2p5_g0p12_l0p04_h0p45,"(5, 9)",2.5,0.12,0.04,0.45,double_peak,77.8324,12,68,89,0.311039,0.307713,0.234381,0.458904,0.306715,1,0.755608,0.053533,2.22045e-16,7.54952e-15,3.6253e-19
near5_9_R2p5_g0p12_l0p08_h0p00,"(5, 9)",2.5,0.12,0.08,0,unimodal,0,11,,,0,1,0.266161,0.440396,0.293443,0,0,0.049879,2.22045e-16,7.10543e-15,4.1674e-19
near5_9_R2p5_g0p12_l0p08_h0p25,"(5, 9)",2.5,0.12,0.08,0.25,unimodal,0,11,,,0,1,0.262711,0.442401,0.294888,0,0,0.0527449,1.11022e-16,7.21645e-15,4.20975e-19
near5_9_R2p5_g0p12_l0p08_h0p45,"(5, 9)",2.5,0.12,0.08,0.45,unimodal,0,12,,,0,1,0.258993,0.444552,0.296455,0,0,0.0558189,2.22045e-16,7.66054e-15,3.59142e-19
near5_9_R2p5_g0p12_l0p12_h0p00,"(5, 9)",2.5,0.12,0.12,0,unimodal,0,11,,,0,1,0.288348,0.427436,0.284216,0,0,0.0535964,0,7.66054e-15,3.99376e-19
near5_9_R2p5_g0p12_l0p12_h0p25,"(5, 9)",2.5,0.12,0.12,0.25,unimodal,0,11,,,0,1,0.285412,0.429132,0.285456,0,0,0.0540689,1.11022e-16,6.66134e-15,4.13352e-19
near5_9_R2p5_g0p12_l0p12_h0p45,"(5, 9)",2.5,0.12,0.12,0.45,unimodal,0,12,,,0,1,0.2821,0.431038,0.286863,0,0,0.0575557,2.22045e-16,7.43849e-15,4.29161e-19
near5_9_R2p5_g0p16_l0p00_h0p00,"(5, 9)",2.5,0.16,0,0,double_peak,76.5498,11,43,75,0.391075,0.326961,0.174123,0.480198,0.345679,1,0.87032,0.0519225,0,2.22045e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p00_h0p25,"(5, 9)",2.5,0.16,0,0.25,double_peak,77.3485,11,43,75,0.408094,0.337667,0.169282,0.482992,0.347727,1,0.873453,0.0478511,1.11022e-16,2.55351e-15,3.854e-19
near5_9_R2p5_g0p16_l0p00_h0p45,"(5, 9)",2.5,0.16,0,0.45,double_peak,79.4275,11,43,76,0.426247,0.348822,0.164532,0.485724,0.349744,1,0.881846,0.0511234,1.11022e-16,2.77556e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p04_h0p00,"(5, 9)",2.5,0.16,0.04,0,double_peak,71.7969,9,45,73,0.342383,0.305201,0.195027,0.468179,0.336795,1,0.844506,0.0572921,0,3.21965e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p04_h0p25,"(5, 9)",2.5,0.16,0.04,0.25,double_peak,71.1845,11,45,74,0.356816,0.31579,0.190388,0.470845,0.338767,1,0.853796,0.0522207,1.11022e-16,2.77556e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p04_h0p45,"(5, 9)",2.5,0.16,0.04,0.45,double_peak,71.7648,11,45,74,0.371328,0.325976,0.185714,0.473522,0.340765,1,0.856489,0.05362,1.11022e-16,2.77556e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p08_h0p00,"(5, 9)",2.5,0.16,0.08,0,double_peak,66.2571,9,48,71,0.304134,0.284593,0.214838,0.456776,0.328385,1,0.816118,0.0623269,0,1.9984e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p08_h0p25,"(5, 9)",2.5,0.16,0.08,0.25,double_peak,64.411,11,48,71,0.318396,0.296591,0.21044,0.459294,0.330266,1,0.818201,0.0568846,1.11022e-16,2.33147e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p08_h0p45,"(5, 9)",2.5,0.16,0.08,0.45,double_peak,65.8435,11,48,72,0.330443,0.306135,0.205893,0.461887,0.33222,1,0.8283,0.0553715,1.11022e-16,1.77636e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p12_h0p00,"(5, 9)",2.5,0.16,0.12,0,double_peak,60.8409,9,50,68,0.274203,0.265906,0.233651,0.44594,0.320409,1,0.774976,0.0670928,0,1.33227e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p12_h0p25,"(5, 9)",2.5,0.16,0.12,0.25,double_peak,59.9601,11,50,69,0.288716,0.279278,0.229523,0.448293,0.322184,1,0.786162,0.0613819,1.11022e-16,2.9976e-15,4.33681e-19
near5_9_R2p5_g0p16_l0p12_h0p45,"(5, 9)",2.5,0.16,0.12,0.45,double_peak,60.1595,11,50,69,0.299051,0.288316,0.225148,0.450778,0.324074,1,0.787637,0.0568817,2.22045e-16,2.10942e-15,4.33681e-19
near5_9_R2p5_g0p20_l0p00_h0p00,"(5, 9)",2.5,0.2,0,0,double_peak,75.985,9,34,62,0.460742,0.321371,0.143629,0.472567,0.383805,1,0.912212,0.0666156,0,1.19904e-14,4.33681e-19
near5_9_R2p5_g0p20_l0p00_h0p25,"(5, 9)",2.5,0.2,0,0.25,double_peak,77.118,9,34,62,0.493829,0.339388,0.138663,0.4753,0.386037,1,0.914973,0.0615978,1.11022e-16,1.22125e-14,4.33681e-19
near5_9_R2p5_g0p20_l0p00_h0p45,"(5, 9)",2.5,0.2,0,0.45,double_peak,78.3224,10,34,63,0.523784,0.35444,0.133868,0.47793,0.388202,1,0.922464,0.0572431,2.22045e-16,1.22125e-14,4.33681e-19
near5_9_R2p5_g0p20_l0p04_h0p00,"(5, 9)",2.5,0.2,0.04,0,double_peak,69.1137,9,35,61,0.400403,0.301256,0.161107,0.462878,0.376015,1,0.896729,0.0729246,0,1.17684e-14,4.33681e-19
