artifact_rank,is_control,stage1_rank,N,start_a,start_b,q1,q2,raw_peaks,f2_peaks_n,final_label,artifact_reason,oscillation_index
1,True,1.0,21,6,2,0.02,0.9,4;6;8;10;12,4,artifact,ballistic_short_distance,0.2705327484364085
2,True,3.0,21,2,6,0.9,0.02,4;6;8;10;12,4,artifact,ballistic_short_distance,0.2705327484364087
3,True,25.0,15,2,6,0.02,0.9,4;6;8;10;12,3,artifact,ballistic_short_distance,0.3041190779667339
4,True,29.0,21,2,6,0.02,0.9,4;6;8;10;12,3,artifact,ballistic_short_distance,0.3041190779667339
5,False,,31,5,1,0.02,0.1,54,27,weak,none,0.0496628949560092
6,False,,31,31,27,0.1,0.02,54,27,weak,none,0.0496628949560092
7,False,,31,27,31,0.02,0.1,54,27,weak,none,0.0496628949560092
8,False,,31,1,5,0.1,0.02,54,27,weak,none,0.0496628949560093
9,False,,31,23,30,0.05,0.2,86,43,weak,none,0.0498778396363092
10,False,,31,30,23,0.2,0.05,86,43,weak,none,0.0498778396363091
11,False,,31,9,2,0.05,0.2,86,43,weak,none,0.0498778396363092
12,False,,31,2,9,0.2,0.05,86,43,weak,none,0.0498778396363092
