artifact_rank,is_control,source,stage1_rank,N,start_a,start_b,q1,q2,scan_mode,scan_tail_mass,scan_reached_tol,scan_steps,base_mass,base_tail_mass,base_reached_tol,base_mean,stage2_label,final_label,artifact_reason,stage2_score,final_score,t_main,t_late,min_late_t,raw_peaks,raw_late_ratio,raw_late_valley_ratio,smooth7_peaks,smooth11_peaks,smooth21_peaks,smooth31_peaks,smooth7_late_t,smooth11_late_t,smooth21_late_t,smooth31_late_t,smoothing_persistence,f2_peaks_n,f2_main_n,f2_main_t,f2_late_t,f2_peak_late_ratio,f2_peak_late_valley_ratio,f2_shoulder_t,f2_shoulder_excess,f2_shoulder_score,oscillation_index,repeat2_peaks,early_window,late_window,early_window_mass,late_window_mass,top_k_early,top_k_late,top_k_delta,max_delta,jsd_early_late_bits,C_early_top5,C_late_top5,Delta_top5,attribution_label,top_channel_label,top_channel_t_late,top_channel_f2_late_t,crossing_label,crossing_artifact_reason,crossing_t_late,crossing_score,crossing_mean,crossing_tail_mass,crossing_survives,bounce_label,bounce_artifact_reason,bounce_t_late,bounce_score,bounce_mean,bounce_tail_mass,bounce_survives
1,True,stage1_negative_control,1,21,6,2,0.02,0.9,stage1_control,,,,0.9999999999990034,9.967397658207518e-13,True,32.2845899165124,artifact,artifact,ballistic_short_distance,2.945719219382107,0.5891438438764215,4,12,12,4;6;8;10;12,0.7155159531922071,0.4853854749429314,6;8;10,7;10,9,11,,,,,0,4,4,8,12,0.0,1.0,12,0.9872407686520623,3.733536518549666,0.2705327484364085,True,1-7,9-15,0.1228881498660022,0.19102155343492527,6,6,6,-0.08392892313104872,0.013740843830887708,k=6:0.872349;k=5:0.106232;k=7:0.0174748;k=4:0.0037635;k=8:0.000113682,k=6:0.78842;k=5:0.139894;k=7:0.058769;k=4:0.010516;k=8:0.00190254,k=6:-0.0839289;k=7:0.0412941;k=5:0.0336622;k=4:0.0067525;k=8:0.00178886,weak,artifact,12,12,artifact,ballistic_short_distance,12,2.9506723208837555,31.931058864992046,9.977706468822196e-13,False,artifact,ballistic_short_distance,14,1.9023692066990954,27.71552403630009,9.97398887267264e-13,False
2,True,stage1_negative_control,3,21,2,6,0.9,0.02,stage1_control,,,,0.9999999999990031,9.967397658207516e-13,True,32.2845899165124,artifact,artifact,ballistic_short_distance,2.9457192193821067,0.5891438438764214,4,12,12,4;6;8;10;12,0.715515953192207,0.4853854749429314,6;8;10,7;10,9,11,,,,,0,4,4,8,12,0.0,1.0,12,0.9872407686520628,3.733536518549668,0.2705327484364087,True,1-7,9-15,0.12288814986600217,0.19102155343492522,6,6,6,-0.08392892313104872,0.01374084383088758,k=6:0.872349;k=5:0.106232;k=7:0.0174748;k=4:0.0037635;k=8:0.000113682,k=6:0.78842;k=5:0.139894;k=7:0.058769;k=4:0.010516;k=8:0.00190254,k=6:-0.0839289;k=7:0.0412941;k=5:0.0336622;k=4:0.0067525;k=8:0.00178886,weak,artifact,12,12,artifact,ballistic_short_distance,12,2.9506723208837533,31.931058864992046,9.977706468822218e-13,False,artifact,ballistic_short_distance,14,1.9023692066990963,27.715524036300096,9.97398887267266e-13,False
3,True,stage1_negative_control,25,15,2,6,0.02,0.9,stage1_control,,,,0.9999999999990051,9.940337486565885e-13,True,95.71586232123147,artifact,artifact,ballistic_short_distance,2.183938999235676,0.4367877998471352,4,12,12,4;6;8;10;12,0.5304793425218338,0.4853854749429315,6;8;10,7,8,10,,,,,0,3,3,6,12,0.0,1.0,12,1.6818898470587689,6.288437619004719,0.30411907796673393,True,1-7,9-15,0.11884468203742392,0.1390450343084002,2,2,2,-0.08338795057695125,0.014517778040770967,k=2:0.87467;k=3:0.103389;k=1:0.0186542;k=4:0.00323737;k=5:4.97483e-05,k=2:0.791282;k=3:0.131712;k=1:0.0678428;k=4:0.00880361;k=5:0.000350683,k=2:-0.083388;k=1:0.0491887;k=3:0.0283236;k=4:0.00556624;k=5:0.000300935,weak,artifact,14,12,artifact,ballistic_short_distance,12,2.1830711884787006,95.66253012876899,9.999304611266631e-13,False,artifact,ballistic_short_distance,12,2.1931643211656153,89.29772877354233,9.98662210349162e-13,False
4,True,stage1_negative_control,29,21,2,6,0.02,0.9,stage1_control,,,,0.999999999999002,9.964996186757361e-13,True,141.22409143913015,artifact,artifact,ballistic_short_distance,2.183938999235676,0.4367877998471352,4,12,12,4;6;8;10;12,0.5304793425218338,0.4853854749429315,6;8;10,7,8,10,,,,,0,3,3,6,12,0.0,1.0,12,2.6682985641503674,9.976532707467575,0.30411907796673393,True,1-7,9-15,0.11884468203742392,0.13904503430840026,2,2,2,-0.08338795057695125,0.014517778040770962,k=2:0.87467;k=3:0.103389;k=1:0.0186542;k=4:0.00323737;k=5:4.97483e-05,k=2:0.791282;k=3:0.131712;k=1:0.0678428;k=4:0.00880361;k=5:0.000350683,k=2:-0.083388;k=1:0.0491887;k=3:0.0283236;k=4:0.00556624;k=5:0.000300935,weak,artifact,14,12,artifact,ballistic_short_distance,12,2.1830711884787006,141.16702774074395,9.993405885878378e-13,False,artifact,ballistic_short_distance,12,2.1931643211656153,133.4291514937202,9.979686939643653e-13,False
5,False,stage2_scan,,31,5,1,0.02,0.1,all_ordered_starts,0.001392768556229507,False,6000.0,0.9999999999990064,9.999651227944443e-13,True,248.52554772998982,robust_shoulder,weak,none,105.59063715401498,52.79531857700749,54,82,81,54,0.0,1.0,54,54,54,54,,,,,0,27,27,54,82,0.0,1.0,82,4.571446752095115,20.450260208154567,0.049662894956009215,False,49-59,77-87,0.0578161584913906,0.05166008928472625,5,4,5,-0.047324309293037936,0.00826279872650185,k=5:0.365384;k=4:0.355443;k=3:0.15737;k=6:0.0738669;k=2:0.0371293,k=4:0.325313;k=5:0.31806;k=3:0.169674;k=6:0.111122;k=2:0.0478873,k=5:-0.0473243;k=6:0.0372553;k=4:-0.0301307;k=7:0.0134659;k=3:0.0123037,weak,robust_shoulder,68,68,robust_shoulder,none,82,102.61524956134556,245.74185125789288,9.999813533782599e-13,True,robust_shoulder,none,68,96.35120634170333,199.85693010262165,9.997108069517364e-13,True
6,False,stage2_scan,,31,31,27,0.1,0.02,all_ordered_starts,0.0013927685562295086,False,6000.0,0.9999999999990059,9.99965122794444e-13,True,248.52554772998957,robust_shoulder,weak,none,105.59063715401497,52.795318577007485,54,82,81,54,0.0,1.0,54,54,54,54,,,,,0,27,27,54,82,0.0,1.0,82,4.571446752095113,20.450260208154564,0.04966289495600923,False,49-59,77-87,0.057816158491390574,0.05166008928472624,27,28,27,-0.04732430929303805,0.008262798726501836,k=27:0.365384;k=28:0.355443;k=29:0.15737;k=26:0.0738669;k=30:0.0371293,k=28:0.325313;k=27:0.31806;k=29:0.169674;k=26:0.111122;k=30:0.0478873,k=27:-0.0473243;k=26:0.0372553;k=28:-0.0301307;k=25:0.0134659;k=29:0.0123037,weak,robust_shoulder,68,68,robust_shoulder,none,82,102.61524956134559,245.74185125789296,9.999813533782603e-13,True,robust_shoulder,none,68,96.3512063417033,199.8569301026217,9.99710806951737e-13,True
7,False,stage2_scan,,31,27,31,0.02,0.1,all_ordered_starts,0.0013927685562295084,False,6000.0,0.9999999999990061,9.99965122794444e-13,True,248.52554772998974,robust_shoulder,weak,none,105.59063715401497,52.795318577007485,54,82,81,54,0.0,1.0,54,54,54,54,,,,,0,27,27,54,82,0.0,1.0,82,4.571446752095113,20.450260208154564,0.04966289495600923,False,49-59,77-87,0.057816158491390574,0.051660089284726235,27,28,27,-0.04732430929303799,0.008262798726501892,k=27:0.365384;k=28:0.355443;k=29:0.15737;k=26:0.0738669;k=30:0.0371293,k=28:0.325313;k=27:0.31806;k=29:0.169674;k=26:0.111122;k=30:0.0478873,k=27:-0.0473243;k=26:0.0372553;k=28:-0.0301307;k=25:0.0134659;k=29:0.0123037,weak,robust_shoulder,68,68,robust_shoulder,none,82,102.61524956134568,245.7418512578928,9.999813533782599e-13,True,robust_shoulder,none,68,96.35120634170336,199.85693010262176,9.997108069517406e-13,True
8,False,stage2_scan,,31,1,5,0.1,0.02,all_ordered_starts,0.0013927685562295088,False,6000.0,0.9999999999990062,9.999651227944419e-13,True,248.52554772998974,robust_shoulder,weak,none,105.59063715401494,52.79531857700747,54,82,81,54,0.0,1.0,54,54,54,54,,,,,0,27,27,54,82,0.0,1.0,82,4.571446752095113,20.45026020815456,0.04966289495600935,False,49-59,77-87,0.0578161584913906,0.05166008928472625,5,4,5,-0.047324309293037936,0.00826279872650174,k=5:0.365384;k=4:0.355443;k=3:0.15737;k=6:0.0738669;k=2:0.0371293,k=4:0.325313;k=5:0.31806;k=3:0.169674;k=6:0.111122;k=2:0.0478873,k=5:-0.0473243;k=6:0.0372553;k=4:-0.0301307;k=7:0.0134659;k=3:0.0123037,weak,robust_shoulder,68,68,robust_shoulder,none,82,102.61524956134562,245.74185125789273,9.99981353378258e-13,True,robust_shoulder,none,68,96.35120634170333,199.8569301026218,9.997108069517372e-13,True
9,False,stage2_scan,,31,23,30,0.05,0.2,all_ordered_starts,0.002379601864537781,False,6000.0,0.9999999999990073,9.995889404391294e-13,True,423.22385937469164,robust_shoulder,weak,none,97.51757283294991,48.758786416474955,86,130,129,86,0.0,1.0,2;86,2;86,86,86,,,,,0,43,43,86,130,0.0,1.0,130,3.3516575002123146,15.0679624739797,0.04987783963630923,False,78-94,122-138,0.0535942039423667,0.048179227207504526,24,25,24,-0.033736426318456525,0.009857267082765022,k=24:0.20696;k=25:0.204368;k=23:0.154841;k=26:0.152907;k=27:0.0888907,k=25:0.17463;k=24:0.173223;k=26:0.144789;k=23:0.140672;k=27:0.0990397,k=24:-0.0337364;k=25:-0.0297378;k=21:0.0166815;k=28:0.0146565;k=23:-0.0141695,weak,robust_shoulder,94,94,robust_shoulder,none,128,97.2216004311988,419.7601185649723,9.995838444534493e-13,True,robust_shoulder,none,122,95.28403480058029,382.8689159893347,9.997994442481289e-13,True
10,False,stage2_scan,,31,30,23,0.2,0.05,all_ordered_starts,0.0023796018645377832,False,6000.0,0.9999999999990066,9.995889404391367e-13,True,423.2238593746913,robust_shoulder,weak,none,97.5175728329499,48.75878641647495,86,130,129,86,0.0,1.0,2;86,2;86,86,86,,,,,0,43,43,86,130,0.0,1.0,130,3.3516575002123155,15.067962473979698,0.049877839636309186,False,78-94,122-138,0.053594203942366664,0.04817922720750449,24,25,24,-0.0337364263184565,0.00985726708276496,k=24:0.20696;k=25:0.204368;k=23:0.154841;k=26:0.152907;k=27:0.0888907,k=25:0.17463;k=24:0.173223;k=26:0.144789;k=23:0.140672;k=27:0.0990397,k=24:-0.0337364;k=25:-0.0297378;k=21:0.0166815;k=28:0.0146565;k=23:-0.0141695,weak,robust_shoulder,94,94,robust_shoulder,none,128,97.22160043119888,419.760118564973,9.995838444534554e-13,True,robust_shoulder,none,122,95.28403480058026,382.86891598933454,9.997994442481363e-13,True
11,False,stage2_scan,,31,9,2,0.05,0.2,all_ordered_starts,0.0023796018645377824,False,6000.0,0.9999999999990072,9.99588940439136e-13,True,423.22385937469153,robust_shoulder,weak,none,97.51757283294985,48.758786416474926,86,130,129,86,0.0,1.0,2;86,2;86,86,86,,,,,0,43,43,86,130,0.0,1.0,130,3.3516575002123146,15.06796247397969,0.04987783963630923,False,78-94,122-138,0.0535942039423667,0.04817922720750451,8,7,8,-0.033736426318456414,0.009857267082765013,k=8:0.20696;k=7:0.204368;k=9:0.154841;k=6:0.152907;k=5:0.0888907,k=7:0.17463;k=8:0.173223;k=6:0.144789;k=9:0.140672;k=5:0.0990397,k=8:-0.0337364;k=7:-0.0297378;k=11:0.0166815;k=4:0.0146565;k=9:-0.0141695,weak,robust_shoulder,94,94,robust_shoulder,none,128,97.22160043119882,419.7601185649729,9.99583844453455e-13,True,robust_shoulder,none,122,95.28403480058024,382.86891598933454,9.997994442481367e-13,True
