stage2_rank,is_control,source,stage1_rank,N,start_a,start_b,q1,q2,scan_mode,scan_tail_mass,scan_reached_tol,scan_steps,base_mass,base_tail_mass,base_reached_tol,base_mean,stage2_label,final_label,artifact_reason,stage2_score,final_score,t_main,t_late,min_late_t,raw_peaks,raw_late_ratio,raw_late_valley_ratio,smooth7_peaks,smooth11_peaks,smooth21_peaks,smooth31_peaks,smooth7_late_t,smooth11_late_t,smooth21_late_t,smooth31_late_t,smoothing_persistence,f2_peaks_n,f2_main_n,f2_main_t,f2_late_t,f2_peak_late_ratio,f2_peak_late_valley_ratio,f2_shoulder_t,f2_shoulder_excess,f2_shoulder_score,oscillation_index,repeat2_peaks,early_window,late_window,early_window_mass,late_window_mass,top_k_early,top_k_late,top_k_delta,max_delta,jsd_early_late_bits,C_early_top5,C_late_top5,Delta_top5,attribution_label,top_channel_label,top_channel_t_late,top_channel_f2_late_t,crossing_label,crossing_artifact_reason,crossing_t_late,crossing_score,crossing_mean,crossing_tail_mass,crossing_survives,bounce_label,bounce_artifact_reason,bounce_t_late,bounce_score,bounce_mean,bounce_tail_mass,bounce_survives
1,False,stage2_scan,,31,1,5,0.05,0.02,all_ordered_starts,0.010495857099462557,False,6000.0,0.9999999999738278,2.615102887487444e-11,False,562.1927615208496,robust_shoulder,robust_shoulder,none,154.6062637638424,154.6062637638424,90,136,135,90,0.0,1.0,90,90,90,90,,,,,0,45,45,90,136,0.0,1.0,136,5.238360415899993,23.363910667778974,0.04987492728217532,False,81-99,127-145,0.05695619553809535,0.05081853604507626,4,4,4,-0.03756419709024228,0.0064471017751358654,k=4:0.335122;k=3:0.257083;k=5:0.218927;k=2:0.10869;k=6:0.0539774,k=4:0.297557;k=3:0.244827;k=5:0.21185;k=2:0.117812;k=6:0.082663,k=4:-0.0375642;k=6:0.0286856;k=7:0.0125739;k=3:-0.012256;k=2:0.00912226,same_target_multi_path,robust_shoulder,116,116,robust_shoulder,none,136,154.25229951191864,558.8808014858403,2.550533127893794e-11,True,robust_shoulder,none,114,145.5750153059551,456.044346234106,5.186503535463187e-12,True
2,False,stage2_scan,,31,27,31,0.02,0.05,all_ordered_starts,0.01049585709946255,False,6000.0,0.9999999999738276,2.6151028874874422e-11,False,562.1927615208494,robust_shoulder,robust_shoulder,none,154.60626376384238,154.60626376384238,90,136,135,90,0.0,1.0,90,90,90,90,,,,,0,45,45,90,136,0.0,1.0,136,5.238360415899993,23.36391066777897,0.04987492728217538,False,81-99,127-145,0.05695619553809534,0.050818536045076246,28,28,28,-0.03756419709024228,0.006447101775135838,k=28:0.335122;k=29:0.257083;k=27:0.218927;k=30:0.10869;k=26:0.0539774,k=28:0.297557;k=29:0.244827;k=27:0.21185;k=30:0.117812;k=26:0.082663,k=28:-0.0375642;k=26:0.0286856;k=25:0.0125739;k=29:-0.012256;k=30:0.00912226,same_target_multi_path,robust_shoulder,116,116,robust_shoulder,none,136,154.25229951191858,558.8808014858396,2.5505331278937918e-11,True,robust_shoulder,none,114,145.5750153059551,456.04434623410623,5.186503535463191e-12,True
3,False,stage2_scan,,31,31,27,0.05,0.02,all_ordered_starts,0.010495857099462555,False,6000.0,0.9999999999738283,2.615102887487447e-11,False,562.1927615208499,robust_shoulder,robust_shoulder,none,154.60626376384226,154.60626376384226,90,136,135,90,0.0,1.0,90,90,90,90,,,,,0,45,45,90,136,0.0,1.0,136,5.23836041589999,23.363910667778956,0.04987492728217542,False,81-99,127-145,0.05695619553809537,0.050818536045076274,28,28,28,-0.037564197090242446,0.006447101775135848,k=28:0.335122;k=29:0.257083;k=27:0.218927;k=30:0.10869;k=26:0.0539774,k=28:0.297557;k=29:0.244827;k=27:0.21185;k=30:0.117812;k=26:0.082663,k=28:-0.0375642;k=26:0.0286856;k=25:0.0125739;k=29:-0.012256;k=30:0.00912226,same_target_multi_path,robust_shoulder,116,116,robust_shoulder,none,136,154.2522995119186,558.8808014858413,2.5505331278937908e-11,True,robust_shoulder,none,114,145.5750153059551,456.04434623410657,5.186503535463184e-12,True
4,False,stage2_scan,,31,5,1,0.02,0.05,all_ordered_starts,0.010495857099462545,False,6000.0,0.9999999999738282,2.6151028874874445e-11,False,562.1927615208498,robust_shoulder,robust_shoulder,none,154.6062637638422,154.6062637638422,90,136,135,90,0.0,1.0,90,90,90,90,,,,,0,45,45,90,136,0.0,1.0,136,5.238360415899989,23.363910667778942,0.04987492728217536,False,81-99,127-145,0.056956195538095375,0.05081853604507626,4,4,4,-0.037564197090242335,0.006447101775135784,k=4:0.335122;k=3:0.257083;k=5:0.218927;k=2:0.10869;k=6:0.0539774,k=4:0.297557;k=3:0.244827;k=5:0.21185;k=2:0.117812;k=6:0.082663,k=4:-0.0375642;k=6:0.0286856;k=7:0.0125739;k=3:-0.012256;k=2:0.00912226,same_target_multi_path,robust_shoulder,116,116,robust_shoulder,none,136,154.25229951191864,558.8808014858419,2.5505331278937937e-11,True,robust_shoulder,none,114,145.5750153059551,456.0443462341061,5.18650353546319e-12,True
5,False,stage2_scan,,31,1,7,0.1,0.02,all_ordered_starts,0.004978079440274241,False,6000.0,0.9999999999990112,9.997905227270636e-13,True,508.93902048154195,robust_shoulder,robust_shoulder,none,133.38179856970964,133.38179856970964,115,174,173,115,0.0,1.0,115,2;115,2;115,115,,,,,0,58,58,116,174,0.0,1.0,174,4.010960123606507,17.7982591088647,0.049920210096285556,False,104-126,163-185,0.05891245809370649,0.052313846896958366,6,6,6,-0.04448020295363292,0.009511867511451354,k=6:0.286913;k=7:0.231128;k=5:0.211808;k=4:0.103355;k=8:0.0952382,k=6:0.242433;k=7:0.204695;k=5:0.198;k=8:0.115597;k=4:0.115495,k=6:-0.0444802;k=7:-0.0264324;k=9:0.021788;k=8:0.0203592;k=5:-0.0138081,same_target_multi_path,robust_shoulder,140,140,robust_shoulder,none,174,132.43779438611577,505.97936455133583,9.998540132767718e-13,True,robust_shoulder,none,150,125.91636455247692,437.98097782863766,9.999836137158772e-13,True
6,False,stage2_scan,,31,31,25,0.1,0.02,all_ordered_starts,0.0049780794402742405,False,6000.0,0.999999999999012,9.997905227270636e-13,True,508.9390204815423,robust_shoulder,robust_shoulder,none,133.3817985697095,133.3817985697095,115,174,173,115,0.0,1.0,115,2;115,2;115,115,,,,,0,58,58,116,174,0.0,1.0,174,4.0109601236065044,17.79825910886468,0.049920210096285576,False,104-126,163-185,0.05891245809370651,0.052313846896958414,26,26,26,-0.044480202953632864,0.009511867511451345,k=26:0.286913;k=25:0.231128;k=27:0.211808;k=28:0.103355;k=24:0.0952382,k=26:0.242433;k=25:0.204695;k=27:0.198;k=24:0.115597;k=28:0.115495,k=26:-0.0444802;k=25:-0.0264324;k=23:0.021788;k=24:0.0203592;k=27:-0.0138081,same_target_multi_path,robust_shoulder,140,140,robust_shoulder,none,174,132.43779438611574,505.97936455133583,9.998540132767714e-13,True,robust_shoulder,none,150,125.91636455247695,437.98097782863744,9.99983613715875e-13,True
7,False,stage2_scan,,31,7,1,0.02,0.1,all_ordered_starts,0.004978079440274237,False,6000.0,0.999999999999012,9.997905227270632e-13,True,508.93902048154234,robust_shoulder,robust_shoulder,none,133.3817985697095,133.3817985697095,115,174,173,115,0.0,1.0,115,2;115,2;115,115,,,,,0,58,58,116,174,0.0,1.0,174,4.010960123606503,17.79825910886468,0.049920210096285576,False,104-126,163-185,0.05891245809370651,0.05231384689695842,6,6,6,-0.04448020295363278,0.009511867511451312,k=6:0.286913;k=7:0.231128;k=5:0.211808;k=4:0.103355;k=8:0.0952382,k=6:0.242433;k=7:0.204695;k=5:0.198;k=8:0.115597;k=4:0.115495,k=6:-0.0444802;k=7:-0.0264324;k=9:0.021788;k=8:0.0203592;k=5:-0.0138081,same_target_multi_path,robust_shoulder,140,140,robust_shoulder,none,174,132.43779438611583,505.97936455133595,9.998540132767738e-13,True,robust_shoulder,none,150,125.91636455247692,437.98097782863766,9.999836137158768e-13,True
8,False,stage2_scan,,31,25,31,0.02,0.1,all_ordered_starts,0.004978079440274237,False,6000.0,0.9999999999990113,9.997905227270642e-13,True,508.93902048154195,robust_shoulder,robust_shoulder,none,133.38179856970942,133.38179856970942,115,174,173,115,0.0,1.0,115,2;115,2;115,115,,,,,0,58,58,116,174,0.0,1.0,174,4.010960123606504,17.79825910886467,0.04992021009628555,False,104-126,163-185,0.058912458093706495,0.05231384689695837,26,26,26,-0.044480202953632975,0.00951186751145134,k=26:0.286913;k=25:0.231128;k=27:0.211808;k=28:0.103355;k=24:0.0952382,k=26:0.242433;k=25:0.204695;k=27:0.198;k=24:0.115597;k=28:0.115495,k=26:-0.0444802;k=25:-0.0264324;k=23:0.021788;k=24:0.0203592;k=27:-0.0138081,same_target_multi_path,robust_shoulder,140,140,robust_shoulder,none,174,132.4377943861157,505.9793645513362,9.998540132767722e-13,True,robust_shoulder,none,150,125.91636455247698,437.98097782863744,9.999836137158757e-13,True
9,False,stage2_scan,,31,4,1,0.02,0.05,all_ordered_starts,0.005292199727844952,False,6000.0,0.9999999999868228,1.3165438294634717e-11,False,350.46165307901094,robust_shoulder,robust_shoulder,none,133.27280239440677,133.27280239440677,53,80,80,53,0.0,1.0,53,53,53,53,,,,,0,27,27,54,80,0.0,1.0,80,5.830198687174577,26.285579851160126,0.04968871325521841,False,48-58,75-85,0.05340831193560842,0.048087922352628584,3,3,5,0.030666112433009762,0.005248360397857411,k=3:0.40122;k=4:0.307159;k=2:0.209577;k=5:0.041403;k=1:0.0380881,k=3:0.372669;k=4:0.289703;k=2:0.213599;k=5:0.0720691;k=1:0.0424573,k=5:0.0306661;k=3:-0.0285512;k=4:-0.0174557;k=6:0.0063587;k=1:0.00436915,same_target_multi_path,robust_shoulder,72,72,robust_shoulder,none,80,132.6170711090929,347.4495245684422,1.2679930130226115e-11,True,robust_shoulder,none,64,122.57793495395347,267.194808589495,2.3895062184075036e-12,True
10,False,stage2_scan,,31,1,4,0.05,0.02,all_ordered_starts,0.0052921997278449545,False,6000.0,0.999999999986823,1.3165438294634698e-11,False,350.46165307901117,robust_shoulder,robust_shoulder,none,133.27280239440665,133.27280239440665,53,80,80,53,0.0,1.0,53,53,53,53,,,,,0,27,27,54,80,0.0,1.0,80,5.830198687174572,26.285579851160104,0.04968871325521841,False,48-58,75-85,0.05340831193560842,0.0480879223526286,3,3,5,0.030666112433009783,0.005248360397857473,k=3:0.40122;k=4:0.307159;k=2:0.209577;k=5:0.041403;k=1:0.0380881,k=3:0.372669;k=4:0.289703;k=2:0.213599;k=5:0.0720691;k=1:0.0424573,k=5:0.0306661;k=3:-0.0285512;k=4:-0.0174557;k=6:0.0063587;k=1:0.00436915,same_target_multi_path,robust_shoulder,72,72,robust_shoulder,none,80,132.61707110909296,347.44952456844123,1.2679930130226096e-11,True,robust_shoulder,none,64,122.5779349539535,267.19480858949527,2.3895062184075137e-12,True
