case_id,role,N,start_a,start_b,q1,q2,t_main,t_late,f2_peaks_n,f2_true_double_peak,f2_shoulder_t,f2_shoulder_score,oscillation_index,jsd_early_late_bits,late_window_mass,hazard_early_mean,hazard_late_mean,hazard_late_over_early,max_positive_delta_k,max_positive_delta,target_shift_score,top_k_early,top_k_late,top_k_changed,classification,leading_lambda,leading_timescale,leading_mode_top_k,leading_mode_tail_weight,boundary_best_interior_score,boundary_score_ratio,boundary_induced,boundary_parent
A_boundary_1_5,representative,31,1,5,0.05,0.02,90,136,45,False,136,23.363910667778974,0.04987492728217532,0.0064471017751358654,0.05081853604507626,0.0035660005195983233,0.00377534693434238,1.0587062210432987,6,0.02868561230209287,9.398332388068531e-06,4,4,False,same_target_tail,0.9998275268231746,5797.503005029091,16,4.400311759444575e-06,19.47814062363812,1.1994938900597727,False,
A_boundary_1_5_interior_1,interior_control,31,4,8,0.05,0.02,78,118,39,False,118,19.47814062363812,0.04984696702771449,0.009297895364346505,0.029803788269333734,0.002118999872171812,0.002095939063760266,0.9891171260959489,9,0.02762347137951751,7.65480934495648e-06,7,7,False,same_target_tail,0.9998275268231769,5797.503005107467,16,1.3671555842681088e-05,,1.1994938900597727,,A_boundary_1_5
A_boundary_1_5_interior_2,interior_control,31,7,11,0.05,0.02,78,118,39,False,118,17.586929578539134,0.04984458894007719,0.008794121743045166,0.029589727140710873,0.0021173097158203205,0.0020802482160164303,0.9824959477931025,12,0.028105341998021595,7.313450196767033e-06,10,10,False,same_target_tail,0.9998275268231729,5797.503004973107,16,2.542622227645203e-05,,1.3284815045992642,,A_boundary_1_5
A_boundary_1_5_interior_3,interior_control,31,10,14,0.05,0.02,78,118,39,False,118,16.39285672509668,0.04984458847110757,0.008793320813613087,0.029589622416772023,0.002117309637117706,0.0020802406688994516,0.9824924198291958,15,0.028105616189856908,7.3128295811630125e-06,13,13,False,same_target_tail,0.9998275268231759,5797.503005073877,16,3.754386468945152e-05,,1.4252494888221612,,A_boundary_1_5
A_boundary_1_5_interior_4,interior_control,31,13,17,0.05,0.02,78,118,39,False,118,15.637156495526506,0.04984458847110315,0.008793320742139552,0.029589622410824593,0.002117309637117337,0.0020802406684730292,0.9824924196279688,18,0.028105616205623164,7.312829524355528e-06,16,16,False,same_target_tail,0.9998275268231728,5797.503004969374,16,4.793699840026462e-05,,1.4941278278095476,,A_boundary_1_5
B_boundary_1_7,representative,31,1,7,0.1,0.02,115,174,58,False,174,17.7982591088647,0.049920210096285556,0.009511867511451354,0.052313846896958366,0.0030701557268427116,0.0032975287229528223,1.0740591085078073,9,0.021787976964626848,1.0841749208196264e-05,6,6,False,same_target_tail,0.999724314745598,3626.824921075836,16,6.45844145756517e-06,15.032414705361784,1.1839920237509407,False,
B_boundary_1_7_interior_1,interior_control,31,4,10,0.1,0.02,106,160,53,False,160,15.032414705361784,0.04992732277247841,0.012751787191802217,0.029750331040190696,0.0016832576528678525,0.0017127345256669434,1.0175118008516817,6,0.01962142507278863,7.443777877593231e-06,9,9,False,same_target_tail,0.9997243147456049,3626.824921166404,16,2.095940683684084e-05,,1.1839920237509407,,B_boundary_1_7
B_boundary_1_7_interior_2,interior_control,31,7,13,0.1,0.02,101,152,51,False,152,13.010933485054794,0.04989940205002724,0.011195089513895362,0.02855297945138683,0.001646112561624771,0.0016162692716196806,0.9818704439168887,14,0.021509925862345597,6.8757157914767435e-06,12,12,False,same_target_tail,0.9997243147455976,3626.8249210714534,16,4.386043749082522e-05,,1.367946360598103,,B_boundary_1_7
B_boundary_1_7_interior_3,interior_control,31,10,16,0.1,0.02,101,152,51,False,152,11.81555549900364,0.04989930281631229,0.011141782937157039,0.028534515963545733,0.0016460803200161929,0.0016151925484186207,0.981235562310065,17,0.02157417197051166,6.858976888416299e-06,15,15,False,same_target_tail,0.9997243147455986,3626.8249210846,16,7.221906346507774e-05,,1.5063412896977681,,B_boundary_1_7
B_boundary_1_7_interior_4,interior_control,31,12,18,0.1,0.02,101,152,51,False,152,11.192312335875213,0.04989930275602012,0.0111415489023831,0.028534473850394225,0.0016460803116015318,0.001615190112110401,0.9812340872596449,19,0.021574335446591264,6.858874663908979e-06,17,17,False,same_target_tail,0.9997243147456013,3626.824921119659,16,9.171115814772673e-05,,1.5902218035691473,,B_boundary_1_7
