target_shift_rank,case_id,role,N,start_a,start_b,q1,q2,t_main,t_late,f2_peaks_n,f2_true_double_peak,f2_shoulder_t,f2_shoulder_score,oscillation_index,jsd_early_late_bits,late_window_mass,hazard_early_mean,hazard_late_mean,hazard_late_over_early,max_positive_delta_k,max_positive_delta,target_shift_score,top_k_early,top_k_late,top_k_changed,classification,leading_lambda,leading_timescale,leading_mode_top_k,leading_mode_tail_weight,boundary_best_interior_score,boundary_score_ratio,boundary_induced,pre_score,scan_tail_mass,scan_reached_tol
1,target_shift_01,target_shift_candidate,31,4,1,0.2,0.9,3,12,2,False,12,11.808039316764903,0.03985101188893655,0.047309302871155395,0.3109311800899368,0.07018853842964347,0.07827304262909549,1.1151826833886258,5,0.09972450228513742,0.0014669411829645869,3,4,True,boundary_long_tail,0.9974645962883826,393.9142934903833,16,2.5644075686353273e-05,,,,28.54151301013787,2.4540274003091555e-09,False
2,target_shift_02,target_shift_candidate,31,1,4,0.9,0.2,3,12,2,False,12,11.808039316764903,0.039851011888936624,0.04730930287115537,0.3109311800899368,0.07018853842964347,0.07827304262909549,1.1151826833886258,5,0.09972450228513743,0.0014669411829645862,3,4,True,boundary_long_tail,0.9974645962883815,393.9142934902105,16,2.5644075686112993e-05,,,,28.541513010137884,2.454027400309152e-09,False
3,target_shift_03,target_shift_candidate,31,28,31,0.2,0.9,3,12,2,False,12,11.808039316764903,0.03985101188893659,0.047309302871155395,0.31093118008993675,0.07018853842964347,0.07827304262909549,1.1151826833886258,27,0.09972450228513736,0.001466941182964586,29,28,True,boundary_long_tail,0.997464596288383,393.9142934904524,16,2.564407568373184e-05,,,,28.541513010137866,2.4540274003091555e-09,False
4,target_shift_04,target_shift_candidate,31,31,28,0.9,0.2,3,12,2,False,12,11.808039316764908,0.03985101188893659,0.047309302871155375,0.3109311800899368,0.07018853842964347,0.0782730426290955,1.115182683388626,27,0.09972450228513736,0.0014669411829645854,29,28,True,boundary_long_tail,0.9974645962883837,393.91429349055596,16,2.56440756858334e-05,,,,28.54151301013788,2.4540274003091526e-09,False
5,target_shift_05,target_shift_candidate,31,28,31,0.1,0.9,3,12,2,False,12,12.857035832311654,0.07439600227656841,0.04038320768401715,0.3354286225723075,0.06666996776108151,0.08411492188624027,1.2616613553448006,27,0.10546763881840009,0.0014286312790258537,28,28,False,boundary_long_tail,0.9978676541300981,468.46689453726253,6,9.071510967799136e-06,,,,31.32321066398123,1.1654487970246747e-08,False
6,target_shift_06,target_shift_candidate,31,1,4,0.9,0.1,3,12,2,False,12,12.857035832311647,0.07439600227656841,0.040383207684017125,0.3354286225723074,0.06666996776108153,0.08411492188624026,1.2616613553448002,5,0.10546763881840016,0.0014286312790258533,4,4,False,boundary_long_tail,0.9978676541300948,468.46689453653,6,9.071510982944832e-06,,,,31.32321066398122,1.1654487970246743e-08,False
7,target_shift_07,target_shift_candidate,31,4,1,0.1,0.9,3,12,2,False,12,12.857035832311649,0.07439600227656834,0.0403832076840171,0.33542862257230743,0.06666996776108151,0.08411492188624027,1.2616613553448006,5,0.1054676388184001,0.0014286312790258518,4,4,False,boundary_long_tail,0.9978676541300933,468.4668945361882,6,9.071510977046828e-06,,,,31.323210663981218,1.165448797024674e-08,False
8,target_shift_08,target_shift_candidate,31,31,28,0.9,0.1,3,12,2,False,12,12.857035832311649,0.07439600227656841,0.04038320768401706,0.33542862257230743,0.06666996776108151,0.08411492188624027,1.2616613553448006,27,0.1054676388184001,0.0014286312790258505,28,28,False,boundary_long_tail,0.9978676541300895,468.466894535358,6,9.0715109698304e-06,,,,31.323210663981243,1.1654487970246747e-08,False
9,target_shift_09,target_shift_candidate,31,2,4,0.7,0.2,2,10,2,False,10,14.013720418839139,0.06653081556921842,0.05371978913672835,0.3154270924938363,0.08011243860092661,0.07016504473378772,0.8758320924832784,2,0.08414505820430111,0.0014258108237326461,4,3,True,target_shift_shoulder,0.9978691868897587,468.80423716014207,16,2.368691903246015e-05,,,,29.927789564176837,3.0735266158284434e-08,False
10,target_shift_10,target_shift_candidate,31,4,2,0.2,0.7,2,10,2,False,10,14.013720418839139,0.06653081556921848,0.05371978913672836,0.3154270924938363,0.08011243860092661,0.07016504473378772,0.8758320924832784,2,0.0841450582043011,0.0014258108237326461,4,3,True,target_shift_shoulder,0.9978691868897568,468.8042371597263,16,2.3686919032572165e-05,,,,29.92778956417684,3.073526615828446e-08,False
11,target_shift_11,target_shift_candidate,31,28,30,0.2,0.7,2,10,2,False,10,14.013720418839142,0.06653081556921843,0.05371978913672834,0.3154270924938363,0.08011243860092661,0.07016504473378772,0.8758320924832784,30,0.08414505820430111,0.0014258108237326457,28,29,True,target_shift_shoulder,0.99786918688976,468.80423716043543,16,2.368691903254024e-05,,,,29.927789564176837,3.0735266158284454e-08,False
12,target_shift_12,target_shift_candidate,31,30,28,0.7,0.2,2,10,2,False,10,14.013720418839139,0.06653081556921854,0.05371978913672834,0.31542709249383627,0.08011243860092661,0.07016504473378772,0.8758320924832784,30,0.08414505820430108,0.001425810823732645,28,29,True,target_shift_shoulder,0.9978691868897566,468.8042371596774,16,2.3686919032409707e-05,,,,29.927789564176837,3.073526615828443e-08,False
13,target_shift_13,target_shift_candidate,31,1,4,0.85,0.1,3,12,2,False,12,14.04736785608791,0.0656564494038648,0.03906492584748589,0.3370327339564216,0.06205483334057061,0.08049890505258456,1.2972221617418391,5,0.10257204769989678,0.0013504798643739094,4,4,False,boundary_long_tail,0.9979598602515265,489.6623300788337,6,8.712919932894832e-06,,,,33.75311316375658,2.036784052481067e-08,False
14,target_shift_14,target_shift_candidate,31,31,28,0.85,0.1,3,12,2,False,12,14.047367856087904,0.06565644940386475,0.039064925847485894,0.3370327339564215,0.06205483334057061,0.08049890505258456,1.2972221617418391,27,0.10257204769989672,0.0013504798643739087,28,28,False,boundary_long_tail,0.9979598602515277,489.6623300791271,6,8.71291993245573e-06,,,,33.753113163756595,2.0367840524810668e-08,False
15,target_shift_15,target_shift_candidate,31,4,1,0.1,0.85,3,12,2,False,12,14.047367856087904,0.06565644940386475,0.03906492584748582,0.3370327339564215,0.06205483334057062,0.08049890505258456,1.297222161741839,5,0.10257204769989672,0.0013504798643739061,4,4,False,boundary_long_tail,0.9979598602515305,489.66233007979395,26,8.712919929453052e-06,,,,33.75311316375659,2.0367840524810665e-08,False
16,target_shift_16,target_shift_candidate,31,28,31,0.1,0.85,3,12,2,False,12,14.047367856087904,0.06565644940386475,0.039064925847485735,0.3370327339564216,0.06205483334057061,0.08049890505258454,1.297222161741839,27,0.10257204769989672,0.0013504798643739035,28,28,False,boundary_long_tail,0.9979598602515339,489.6623300806209,26,8.712919937858816e-06,,,,33.75311316375659,2.0367840524810655e-08,False
17,target_shift_17,target_shift_candidate,31,30,28,0.7,0.1,2,10,2,False,10,14.326045193445148,0.12239813794433478,0.04773252042257162,0.3253115201517919,0.07605876460618076,0.07103408089334759,0.933936821892255,27,0.08467865668233701,0.001314884996880352,28,28,False,boundary_long_tail,0.9982404058504095,567.8127225622926,24,7.578956442065271e-06,,,,30.156454357463318,1.1093434836016529e-07,False
18,target_shift_18,target_shift_candidate,31,4,2,0.1,0.7,2,10,2,False,10,14.326045193445147,0.1223981379443348,0.0477325204225716,0.32531152015179177,0.07605876460618076,0.07103408089334759,0.933936821892255,5,0.08467865668233704,0.0013148849968803518,4,4,False,boundary_long_tail,0.9982404058504111,567.8127225627946,8,7.578956440983259e-06,,,,30.156454357463307,1.1093434836016526e-07,False
19,target_shift_19,target_shift_candidate,31,2,4,0.7,0.1,2,10,2,False,10,14.326045193445147,0.12239813794433474,0.0477325204225716,0.32531152015179177,0.07605876460618076,0.07103408089334759,0.933936821892255,5,0.08467865668233704,0.0013148849968803518,4,4,False,boundary_long_tail,0.9982404058504081,567.8127225618265,8,7.5789564423419234e-06,,,,30.15645435746331,1.1093434836016528e-07,False
20,target_shift_20,target_shift_candidate,31,28,30,0.1,0.7,2,10,2,False,10,14.326045193445148,0.12239813794433467,0.04773252042257152,0.3253115201517918,0.07605876460618076,0.07103408089334759,0.933936821892255,27,0.08467865668233707,0.00131488499688035,28,28,False,boundary_long_tail,0.9982404058504106,567.8127225626512,8,7.578956435083797e-06,,,,30.156454357463314,1.109343483601653e-07,False
21,target_shift_21,target_shift_candidate,31,2,5,0.85,0.1,3,12,2,False,12,14.336175668854878,0.098539829308969,0.04768855996647501,0.28730168298592307,0.042307308989164946,0.053366867425337326,1.2614101132975575,6,0.08406861822325454,0.0011518244356731946,5,5,False,boundary_long_tail,0.9979598602515258,489.6623300786736,26,1.0752816515760257e-05,,,,28.64450530318875,2.513642429926876e-08,False
22,target_shift_22,target_shift_candidate,31,27,30,0.1,0.85,3,12,2,False,12,14.336175668854871,0.098539829308969,0.047688559966474996,0.28730168298592307,0.042307308989164946,0.05336686742533731,1.261410113297557,26,0.08406861822325454,0.0011518244356731944,27,27,False,boundary_long_tail,0.9979598602515265,489.6623300788337,26,1.0752816520553888e-05,,,,28.64450530318875,2.5136424299268738e-08,False
23,target_shift_23,target_shift_candidate,31,30,27,0.85,0.1,3,12,2,False,12,14.336175668854871,0.098539829308969,0.047688559966475,0.28730168298592307,0.04230730898916494,0.05336686742533732,1.2614101132975575,26,0.08406861822325454,0.0011518244356731944,27,27,False,boundary_long_tail,0.9979598602515304,489.66233007976734,26,1.0752816518255144e-05,,,,28.644505303188737,2.513642429926875e-08,False
24,target_shift_24,target_shift_candidate,31,5,2,0.1,0.85,3,12,2,False,12,14.336175668854876,0.098539829308969,0.047688559966474975,0.28730168298592307,0.04230730898916494,0.05336686742533732,1.2614101132975575,6,0.08406861822325455,0.0011518244356731942,5,5,False,boundary_long_tail,0.9979598602515352,489.6623300809143,6,1.0752816523799423e-05,,,,28.64450530318873,2.5136424299268748e-08,False
25,target_shift_25,target_shift_candidate,31,27,30,0.2,0.9,3,12,2,False,12,14.720909061744251,0.04832408578654556,0.05336784673941786,0.28755738605560033,0.04792667485902379,0.05627762004454679,1.1742442013781946,26,0.07142376556607138,0.001096091855403576,27,28,True,target_shift_shoulder,0.997464596288384,393.91429349060775,16,3.746804295419119e-05,,,,30.817534989839118,3.585530052650522e-09,False
26,target_shift_26,target_shift_candidate,31,30,27,0.9,0.2,3,12,2,False,12,14.72090906174426,0.048324085786545665,0.05336784673941786,0.2875573860556004,0.047926674859023785,0.056277620044546804,1.174244201378195,26,0.07142376556607137,0.001096091855403576,27,28,True,target_shift_shoulder,0.9974645962883844,393.9142934906596,16,3.7468042954141845e-05,,,,30.817534989839118,3.585530052650518e-09,False
27,target_shift_27,target_shift_candidate,31,2,5,0.9,0.2,3,12,2,False,12,14.72090906174426,0.048324085786545665,0.053367846739417746,0.2875573860556004,0.047926674859023785,0.05627762004454679,1.1742442013781949,6,0.07142376556607138,0.0010960918554035741,5,4,True,target_shift_shoulder,0.9974645962883836,393.91429349053874,16,3.74680429541524e-05,,,,30.817534989839118,3.585530052650518e-09,False
28,target_shift_28,target_shift_candidate,31,5,2,0.2,0.9,3,12,2,False,12,14.720909061744257,0.04832408578654556,0.05336784673941773,0.2875573860556004,0.047926674859023785,0.05627762004454679,1.1742442013781949,6,0.0714237655660714,0.001096091855403574,5,4,True,target_shift_shoulder,0.9974645962883861,393.91429349093596,16,3.746804295420674e-05,,,,30.817534989839118,3.585530052650522e-09,False
