rank,N,start_a,start_b,q1,q2,score,raw_score,label,raw_label,persistence,parity_penalty,smoothing_penalty,t_main,t_late,r_peak,r_valley,peak_separation,tail_mass_scan,reached_tol_scan,scan_steps,score_recomputed,label_recomputed,mass,tail_mass,reached_tol,mean_truncated,mass_balance_error,decomposition_error,early_window,late_window,early_window_mass,late_window_mass,top_k_early,top_k_late,top_delta_k,max_delta_k,max_delta,jsd_early_late_bits,mechanism_label
1,21,6,2,0.02,0.9,2.324566756776004,2.324566756776004,local_bump,double_peak,1,0.03214534214133267,1.0,4,10,0.7714493588384452,0.4853854749429313,6,4.904834717381898e-13,False,6000,2.3245667567759773,local_bump,0.9999999999990034,9.967397658207518e-13,True,32.2845899165124,2.3245294578089215e-16,0.0,1-7,7-13,0.1228881498660022,0.19913631029509699,k=6:0.872349;k=5:0.106232;k=7:0.0174748;k=4:0.0037635;k=8:0.000113682,k=6:0.813572;k=5:0.129135;k=7:0.0475023;k=4:0.00829831;k=8:0.00116535,k=6:-0.0587774;k=7:0.0300275;k=5:0.0229026;k=4:0.00453481;k=8:0.00105167,6,-0.05877743147247194,0.007806962124168676,same_target_multi_path
2,21,16,20,0.02,0.9,2.324566756776003,2.324566756776003,local_bump,double_peak,1,0.032145342141332606,1.0,4,10,0.771449358838445,0.4853854749429314,6,4.904834717381905e-13,False,6000,2.324566756775977,local_bump,0.9999999999990032,9.967397658207514e-13,True,32.2845899165124,4.2327252813834093e-16,0.0,1-7,7-13,0.12288814986600219,0.19913631029509699,k=16:0.872349;k=17:0.106232;k=15:0.0174748;k=18:0.0037635;k=14:0.000113682,k=16:0.813572;k=17:0.129135;k=15:0.0475023;k=18:0.00829831;k=14:0.00116535,k=16:-0.0587774;k=15:0.0300275;k=17:0.0229026;k=18:0.00453481;k=14:0.00105167,16,-0.05877743147247183,0.007806962124168709,same_target_multi_path
3,21,2,6,0.9,0.02,2.324566756776003,2.324566756776003,local_bump,double_peak,1,0.032145342141332606,1.0,4,10,0.771449358838445,0.4853854749429313,6,4.904834717381905e-13,False,6000,2.324566756775977,local_bump,0.9999999999990031,9.967397658207516e-13,True,32.2845899165124,3.122502256758253e-16,0.0,1-7,7-13,0.12288814986600217,0.19913631029509693,k=6:0.872349;k=5:0.106232;k=7:0.0174748;k=4:0.0037635;k=8:0.000113682,k=6:0.813572;k=5:0.129135;k=7:0.0475023;k=4:0.00829831;k=8:0.00116535,k=6:-0.0587774;k=7:0.0300275;k=5:0.0229026;k=4:0.00453481;k=8:0.00105167,6,-0.05877743147247183,0.007806962124168658,same_target_multi_path
4,21,20,16,0.9,0.02,2.324566756776003,2.324566756776003,local_bump,double_peak,1,0.03214534214133261,1.0,4,10,0.771449358838445,0.4853854749429314,6,4.904834717381913e-13,False,6000,2.3245667567759782,local_bump,0.9999999999990031,9.967397658207516e-13,True,32.284589916512395,2.8796409701215e-16,0.0,1-7,7-13,0.1228881498660022,0.199136310295097,k=16:0.872349;k=17:0.106232;k=15:0.0174748;k=18:0.0037635;k=14:0.000113682,k=16:0.813572;k=17:0.129135;k=15:0.0475023;k=18:0.00829831;k=14:0.00116535,k=16:-0.0587774;k=15:0.0300275;k=17:0.0229026;k=18:0.00453481;k=14:0.00105167,16,-0.05877743147247194,0.007806962124168597,same_target_multi_path
5,15,6,2,0.02,0.9,2.3245667565492427,2.3245667565492427,local_bump,double_peak,1,0.03214534226826328,1.0,4,10,0.7714493588384452,0.4853854749429313,6,1.3820838159360675e-15,True,4033,2.3245667565491885,local_bump,0.9999999999990051,9.948805177530305e-13,True,32.15396676787748,1.4224732503009818e-16,0.0,1-7,7-13,0.12288814986600219,0.19913631029509699,k=6:0.872349;k=5:0.106232;k=7:0.0174748;k=4:0.0037635;k=8:0.000113682,k=6:0.813572;k=5:0.129135;k=7:0.0475023;k=4:0.00829831;k=8:0.00116535,k=6:-0.0587774;k=7:0.0300275;k=5:0.0229026;k=4:0.00453481;k=8:0.00105167,6,-0.05877743147247205,0.007806962124168799,same_target_multi_path
6,15,10,14,0.02,0.9,2.324566756549242,2.324566756549242,local_bump,double_peak,1,0.03214534226826337,1.0,4,10,0.771449358838445,0.4853854749429314,6,1.3820838159360664e-15,True,4033,2.324566756549189,local_bump,0.999999999999005,9.948805177530303e-13,True,32.153966767877485,2.983724378680108e-16,0.0,1-7,7-13,0.12288814986600219,0.19913631029509699,k=10:0.872349;k=11:0.106232;k=9:0.0174748;k=12:0.0037635;k=8:0.000113682,k=10:0.813572;k=11:0.129135;k=9:0.0475023;k=12:0.00829831;k=8:0.00116535,k=10:-0.0587774;k=9:0.0300275;k=11:0.0229026;k=12:0.00453481;k=8:0.00105167,10,-0.05877743147247183,0.007806962124168709,same_target_multi_path
7,15,2,6,0.9,0.02,2.324566756549242,2.324566756549242,local_bump,double_peak,1,0.03214534226826336,1.0,4,10,0.771449358838445,0.4853854749429313,6,1.3820838159360683e-15,True,4033,2.324566756549188,local_bump,0.9999999999990049,9.948805177530309e-13,True,32.15396676787748,1.942890293094024e-16,0.0,1-7,7-13,0.12288814986600217,0.19913631029509693,k=6:0.872349;k=5:0.106232;k=7:0.0174748;k=4:0.0037635;k=8:0.000113682,k=6:0.813572;k=5:0.129135;k=7:0.0475023;k=4:0.00829831;k=8:0.00116535,k=6:-0.0587774;k=7:0.0300275;k=5:0.0229026;k=4:0.00453481;k=8:0.00105167,6,-0.05877743147247183,0.007806962124168658,same_target_multi_path
8,15,14,10,0.9,0.02,2.324566756549242,2.324566756549242,local_bump,double_peak,1,0.0321453422682633,1.0,4,10,0.771449358838445,0.4853854749429314,6,1.3820838159360672e-15,True,4033,2.32456675654919,local_bump,0.9999999999990051,9.948805177530299e-13,True,32.15396676787749,1.8735013540549517e-16,0.0,1-7,7-13,0.1228881498660022,0.199136310295097,k=10:0.872349;k=11:0.106232;k=9:0.0174748;k=12:0.0037635;k=8:0.000113682,k=10:0.813572;k=11:0.129135;k=9:0.0475023;k=12:0.00829831;k=8:0.00116535,k=10:-0.0587774;k=9:0.0300275;k=11:0.0229026;k=12:0.00453481;k=8:0.00105167,10,-0.05877743147247194,0.007806962124168597,same_target_multi_path
9,21,2,6,0.9,0.05,1.910766131459713,1.910766131459713,local_bump,double_peak,2,0.022127336153985433,1.0,4,10,0.8214873425960617,0.6057940112215107,6,1.3829354254029103e-13,False,6000,1.9107661314596838,local_bump,0.9999999999990022,9.965695212796177e-13,True,34.05361764132515,3.191891195797325e-16,0.0,1-7,7-13,0.1280875103622447,0.20310334235749533,k=6:0.717849;k=5:0.224455;k=7:0.0358961;k=4:0.0202827;k=3:0.000893477,k=6:0.617432;k=5:0.244257;k=7:0.08911;k=4:0.0396362;k=8:0.00547185,k=6:-0.100417;k=7:0.0532139;k=5:0.0198025;k=4:0.0193535;k=8:0.00487677,6,-0.10041725355184183,0.016193867843376723,same_target_multi_path
10,21,6,2,0.05,0.9,1.9107661314597126,1.9107661314597126,local_bump,double_peak,2,0.022127336153985506,1.0,4,10,0.8214873425960616,0.6057940112215107,6,1.382935425402912e-13,False,6000,1.9107661314596833,local_bump,0.999999999999002,9.965695212796162e-13,True,34.05361764132513,2.914335439641036e-16,0.0,1-7,7-13,0.12808751036224467,0.20310334235749528,k=6:0.717849;k=5:0.224455;k=7:0.0358961;k=4:0.0202827;k=3:0.000893477,k=6:0.617432;k=5:0.244257;k=7:0.08911;k=4:0.0396362;k=8:0.00547185,k=6:-0.100417;k=7:0.0532139;k=5:0.0198025;k=4:0.0193535;k=8:0.00487677,6,-0.10041725355184195,0.01619386784337665,same_target_multi_path
