Wy,kappa_top,kappa_bottom,phase,t_peak1,t_peak2,t_valley,valley_over_max,peak_balance,sep_peaks
16,0.0,0.0,2,395,1711,1083,0.05793243436724379,0.1889232739234998,1.8693181818181819
16,0.00025,0.0,2,395,1710,1083,0.05926933808510347,0.18898515540328528,1.8534178999295279
16,0.0005,0.0,2,395,1710,1083,0.0606005420794644,0.18905195193701885,1.8391608391608392
16,0.00075,0.0,2,395,1709,1082,0.061925666267993076,0.18912356763140628,1.8212058212058213
16,0.001,0.0,2,395,1708,1082,0.06324519099140291,0.18919992129360808,1.8035714285714286
16,0.00125,0.0,2,395,1707,1082,0.06455915689621491,0.18928094668046772,1.7862491490810075
16,0.0015,0.0,2,395,1706,1082,0.06586760202909843,0.1893665785638979,1.768037761294673
16,0.00175,0.0,2,395,1705,1081,0.06717037684021931,0.18945675271814275,1.7489986648865155
16,0.002,0.0,2,394,1704,1081,0.06846736141633934,0.18955078176230575,1.7316589557171183
16,0.0025,0.0,2,394,1702,1081,0.07104479222802758,0.18975095496321603,1.6932038834951457
16,0.003,0.0,2,394,1700,1081,0.0736009419234215,0.18996833843324795,1.6500315855969678
16,0.0035,0.0,2,394,1699,1080,0.07613583618209145,0.19020258543523086,1.6051660516605166
16,0.004,0.0,2,394,1697,1080,0.0786500238928346,0.19045326017212236,1.552114353782013
16,0.0045,0.0,2,394,1695,1080,0.0811439134444567,0.19071978488554306,1.4919724770642202
16,0.005,0.0,2,393,1693,1080,0.08361694248683241,0.19099977064478382,1.4277869302580999
16,0.0,0.00025,2,395,1711,1083,0.05937810283428758,0.1889211843331557,1.8535211267605634
16,0.00025,0.00025,2,395,1710,1083,0.060711770358818355,0.188989984871924,1.8365921787709498
16,0.0005,0.00025,2,395,1709,1082,0.062039477598784164,0.1890636002386745,1.81994459833795
16,0.00075,0.00025,2,395,1708,1082,0.06336141850227829,0.1891419631214432,1.8023335621139327
16,0.001,0.00025,2,395,1707,1082,0.06467778841637689,0.18922500722847738,1.7850340136054421
16,0.00125,0.00025,2,395,1706,1082,0.06598862513996835,0.1893126672759371,1.766846361185984
16,0.0015,0.00025,2,395,1705,1081,0.06729381924389073,0.18940487897558253,1.7478318879252834
16,0.00175,0.00025,2,394,1704,1081,0.0685931425970581,0.1895009403431676,1.7305151915455745
16,0.002,0.00025,2,394,1703,1081,0.06988686486686671,0.1896008936507497,1.711111111111111
16,0.0025,0.00025,2,394,1701,1081,0.07245823371099144,0.18981385554251584,1.669220945083014
16,0.003,0.00025,2,394,1699,1080,0.07500824076846467,0.19004382561342326,1.6251556662515567
16,0.0035,0.00025,2,394,1698,1080,0.07753715759604658,0.19029042285258424,1.5748792270531402
16,0.004,0.00025,2,394,1696,1080,0.08004557349677109,0.1905532792971527,1.5192532088681447
16,0.0045,0.00025,2,393,1694,1080,0.08253336101714696,0.19083082727388118,1.4568868980963046
16,0.005,0.00025,2,393,1692,1080,0.08500067481935554,0.19112241088554108,1.3907922912205568
16,0.0,0.0005,2,395,1710,1083,0.06081714892461114,0.1889253583408931,1.8353105373342637
16,0.00025,0.0005,2,395,1709,1082,0.06214750264759869,0.18900096042470607,1.8174273858921162
16,0.0005,0.0005,2,395,1708,1082,0.06347187257568022,0.18908131915585116,1.8010973936899863
16,0.00075,0.0005,2,395,1707,1082,0.06479065975813847,0.18916636821296434,1.7838205302515295
16,0.001,0.0005,2,395,1706,1082,0.06610390173088392,0.18925604227477677,1.7656565656565657
16,0.00125,0.0005,2,395,1705,1081,0.06741157829047464,0.18935027700823828,1.7466666666666666
16,0.0015,0.0005,2,394,1704,1081,0.06871326084837034,0.18944837349560817,1.7282321899736148
16,0.00175,0.0005,2,394,1703,1081,0.07000932548179821,0.18955035970452114,1.7088772845953002
