case,q_star,window,L0R0,L0R1,L1R0,L1R1
sym,0.4,peak1,0.917681636851912,0.0781103160194647,0.0038116163815785082,0.0003964307470447811
sym,0.4,valley,0.43071545891327995,0.2661707996987657,0.10570308814947935,0.19741065323847484
sym,0.4,peak2,0.0362856485569953,0.8477442460208309,0.011726939420874813,0.10424316600129908
dir,0.4,peak1,0.9522400600477843,0.0459366559744375,0.0016402884313184345,0.00018299554645958562
dir,0.4,valley,0.5231124064189551,0.25197801501668504,0.029381295375728884,0.19552828318863089
dir,0.4,peak2,0.03949988280175468,0.8752906314761085,0.003007345140710406,0.0822021405814265
sym,0.5,peak1,0.9957919528713766,1.7406884244292897e-16,0.004208047128623079,2.0988738732264772e-16
sym,0.5,valley,0.5808336612059675,0.1160525974060784,0.29930862489155097,0.0038051164964031273
sym,0.5,peak2,0.14181825960323255,0.7422116349745935,0.07990295263943877,0.036067152782735104
dir,0.5,peak1,0.9981767160222219,1.3357604468452428e-16,0.0018232839777780172,3.1138385007816895e-18
dir,0.5,valley,0.6545897338166081,0.12050068761903197,0.22386884929022233,0.0010407292741375902
dir,0.5,peak2,0.16623745395992542,0.7485530603179376,0.06708507438579366,0.01812441133634331
sym,0.6,peak1,0.9957919528713768,2.800920801006178e-17,0.00420804712862325,3.812258192530274e-17
sym,0.6,valley,0.6372372366963986,0.059649021915647034,0.3012619510851016,0.0018517903028526061
sym,0.6,peak2,0.42590913920634593,0.4581207553714802,0.09427907682093799,0.021691028601235944
dir,0.6,peak1,0.9981767160222221,1.3673851554809626e-17,0.0018232839777780204,6.802134468282146e-20
dir,0.6,valley,0.7248863418239463,0.05020407961169381,0.22465061639601794,0.0002589621683419058
dir,0.6,peak2,0.5223170999364336,0.39247341434142946,0.07711100516965184,0.008098480552485106
