Wy,bx,kappa_c2o,kappa_o2c,start_x,start_y,start_dx,start_dy,target_x,target_y,start_in_corridor,phase,t_peak1,t_valley,t_peak2,valley_over_max,peak_balance,sep_peaks,absorbed_mass,survival_tail
16,-0.08,0.002,0.002,0,0,-7,-7,58,7,0,1,599,1418,1915,0.2537105359037532,0.31754039340172313,0.7216890595009597,0.8733092470862133,0.12669075291369725
16,-0.08,0.002,0.002,1,0,-6,-7,58,7,0,1,600,1422,1916,0.25720903274527496,0.31900514017918613,0.7183406113537117,0.8722645223292832,0.12773547767062476
16,-0.08,0.002,0.002,2,0,-5,-7,58,7,0,1,601,1425,1917,0.2604000806284015,0.3204875912319622,0.7150230915512089,0.8713697313741992,0.1286302686257134
16,-0.08,0.002,0.002,3,0,-4,-7,58,7,0,1,602,1428,1918,0.2628801658862457,0.3218542867911771,0.7123139377537212,0.8707619088861256,0.12923809111378262
16,-0.08,0.002,0.002,4,0,-3,-7,58,7,0,1,604,1430,1920,0.26413802744705867,0.32292165740682466,0.711159146176709,0.8706337447875246,0.12936625521238904
16,-0.08,0.002,0.002,5,0,-2,-7,58,7,0,1,609,1438,1925,0.2677281065394234,0.3251128148416299,0.7075268817204301,0.8697217369475219,0.13027826305238752
16,-0.08,0.002,0.002,6,0,-1,-7,58,7,0,1,615,1441,1930,0.2667560043124026,0.3256489944219665,0.7083221115001347,0.8704502552134618,0.1295497447864491
16,-0.08,0.002,0.002,7,0,0,-7,58,7,0,1,623,1447,1937,0.26684563018551066,0.3267362352783691,0.7081649151172191,0.8708299273103692,0.1291700726895406
16,-0.08,0.002,0.002,8,0,1,-7,58,7,0,1,633,1455,1946,0.26786059994912254,0.3282516519709264,0.7072448155130622,0.8708980304331367,0.1291019695667755
16,-0.08,0.002,0.002,9,0,2,-7,58,7,0,1,644,1465,1956,0.2695534233818825,0.3300466613321912,0.7057557826788596,0.8707315876333004,0.1292684123666087
16,-0.08,0.002,0.002,10,0,3,-7,58,7,0,1,656,1477,1966,0.2717060319190783,0.3320046975931791,0.7029782667024417,0.8703993449581855,0.12960065504172605
16,-0.08,0.002,0.002,11,0,4,-7,58,7,0,1,668,1489,1977,0.2741594478293522,0.33404827581504937,0.7007494646680942,0.8699530555563674,0.13004694444354148
16,-0.08,0.002,0.002,12,0,5,-7,58,7,0,1,681,1502,1989,0.2768053161308462,0.33612973407081204,0.6983449012279765,0.8694291737824061,0.1305708262175032
16,-0.08,0.002,0.002,13,0,6,-7,58,7,0,1,694,1515,2000,0.27957331754267795,0.33822204473156336,0.6954206602768903,0.8688526063779612,0.13114739362194755
16,-0.08,0.002,0.002,14,0,7,-7,58,7,0,1,706,1528,2012,0.282417833387403,0.3403093223276302,0.6932059447983014,0.8682401200645351,0.13175987993537314
16,-0.08,0.002,0.002,15,0,8,-7,58,7,0,1,719,1542,2023,0.28530977211079983,0.34238337317709244,0.6901296639322572,0.867602919005817,0.1323970809940882
16,-0.08,0.002,0.002,16,0,9,-7,58,7,0,1,732,1555,2035,0.28823018849543025,0.34444001725882273,0.687598944591029,0.8669484626525075,0.13305153734739833
16,-0.08,0.002,0.002,17,0,10,-7,58,7,0,1,746,1569,2046,0.2911667132893847,0.34647683343253466,0.6838506049447659,0.8662817081167306,0.13371829188317497
16,-0.08,0.002,0.002,18,0,11,-7,58,7,0,1,759,1583,2058,0.29411082909950587,0.3484927106278978,0.6815320041972718,0.8656059465163937,0.13439405348351452
16,-0.08,0.002,0.002,19,0,12,-7,58,7,0,1,772,1596,2069,0.29705616636297916,0.3504870438472821,0.678347280334728,0.8649233618130701,0.13507663818683716
16,-0.08,0.002,0.002,20,0,13,-7,58,7,0,1,785,1610,2081,0.2999981426767078,0.35245971619874616,0.6758800521512386,0.8642354028633125,0.13576459713659259
16,-0.08,0.002,0.002,21,0,14,-7,58,7,0,1,798,1624,2092,0.30293324732762744,0.35441045679509625,0.6730819245773733,0.8635430307031896,0.1364569692967141
16,-0.08,0.002,0.002,22,0,15,-7,58,7,0,1,811,1638,2104,0.30585846204935585,0.35633955552091845,0.6704692766398755,0.862846882825812,0.13715311717409365
16,-0.08,0.002,0.002,23,0,16,-7,58,7,0,1,824,1652,2115,0.3087712247770454,0.3582468726055184,0.6677010602534265,0.8621473823669881,0.137852617632915
16,-0.08,0.002,0.002,24,0,17,-7,58,7,0,1,837,1666,2127,0.3116693005574925,0.3601328942747779,0.6654629868454991,0.8614448108037749,0.13855518919612805
16,-0.08,0.002,0.002,25,0,18,-7,58,7,0,1,850,1681,2138,0.31455054840389873,0.36199756167165376,0.6625514403292181,0.8607393565646859,0.13926064343521666
16,-0.08,0.002,0.002,26,0,19,-7,58,7,0,1,863,1695,2150,0.3174131059623949,0.3638414422022533,0.6601692741728649,0.8600311478407502,0.13996885215915456
16,-0.08,0.002,0.002,27,0,20,-7,58,7,0,1,876,1709,2161,0.3202554586853048,0.36566450911269704,0.6574571501662829,0.8593202751868967,0.14067972481300464
16,-0.08,0.002,0.002,28,0,21,-7,58,7,0,1,889,1723,2173,0.32307607653091625,0.3674673142785922,0.655269201326869,0.8586068077563366,0.14139319224356584
16,-0.08,0.002,0.002,29,0,22,-7,58,7,0,1,902,1738,2184,0.32587311740711655,0.3692497920213807,0.6525833545431408,0.8578908059180926,0.14210919408180953
16,-0.08,0.002,0.002,30,0,23,-7,58,7,0,1,915,1752,2196,0.3286453590687121,0.3710123889587963,0.6504188880426505,0.8571723323823617,0.14282766761754104
16,-0.08,0.002,0.002,31,0,24,-7,58,7,0,1,929,1767,2207,0.3313913356787457,0.3727547330227062,0.6472524689794885,0.8564514636904157,0.14354853630948222
16,-0.08,0.002,0.002,32,0,25,-7,58,7,0,1,942,1781,2219,0.3341092782738035,0.37447714438331176,0.6452753916119253,0.8557283039669452,0.1442716960329503
16,-0.08,0.002,0.002,33,0,26,-7,58,7,0,1,955,1796,2230,0.3367983493704325,0.3761793269195772,0.6423173803526449,0.8550030031843197,0.14499699681557937
16,-0.08,0.002,0.002,34,0,27,-7,58,7,0,1,968,1810,2242,0.33945645111878786,0.3778612451863845,0.640361899974868,0.8542757829014396,0.1457242170984597
16,-0.08,0.002,0.002,35,0,28,-7,58,7,0,1,981,1825,2253,0.3420823684007396,0.379522142398807,0.6377538230132865,0.8535469736193947,0.14645302638050475
16,-0.08,0.002,0.002,36,0,29,-7,58,7,0,1,994,1839,2265,0.34467389031507817,0.3811615699587593,0.6356589147286822,0.85281706971179,0.1471829302881053
16,-0.08,0.002,0.002,37,0,30,-7,58,7,0,1,1007,1854,2276,0.34722892816404827,0.38277827982750007,0.6332335329341318,0.8520868105883591,0.14791318941154488
16,-0.08,0.002,0.002,38,0,31,-7,58,7,0,1,1020,1868,2288,0.34974510837604145,0.38437122961387993,0.6313169031615633,0.8513573006746702,0.14864269932522564
16,-0.08,0.002,0.002,39,0,32,-7,58,7,0,1,1033,1883,2299,0.35221890402031725,0.38593849088352833,0.6287558976905885,0.8506301863604222,0.14936981363947563
16,-0.08,0.002,0.002,40,0,33,-7,58,7,0,1,1046,1898,2311,0.35464724222655397,0.38747820298597074,0.6268582755203171,0.8499079157198046,0.15009208428009
16,-0.08,0.002,0.002,41,0,34,-7,58,7,0,1,1059,1912,2322,0.35702564662263786,0.38898760725092546,0.6244746600741656,0.849194116773059,0.15080588322684
16,-0.08,0.002,0.002,42,0,35,-7,58,7,0,1,1072,1927,2334,0.35934926633149145,0.39046390481635757,0.6225949679329058,0.8484941417732312,0.1515058582266652
16,-0.08,0.002,0.002,43,0,36,-7,58,7,0,1,1085,1941,2345,0.3616129882373543,0.39190373166941994,0.6202313561407826,0.8478158356774326,0.15218416432246396
16,-0.08,0.002,0.002,44,0,37,-7,58,7,0,1,1098,1956,2357,0.3638109757593681,0.3933039024626074,0.6183693516699411,0.8471705882855276,0.1528294117143697
16,-0.08,0.002,0.002,45,0,38,-7,58,7,0,1,1111,1970,2368,0.3659386538194801,0.3946621342889796,0.6161764705882353,0.8465747004038389,0.1534252995960504
16,-0.08,0.002,0.002,46,0,39,-7,58,7,0,1,1124,1984,2379,0.36799302252737315,0.3959780876569865,0.6138420151626315,0.8460509854886074,0.15394901451128326
16,-0.08,0.002,0.002,47,0,40,-7,58,7,0,1,136,463,1137,0.046647347669874564,0.08701005882509395,0.3480528511821975,0.845630230672761,0.15436976932713076
16,-0.08,0.002,0.002,48,0,41,-7,58,7,0,1,116,476,1149,0.047545364728077806,0.1235264361462483,1.9165120593692022,0.8453514272247578,0.1546485727751364
16,-0.08,0.002,0.002,49,0,42,-7,58,7,0,2,100,489,1161,0.04844371890851327,0.18327354644648364,2.0742913000977516,0.8452581048696745,0.1547418951302188
16,-0.08,0.002,0.002,50,0,43,-7,58,7,0,2,87,501,1174,0.04934823053402989,0.28009269294544076,2.180541624874624,0.8453848798097816,0.15461512019011536
16,-0.08,0.002,0.002,51,0,44,-7,58,7,0,2,76,513,1185,0.05026562904477162,0.43568818710074947,2.2678936605316973,0.8457223106165845,0.15427768938330721
16,-0.08,0.002,0.002,52,0,45,-7,58,7,0,2,67,525,1197,0.05120168821471638,0.6824523391271189,2.3419689119170983,0.8461384951628079,0.15386150483708694
16,-0.08,0.002,0.002,53,0,46,-7,58,7,0,2,59,536,1209,0.04900050120781655,0.93952408902436,2.405857740585774,0.8462254932976301,0.15377450670226445
16,-0.08,0.002,0.002,54,0,47,-7,58,7,0,2,53,547,1221,0.032576719368722126,0.6134762038963284,2.4563617245005256,0.8450595631211041,0.15494043687879083
16,-0.08,0.002,0.002,55,0,48,-7,58,7,0,2,48,557,1231,0.02238558977237272,0.4166640896680259,2.5010570824524314,0.847265367832094,0.1527346321678021
16,-0.08,0.002,0.002,56,0,49,-7,58,7,0,2,44,568,1242,0.01634283819068138,0.30011144198451284,2.538135593220339,0.8471883615989402,0.15281163840095902
16,-0.08,0.002,0.002,57,0,50,-7,58,7,0,2,42,577,1253,0.01279642569914026,0.23235097376905411,2.5602536997885834,0.8474398212461989,0.15256017875370273
16,-0.08,0.002,0.002,58,0,51,-7,58,7,0,2,40,580,1255,0.01013795404062552,0.18641900392013033,2.607296137339056,0.8730941157274765,0.12690588427243132
16,-0.08,0.002,0.002,59,0,52,-7,58,7,0,2,39,584,1259,0.009049639199629875,0.16615164199192597,2.6180257510729614,0.8755785591677905,0.12442144083211693
16,-0.08,0.002,0.002,0,1,-7,-6,58,7,0,1,594,1413,1910,0.2534613021740167,0.3173360454316438,0.7218869994514536,0.8735661461782089,0.1264338538217027
16,-0.08,0.002,0.002,1,1,-6,-6,58,7,0,1,595,1417,1911,0.2569754196773925,0.31881678677281755,0.7183406113537117,0.8725355772290979,0.12746442277081205
16,-0.08,0.002,0.002,2,1,-5,-6,58,7,0,1,595,1420,1912,0.26020345565501424,0.32033658286003336,0.7155664221678891,0.8716683523143579,0.1283316476855538
16,-0.08,0.002,0.002,3,1,-4,-6,58,7,0,1,596,1422,1912,0.26275991010593486,0.321773055774459,0.7123139377537212,0.8710896550374821,0.12891034496242698
16,-0.08,0.002,0.002,4,1,-3,-6,58,7,0,1,598,1424,1914,0.2641528227828526,0.32295430884830173,0.711159146176709,0.870966688467393,0.12903331153252162
16,-0.08,0.002,0.002,5,1,-2,-6,58,7,0,1,604,1433,1920,0.2678936492764443,0.32526356072457313,0.7075268817204301,0.8700140454672027,0.1299859545327086
16,-0.08,0.002,0.002,6,1,-1,-6,58,7,0,1,611,1437,1926,0.2670460559132586,0.32589275196343587,0.7083221115001347,0.8706786641524036,0.12932133584750974
16,-0.08,0.002,0.002,7,1,0,-6,58,7,0,1,620,1444,1934,0.2672029469785108,0.3270259798098477,0.7081649151172191,0.8709972662959262,0.12900273370398374
16,-0.08,0.002,0.002,8,1,1,-6,58,7,0,1,631,1453,1944,0.2682292704728271,0.32854339155878604,0.7072448155130622,0.8710163819076344,0.12898361809227393
16,-0.08,0.002,0.002,9,1,2,-6,58,7,0,1,643,1464,1954,0.2698976279810658,0.3303137918371993,0.7048387096774194,0.8708141363736877,0.12918586362622167
16,-0.08,0.002,0.002,10,1,3,-6,58,7,0,1,655,1476,1965,0.2720106761494473,0.33223640980550373,0.7027896995708155,0.8704571235610286,0.12954287643888182
16,-0.08,0.002,0.002,11,1,4,-6,58,7,0,1,668,1488,1977,0.2744234955931756,0.3342448068265949,0.7005619480867006,0.8699942831667317,0.13000571683317524
16,-0.08,0.002,0.002,12,1,5,-6,58,7,0,1,680,1501,1988,0.27703415614568283,0.3362961733762097,0.6981585268214572,0.8694596081945112,0.13054039180539845
16,-0.08,0.002,0.002,13,1,6,-6,58,7,0,1,693,1515,2000,0.2797746539099935,0.338364154953609,0.6955827567855242,0.8688761414991691,0.1311238585007432
16,-0.08,0.002,0.002,14,1,7,-6,58,7,0,1,706,1528,2011,0.2825995986993461,0.34043380584213795,0.6926751592356688,0.8682593347525196,0.13174066524738742
16,-0.08,0.002,0.002,15,1,8,-6,58,7,0,1,719,1541,2023,0.2854791179166503,0.3424956423119173,0.6901296639322572,0.8676194997278432,0.1323805002720651
16,-0.08,0.002,0.002,16,1,9,-6,58,7,0,1,732,1555,2034,0.2883919808929527,0.3445438140761677,0.6868900026378264,0.866963503847964,0.13303649615193983
16,-0.08,0.002,0.002,17,1,10,-6,58,7,0,1,745,1569,2046,0.2913247447736945,0.3465752510859623,0.6841966868261898,0.86629591673717,0.13370408326273697
16,-0.08,0.002,0.002,18,1,11,-6,58,7,0,1,759,1583,2058,0.2942671855938979,0.34858718198997046,0.6813532651455547,0.8656197779721884,0.1343802220277205
16,-0.08,0.002,0.002,19,1,12,-6,58,7,0,1,772,1596,2069,0.2972120821850947,0.35057883546629576,0.6781699346405229,0.8649371090452793,0.13506289095462878
16,-0.08,0.002,0.002,20,1,13,-6,58,7,0,1,785,1610,2081,0.3001543738496013,0.35254938702972705,0.67570385818561,0.8642492542024752,0.1357507457974317
16,-0.08,0.002,0.002,21,1,14,-6,58,7,0,1,798,1624,2092,0.30308999547813914,0.354498567226805,0.6729069162766511,0.8635571072558316,0.13644289274408092
16,-0.08,0.002,0.002,22,1,15,-6,58,7,0,1,811,1638,2104,0.30601561299636537,0.3564261737461777,0.6704692766398755,0.8628612625541133,0.13713873744579375
16,-0.08,0.002,0.002,23,1,16,-6,58,7,0,1,824,1652,2115,0.3089284634447044,0.35833222117329566,0.6677010602534265,0.862162115566399,0.13783788443350414
16,-0.08,0.002,0.002,24,1,17,-6,58,7,0,1,837,1666,2127,0.3118261923662294,0.36021686400526554,0.6651198762567672,0.8614599300384622,0.1385400699614434
16,-0.08,0.002,0.002,25,1,18,-6,58,7,0,1,850,1681,2138,0.3147064843160066,0.3620802490169399,0.6625514403292181,0.8607548830397131,0.13924511696019162
16,-0.08,0.002,0.002,26,1,19,-6,58,7,0,1,863,1695,2150,0.31756765380659424,0.3639226914665366,0.6601692741728649,0.8600470954862378,0.13995290451366393
