spec,round,Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_peak2,t_valley,t_max_used,horizon_flag,valley_over_max,peak_ratio,peak_minus_valley,peak1_height,peak2_height,valley_height,peak1_window_mass,valley_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,t_mode_near,t_mode_far,hw_near,hw_far,absorbed_mass,survival_tail,clear_score,showcase_score,sep_margin,mass_margin,valley_margin,peak_margin,contrast_margin,min_margin
baseline,1,16,0.0,7,7,9,9,58,7,2,2,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.9056680670992047,0.09433193286133462,1.2782002534854247,6,2023,7.5,1570.5,0.9999999999605395,3.941622610071012e-11,-1.0,-1.0,0.27820025348542465,-0.05566806713866537,,,,-0.05566806713866537
baseline,1,16,0.0,7,7,10,9,58,7,3,2,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.9012104289839279,0.09878957099180069,1.2813388064414273,11,2040,15.5,1568.0,0.9999999999757285,2.4221254568550957e-11,-1.0,-1.0,0.2813388064414273,-0.051210429008199304,,,,-0.051210429008199304
baseline,1,16,0.0,7,7,11,9,58,7,4,2,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8971401460204231,0.10285985396455288,1.2777951769495772,17,2057,26.5,1570.0,0.9999999999849761,1.4972860040595528e-11,-1.0,-1.0,0.2777951769495772,-0.04714014603544711,,,,-0.04714014603544711
baseline,1,16,0.0,7,7,12,9,58,7,5,2,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8936106833119762,0.10638931667857178,1.2616995073891626,25,2074,47.5,1576.5,0.9999999999905479,9.395512344975914e-12,-1.0,-1.0,0.2616995073891626,-0.043610683321428215,,,,-0.043610683321428215
baseline,1,16,0.0,7,7,13,9,58,7,6,2,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8905279851480953,0.10947201484577276,1.2026908452763967,36,2092,123.5,1586.0,0.9999999999938681,6.073089861826503e-12,-1.0,-1.0,0.2026908452763967,-0.04052798515422723,,,,-0.04052798515422723
baseline,1,16,0.0,7,7,14,9,58,7,7,2,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8877609047960793,0.11223909519973799,1.1024886272411025,49,2109,269.0,1599.5,0.9999999999958173,4.121201837463757e-12,-1.0,-1.0,0.10248862724110253,-0.03776090480026201,,,,-0.03776090480026201
baseline,1,16,0.0,7,7,15,9,58,7,8,2,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8851967655824349,0.11480323441449487,1.0135568153808232,70,2126,413.5,1615.0,0.9999999999969297,3.0065138796438017e-12,-1.0,-1.0,0.013556815380823206,-0.03519676558550512,,,,-0.03519676558550512
baseline,1,16,0.0,7,7,16,9,58,7,9,2,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8827497850098731,0.1172502149876331,0.932258064516129,119,2142,537.5,1632.5,0.9999999999975061,2.4264596972888408e-12,-1.0,-1.0,-0.06774193548387097,-0.03274978501236689,,,,-0.06774193548387097
baseline,1,16,0.0,7,7,17,9,58,7,10,2,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.880357247322375,0.11964275267531653,0.8607150690940996,196,2158,627.5,1652.0,0.9999999999976914,2.237688218590104e-12,-1.0,-1.0,-0.13928493090590044,-0.030357247324683465,,,,-0.13928493090590044
baseline,1,16,0.02,7,7,9,9,58,7,2,2,0,far_broadening,,,,48000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.6467433659464372,0.35325663405252006,1.552433517310587,6,1553,7.5,989.0,0.9999999999989574,9.994597515579088e-13,-1.0,-1.0,0.552433517310587,0.20325663405252006,,,,0.20325663405252006
