Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_valley,t_peak2,t_mode_near,t_mode_far,peak1_height,peak2_height,peak1_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,survival_tail,t_max_used,horizon_flag
16,0.12,7,7,9,7,58,7,2,0,0,far_broadening,,,,2,472,nan,nan,0.0,0.0,0.4982277028348596,0.5017722971641276,2.6038781163434903,9.99972682400517e-13,12000,ok
16,0.12,7,7,10,7,58,7,3,0,2,clear,6,204,472,5,472,0.016146749053091543,0.0014082338572121082,0.30617547209429663,0.07422925913114163,0.41901816770644223,0.5809818322925423,2.490666666666667,9.997678075527087e-13,12000,ok
16,0.12,7,7,11,7,58,7,4,0,2,clear,12,208,472,12,472,0.010067667140009754,0.0015259367531811248,0.24984604826577816,0.08043408268611399,0.3706293894713699,0.6293706105276161,2.383419689119171,9.957770576700465e-13,12000,ok
16,0.12,7,7,12,7,58,7,5,0,2,clear,18,212,472,17,472,0.007107753492090961,0.0016060495624870617,0.2115554152915646,0.08465742981563286,0.33778597070736155,0.6622140292916218,2.3037974683544302,9.99068801170324e-13,12000,ok
16,0.12,7,7,13,7,58,7,6,0,2,clear,24,215,471,24,471,0.005418702579367809,0.0016643906064438341,0.18357257385840325,0.08772917291111368,0.3139592333920324,0.6860407666069529,2.212871287128713,9.972535917067907e-13,12000,ok
16,0.12,7,7,14,7,58,7,7,0,2,clear,31,219,471,31,471,0.004353875174433257,0.0017087217956182638,0.16504897402820518,0.09006648471921615,0.29593471378266223,0.7040652862163242,2.1307506053268765,9.963839779329713e-13,12000,ok
16,0.12,7,7,15,7,58,7,8,0,2,clear,39,223,471,38,471,0.003629113293702241,0.0017433560884277434,0.15244859179701903,0.09189283537999382,0.28192528813798645,0.7180747118609966,2.0472813238770686,9.996346481074916e-13,12000,ok
16,0.12,7,7,16,7,58,7,9,0,2,clear,46,227,471,46,471,0.003111820356473068,0.0017709369051351806,0.13821906915547405,0.09334758359727668,0.2708373967432286,0.7291626032557544,1.9675925925925926,9.985398039308889e-13,12000,ok
16,0.12,7,7,17,7,58,7,10,0,2,clear,54,231,470,54,471,0.002728770917136891,0.001793211740828034,0.1266385403996564,0.09451853302938185,0.2619512490781638,0.7380487509208172,1.8826185101580135,9.994472845427192e-13,12000,ok
16,0.12,7,7,18,7,58,7,11,0,2,clear,63,234,470,63,471,0.0024388810648233797,0.0018114237053138977,0.11699251260523447,0.09547986797279853,0.2547662267968376,0.7452337732021451,1.8133333333333332,9.97985066272826e-13,12000,ok
