Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_peak2,t_valley,t_max_used,horizon_flag,valley_over_max,peak_ratio,peak_minus_valley,peak1_height,peak2_height,valley_height,peak1_window_mass,valley_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,t_mode_near,t_mode_far,hw_near,hw_far,absorbed_mass,survival_tail,clear_score,showcase_score,sep_margin,mass_margin,valley_margin,peak_margin,contrast_margin,min_margin
16,0.0,7,7,9,10,58,7,2,3,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.893728664423726,0.10627133552160106,1.2617114303560275,11,2031,15.5,1585.5,0.999999999945327,5.4622427195646245e-11,-1.0,-1.0,0.2617114303560275,-0.04372866447839893,,,,-0.04372866447839893
16,0.0,7,7,10,10,58,7,3,3,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8922131352149621,0.10778686475210439,1.2650264715042043,16,2047,23.0,1582.5,0.9999999999670667,3.288123677239714e-11,-1.0,-1.0,0.26502647150420433,-0.042213135247895606,,,,-0.042213135247895606
16,0.0,7,7,11,10,58,7,4,3,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8900903492434097,0.10990965073633635,1.2591679506933744,22,2065,37.5,1585.0,0.9999999999797463,2.0197634061201804e-11,-1.0,-1.0,0.2591679506933744,-0.040090349263663644,,,,-0.040090349263663644
16,0.0,7,7,12,10,58,7,5,3,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8878044632131246,0.11219553677409343,1.2337740384615385,30,2083,73.5,1590.5,0.999999999987218,1.2725392126021931e-11,-1.0,-1.0,0.23377403846153855,-0.03780446322590657,,,,-0.03780446322590657
16,0.0,7,7,13,10,58,7,6,3,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8855137077302399,0.11448629226138303,1.1573033707865168,41,2101,179.0,1601.0,0.9999999999916229,8.318139289076928e-12,-1.0,-1.0,0.1573033707865168,-0.035513707738616965,,,,-0.035513707738616965
16,0.0,7,7,14,10,58,7,7,3,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8832542412400989,0.11674575875410123,1.0706493506493506,57,2118,311.0,1614.0,0.9999999999942002,5.736359939785744e-12,-1.0,-1.0,0.07064935064935063,-0.033254241245898764,,,,-0.033254241245898764
16,0.0,7,7,15,10,58,7,8,3,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8810167798831513,0.11898322011251725,0.9934672150979917,83,2136,437.5,1629.0,0.9999999999956686,4.265891233738468e-12,-1.0,-1.0,-0.0065327849020082596,-0.03101677988748275,,,,-0.03101677988748275
16,0.0,7,7,16,10,58,7,9,3,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8787788235092079,0.12122117648720625,0.9217787913340935,132,2153,545.0,1647.5,0.9999999999964142,3.5135378468647007e-12,-1.0,-1.0,-0.07822120866590654,-0.028778823512793747,,,,-0.07822120866590654
16,0.0,7,7,17,10,58,7,10,3,0,tail_truncation_risk,,,,48000,tail_cap,,,,nan,nan,nan,0.0,0.0,0.0,0.8765169171381587,0.12348308285846431,0.8584474885844748,195,2169,633.0,1666.5,0.999999999996623,3.3021929160905905e-12,-1.0,-1.0,-0.14155251141552516,-0.026516917141535687,,,,-0.14155251141552516
16,0.02,7,7,9,10,58,7,2,3,0,far_broadening,,,,48000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.6032431432267021,0.3967568567722519,1.5317460317460319,11,1555,15.5,992.5,0.9999999999989538,9.995083314298687e-13,-1.0,-1.0,0.5317460317460319,0.24675685677225193,,,,0.24675685677225193
