scan_family,Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_valley,t_peak2,t_mode_near,t_mode_far,peak1_height,peak2_height,peak1_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,survival_tail,t_max_used,horizon_flag
source_only_x,16,0.12,5,7,9,9,58,7,4,2,2,clear,15,213,487,14,487,0.007349088016587857,0.0016764112030854615,0.19582173298376784,0.08837406030864615,0.30254985285773306,0.6974501471412521,2.4071246819338423,9.966592304171758e-13,12000,ok
source_only_x,16,0.12,6,7,9,9,58,7,3,2,2,clear,10,205,478,9,478,0.010022668330871138,0.0016533926393144896,0.21820824744402437,0.08715524550742655,0.31544755427369453,0.6845524457252906,2.4490861618798956,9.97923581132451e-13,12000,ok
source_only_x,16,0.12,7,7,9,9,58,7,2,2,2,clear,7,196,469,6,469,0.014383879221842503,0.001642098894982925,0.24368989890722098,0.08655506244829268,0.323991467238383,0.6760085327606032,2.489247311827957,9.976683189684257e-13,12000,ok
source_only_x,16,0.12,8,7,9,9,58,7,1,2,1,far_broadening,6,186,459,3,459,0.019134392150776683,0.0016682266182314832,0.2587521159508834,0.08792319743356741,0.31775731830751197,0.6822426816914744,2.526315789473684,9.965872705488894e-13,12000,ok
source_only_x,16,0.12,9,7,9,9,58,7,0,2,1,far_broadening,5,177,449,2,449,0.019020822305645706,0.0017848619804662997,0.23227556996752788,0.09405838220740849,0.2751915258220182,0.724808474176968,2.5183098591549298,9.964946644526222e-13,12000,ok
source_only_x,16,0.12,10,7,9,9,58,7,-1,2,2,clear,6,169,441,3,441,0.010303134235033599,0.0020531641761461815,0.13932805229912876,0.10818753104835263,0.17109778660000596,0.82890221339898,2.460674157303371,9.957136343502962e-13,12000,ok
source_only_x,16,0.12,11,7,9,9,58,7,-2,2,1,near_mass_loss,7,162,434,6,434,0.004170473857220607,0.002254119578448648,0.07065559966782031,0.11876861189217341,0.09393450083160626,0.9060654991673784,2.3646408839779007,9.962107580050762e-13,12000,ok
source_only_x,16,0.12,12,7,9,9,58,7,-3,2,1,near_mass_loss,10,155,427,9,427,0.0015647588700449706,0.0023746201621018,0.03406675517984122,0.12511123386737485,0.0492431110289768,0.9507568889700065,2.2594594594594595,9.966570699985583e-13,12000,ok
source_only_x,16,0.12,13,7,9,9,58,7,-4,2,1,near_mass_loss,15,148,419,14,419,0.000617806099313233,0.002444137937980822,0.016459742234798836,0.12876284014343398,0.02542748915864856,0.9745725108403328,2.154255319148936,9.973791533764275e-13,12000,ok
source_only_x,16,0.12,14,7,9,9,58,7,-5,2,1,near_mass_loss,20,141,411,20,411,0.0002563618183498997,0.002486402516041704,0.007894905307922246,0.13098023266092906,0.013097664536061454,0.9869023354629188,2.0417754569190603,9.99304150654439e-13,12000,ok
source_only_x,16,0.12,15,7,9,9,58,7,-6,2,0,near_mass_loss,,,,26,403,nan,nan,0.0,0.0,0.0067638310341892145,0.9932361689647913,1.9283887468030692,9.985507153127219e-13,12000,ok
source_plus_near_x,16,0.12,5,7,7,9,58,7,2,2,2,clear,7,203,486,6,486,0.014383879221842503,0.0016256452301708598,0.24371813829816077,0.08569810247595713,0.32408592183981716,0.67591407815917,2.5531914893617023,9.952125568267975e-13,12000,ok
source_plus_near_x,16,0.12,6,7,8,9,58,7,2,2,2,clear,7,200,477,6,477,0.014383879221842505,0.0016335118672341227,0.2436923838371697,0.08610581136810357,0.32401635473835805,0.6759836452606278,2.518716577540107,9.968679715315328e-13,12000,ok
source_plus_near_x,16,0.12,7,7,9,9,58,7,2,2,2,clear,7,196,469,6,469,0.014383879221842503,0.001642098894982925,0.24368989890722098,0.08655506244829268,0.323991467238383,0.6760085327606032,2.489247311827957,9.976683189684257e-13,12000,ok
source_plus_near_x,16,0.12,8,7,10,9,58,7,2,2,2,clear,7,192,460,6,460,0.014383879221842503,0.0016512522197789337,0.24368972933715877,0.08702978544673838,0.32398271095488346,0.6760172890441016,2.454054054054054,9.979696480514551e-13,12000,ok
source_plus_near_x,16,0.12,9,7,11,9,58,7,2,2,2,clear,7,188,451,6,451,0.014383879221842503,0.0016608498677514799,0.24368972132594044,0.08752744484972866,0.3239796982259648,0.67602030177302,2.4250681198910082,9.979721530890931e-13,12000,ok
source_plus_near_x,16,0.12,10,7,12,9,58,7,2,2,2,clear,7,183,442,6,442,0.014383879221842505,0.0016708135880064852,0.24368972107142148,0.08804393361450626,0.32397869455727674,0.6760213054417102,2.389041095890411,9.977896293617526e-13,12000,ok
source_plus_near_x,16,0.12,11,7,13,9,58,7,2,2,2,clear,7,179,433,6,433,0.014383879221842503,0.001681098871238313,0.24368972106620193,0.0885769156524257,0.32397837674185465,0.6760216232571303,2.3591160220994474,9.97487043693446e-13,12000,ok
source_plus_near_x,16,0.12,12,7,14,9,58,7,2,2,2,clear,7,175,424,6,425,0.014383879221842503,0.0016916854721106918,0.24368972106613687,0.08912532192267439,0.32397828478741164,0.676021715211576,2.327777777777778,9.971013426179904e-13,12000,ok
source_plus_near_x,16,0.12,13,7,15,9,58,7,2,2,2,clear,7,171,416,6,416,0.014383879221842503,0.0017025772175216082,0.24368972106613646,0.08969448467368674,0.3239782630017573,0.6760217369972323,2.2969187675070026,9.966531920241343e-13,12000,ok
source_plus_near_x,16,0.12,14,7,16,9,58,7,2,2,2,clear,7,167,407,6,407,0.014383879221842505,0.0017137731022227047,0.24368972106613646,0.09027427446746,0.32397826077675096,0.676021739222238,2.259154929577465,9.961536901418336e-13,12000,ok
source_plus_near_x,16,0.12,15,7,17,9,58,7,2,2,2,clear,7,163,398,6,398,0.014383879221842503,0.001725282444573744,0.24368972106613646,0.09087008692710997,0.32397826273745295,0.6760217372615364,2.227272727272727,9.956082401858563e-13,12000,ok
