t,f_total,f_a,f_b
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,4.40990070862546e-24,4.40990070862546e-24,0.0
52,2.072653333053965e-24,2.072653333053965e-24,0.0
53,5.279436110550809e-22,5.279436110550809e-22,0.0
54,2.551401767565889e-22,2.551401767565889e-22,0.0
55,1.8158721044227236e-20,1.8158721044227236e-20,0.0
56,2.0906341960015764e-20,2.0906341960015764e-20,0.0
57,3.224566188278266e-19,3.224566188278266e-19,0.0
58,4.933108223588773e-19,4.933108223588773e-19,0.0
59,3.683977573379412e-18,3.683977573379412e-18,0.0
60,6.322050133442353e-18,6.322050133442353e-18,0.0
61,3.053945810583238e-17,3.053945810583238e-17,0.0
62,5.476057333335303e-17,5.476057333335303e-17,0.0
63,1.9772241630976839e-16,1.9772241630976839e-16,0.0
64,3.5766830560760844e-16,3.5766830560760844e-16,0.0
65,1.0498858608774943e-15,1.0498858608774943e-15,0.0
66,1.8807426855851894e-15,1.8807426855851894e-15,0.0
67,4.733643775355314e-15,4.733643775355314e-15,0.0
68,8.315145915314175e-15,8.315145915314175e-15,0.0
69,1.8597588576551627e-14,1.8597588576551627e-14,0.0
70,3.1876116334707205e-14,3.1876116334707205e-14,0.0
71,6.495558622076974e-14,6.495558622076974e-14,0.0
72,1.0840212508964936e-13,1.0840212508964936e-13,0.0
73,2.0491773845910845e-13,2.0491773845910845e-13,0.0
74,3.328211805809595e-13,3.328211805809595e-13,0.0
75,5.914860616762478e-13,5.914860616762478e-13,0.0
76,9.35406112310426e-13,9.35406112310426e-13,0.0
77,1.5787928890539604e-12,1.5787928890539604e-12,0.0
78,2.433620001797792e-12,2.433620001797792e-12,0.0
79,3.931638422560562e-12,3.931638422560562e-12,0.0
80,5.9148323746822535e-12,5.9148323746822535e-12,0.0
81,9.203247670708195e-12,9.203247670708195e-12,0.0
82,1.35323763777052e-11,1.35323763777052e-11,0.0
83,2.037970039656588e-11,2.037970039656588e-11,0.0
84,2.9331196576135054e-11,2.9331196576135054e-11,0.0
85,4.292623381059606e-11,4.292623381059606e-11,0.0
86,6.055866452529904e-11,6.055866452529904e-11,0.0
87,8.641204093290667e-11,8.641204093290667e-11,0.0
88,1.196589801157134e-10,1.196589801157134e-10,0.0
89,1.6693377100403256e-10,1.6693377100403256e-10,0.0
90,2.2719297350793532e-10,2.2719297350793532e-10,0.0
91,3.106003269189203e-10,3.106003269189203e-10,0.0
92,4.15965404728534e-10,4.15965404728534e-10,0.0
93,5.58378826652015e-10,5.58378826652015e-10,0.0
94,7.366749629268573e-10,7.366749629268573e-10,0.0
95,9.726296256448147e-10,9.726296256448147e-10,0.0
96,1.2654240280607552e-09,1.2654240280607552e-09,0.0
97,1.6456731604448447e-09,1.6456731604448447e-09,0.0
98,2.1134322069050325e-09,2.1134322069050325e-09,0.0
99,2.7107297395437775e-09,2.7107297395437775e-09,0.0
100,3.4392867928673e-09,3.4392867928673e-09,0.0
101,4.355552872964112e-09,4.355552872964112e-09,0.0
102,5.464032784433424e-09,5.464032784433424e-09,0.0
103,6.839036065505801e-09,6.839036065505801e-09,0.0
104,8.489354335634121e-09,8.489354335634121e-09,0.0
105,1.0511012266073107e-08,1.0511012266073107e-08,0.0
106,1.291902922533586e-08,1.291902922533586e-08,0.0
107,1.5835385742380928e-08,1.5835385742380928e-08,0.0
108,1.9283750112956498e-08,1.9283750112956498e-08,0.0
109,2.34166406214524e-08,2.34166406214524e-08,0.0
110,2.8269304113517983e-08,2.8269304113517983e-08,0.0
111,3.40296623063274e-08,3.40296623063274e-08,0.0
112,4.074798959132125e-08,4.074798959132125e-08,0.0
113,4.865269181743923e-08,4.865269181743923e-08,0.0
114,5.7813030677763444e-08,5.7813030677763444e-08,0.0
115,6.850311365374457e-08,6.850311365374457e-08,0.0
116,8.081563082459014e-08,8.081563082459014e-08,0.0
117,9.50756600321917e-08,9.50756600321917e-08,0.0
118,1.1140419168992864e-07,1.1140419168992864e-07,0.0
119,1.3018250323006401e-07,1.3018250323006401e-07,0.0
120,1.5156511754612046e-07,1.5156511754612046e-07,0.0
121,1.7599460772804458e-07,1.7599460772804458e-07,0.0
122,2.0366453242900243e-07,2.0366453242900243e-07,0.0
123,2.350836288448522e-07,2.350836288448522e-07,0.0
124,2.7049016097334343e-07,2.7049016097334343e-07,0.0
125,3.104635777289817e-07,3.104635777289817e-07,0.0
126,3.552925670465077e-07,3.552925670465077e-07,0.0
