t,f_total,f_a,f_b
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,4.4099007086254605e-24,4.4099007086254605e-24,0.0
52,2.0726533330539646e-24,2.0726533330539646e-24,0.0
53,5.27943611055081e-22,5.27943611055081e-22,0.0
54,2.551401767565889e-22,2.551401767565889e-22,0.0
55,1.8158721044227236e-20,1.8158721044227236e-20,0.0
56,2.091825118616889e-20,2.091825118616889e-20,0.0
57,3.2250836984633133e-19,3.2250836984633133e-19,0.0
58,4.937432839968512e-19,4.937432839968512e-19,0.0
59,3.685469029105343e-18,3.685469029105343e-18,0.0
60,6.3291828565205464e-18,6.3291828565205464e-18,0.0
61,3.0560444974052156e-17,3.0560444974052156e-17,0.0
62,5.4835134260840976e-17,5.4835134260840976e-17,0.0
63,1.9791677122613795e-16,1.9791677122613795e-16,0.0
64,3.5823627241962844e-16,3.5823627241962844e-16,0.0
65,1.0512286923371045e-15,1.0512286923371045e-15,0.0
66,1.884149184046048e-15,1.884149184046048e-15,0.0
67,4.7410698218821294e-15,4.7410698218821294e-15,0.0
68,8.332047895495628e-15,8.332047895495628e-15,0.0
69,1.8631981758345817e-14,1.8631981758345817e-14,0.0
70,3.194791780673883e-14,3.194791780673883e-14,0.0
71,6.50932806085684e-14,6.50932806085684e-14,0.0
72,1.0866995515339671e-13,1.0866995515339671e-13,0.0
73,2.0540552871356145e-13,2.0540552871356145e-13,0.0
74,3.337154980412437e-13,3.337154980412437e-13,0.0
75,5.930427273076749e-13,5.930427273076749e-13,0.0
76,9.381201592062029e-13,9.381201592062029e-13,0.0
77,1.5833315641121114e-12,1.5833315641121114e-12,0.0
78,2.4411976215360257e-12,2.4411976215360257e-12,0.0
79,3.943866846033547e-12,3.943866846033547e-12,0.0
80,5.93449192956387e-12,5.93449192956387e-12,0.0
81,9.23397802045078e-12,9.23397802045078e-12,0.0
82,1.3580166836088422e-11,1.3580166836088422e-11,0.0
83,2.0452292360953663e-11,2.0452292360953663e-11,0.0
84,2.944080994270829e-11,2.944080994270829e-11,0.0
85,4.3088478639852907e-11,4.3088478639852907e-11,0.0
86,6.079728831124621e-11,6.079728831124621e-11,0.0
87,8.675704913480764e-11,8.675704913480764e-11,0.0
88,1.2015454231565783e-10,1.2015454231565783e-10,0.0
89,1.676351268349724e-10,1.676351268349724e-10,0.0
90,2.281790799456265e-10,2.281790799456265e-10,0.0
91,3.119689804439828e-10,3.119689804439828e-10,0.0
92,4.1785274608584385e-10,4.1785274608584385e-10,0.0
93,5.609519478116458e-10,5.609519478116458e-10,0.0
94,7.401610005201693e-10,7.401610005201693e-10,0.0
95,9.773049520254682e-10,9.773049520254682e-10,0.0
96,1.271656342669407e-09,1.271656342669407e-09,0.0
97,1.6539062007474362e-09,1.6539062007474362e-09,0.0
98,2.124244962377195e-09,2.124244962377195e-09,0.0
99,2.724815475429801e-09,2.724815475429801e-09,0.0
100,3.45753423166092e-09,3.45753423166092e-09,0.0
101,4.3790182176549665e-09,4.3790182176549665e-09,0.0
102,5.494048399776092e-09,5.494048399776092e-09,0.0
103,6.8771741329526995e-09,6.8771741329526995e-09,0.0
104,8.537569181484604e-09,8.537569181484604e-09,0.0
105,1.0571594290693995e-08,1.0571594290693995e-08,0.0
106,1.2994787528084754e-08,1.2994787528084754e-08,0.0
107,1.5929591052428702e-08,1.5929591052428702e-08,0.0
108,1.9400364715524348e-08,1.9400364715524348e-08,0.0
109,2.35602491812715e-08,2.35602491812715e-08,0.0
110,2.844539808294291e-08,2.844539808294291e-08,0.0
111,3.4244557774450477e-08,3.4244557774450477e-08,0.0
112,4.100917332913552e-08,4.100917332913552e-08,0.0
113,4.896872559946595e-08,4.896872559946595e-08,0.0
114,5.819396587887263e-08,5.819396587887263e-08,0.0
115,6.896038186407327e-08,6.896038186407327e-08,0.0
116,8.136253345281562e-08,8.136253345281562e-08,0.0
117,9.572724545208029e-08,9.572724545208029e-08,0.0
118,1.1217782563140328e-07,1.1217782563140328e-07,0.0
119,1.3109773313691516e-07,1.3109773313691516e-07,0.0
120,1.5264432866377594e-07,1.5264432866377594e-07,0.0
121,1.7726287579452774e-07,1.7726287579452774e-07,0.0
122,2.0515036931948428e-07,2.0515036931948428e-07,0.0
123,2.3681882513877764e-07,2.3681882513877764e-07,0.0
124,2.725106238196371e-07,2.725106238196371e-07,0.0
125,3.1280916520892385e-07,3.1280916520892385e-07,0.0
