t,f_total,f_a,f_b
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,4.409900708625457e-24,4.409900708625457e-24,0.0
52,2.072653333053965e-24,2.072653333053965e-24,0.0
53,5.279436110550811e-22,5.279436110550811e-22,0.0
54,2.5514017675658893e-22,2.5514017675658893e-22,0.0
55,1.8158721044227242e-20,1.8158721044227242e-20,0.0
56,2.0894432733862633e-20,2.0894432733862633e-20,0.0
57,3.2240485180037803e-19,3.2240485180037803e-19,0.0
58,4.928782811925168e-19,4.928782811925168e-19,0.0
59,3.682485491396128e-18,3.682485491396128e-18,0.0
60,6.314915033404381e-18,6.314915033404381e-18,0.0
61,3.0518460681429046e-17,3.0518460681429046e-17,0.0
62,5.4685979712305846e-17,5.4685979712305846e-17,0.0
63,1.9752795374677023e-16,1.9752795374677023e-16,0.0
64,3.571000534065539e-16,3.571000534065539e-16,0.0
65,1.0485422562448983e-15,1.0485422562448983e-15,0.0
66,1.877334374848139e-15,1.877334374848139e-15,0.0
67,4.726213468541715e-15,4.726213468541715e-15,0.0
68,8.29823490867923e-15,8.29823490867923e-15,0.0
69,1.8563176398780148e-14,1.8563176398780148e-14,0.0
70,3.180427791579758e-14,3.180427791579758e-14,0.0
71,6.481782084043654e-14,6.481782084043654e-14,0.0
72,1.0813416691124464e-13,1.0813416691124464e-13,0.0
73,2.044297205864116e-13,2.044297205864116e-13,0.0
74,3.319264793970147e-13,3.319264793970147e-13,0.0
75,5.899287609993303e-13,5.899287609993303e-13,0.0
76,9.326910623267173e-13,9.326910623267173e-13,0.0
77,1.5742526640788475e-12,1.5742526640788475e-12,0.0
78,2.426040092916179e-12,2.426040092916179e-12,0.0
79,3.919406712354141e-12,3.919406712354141e-12,0.0
80,5.895168332462542e-12,5.895168332462542e-12,0.0
81,9.172511450795608e-12,9.172511450795608e-12,0.0
82,1.3484578780897936e-11,1.3484578780897936e-11,0.0
83,2.0307100506543954e-11,2.0307100506543954e-11,0.0
84,2.922157592518198e-11,2.922157592518198e-11,0.0
85,4.276398508443423e-11,4.276398508443423e-11,0.0
86,6.032004543942654e-11,6.032004543942654e-11,0.0
87,8.606705476006373e-11,8.606705476006373e-11,0.0
88,1.1916347166445482e-10,1.1916347166445482e-10,0.0
89,1.662325231353308e-10,1.662325231353308e-10,0.0
90,2.2620706363821395e-10,2.2620706363821395e-10,0.0
91,3.0923200984888277e-10,3.0923200984888277e-10,0.0
92,4.140786143447313e-10,4.140786143447313e-10,0.0
93,5.558065783250043e-10,5.558065783250043e-10,0.0
94,7.331902706671333e-10,7.331902706671333e-10,0.0
95,9.67956327487754e-10,9.67956327487754e-10,0.0
96,1.2591947114892173e-09,1.2591947114892173e-09,0.0
97,1.6374444788667642e-09,1.6374444788667642e-09,0.0
98,2.1026256914767786e-09,2.1026256914767786e-09,0.0
99,2.6966528191336093e-09,2.6966528191336093e-09,0.0
100,3.421051651167979e-09,3.421051651167979e-09,0.0
101,4.3321044923615e-09,4.3321044923615e-09,0.0
102,5.4340403210124295e-09,5.4340403210124295e-09,0.0
103,6.800929293745965e-09,6.800929293745965e-09,0.0
104,8.441181400439075e-09,8.441181400439075e-09,0.0
105,1.0450485897102908e-08,1.0450485897102908e-08,0.0
106,1.2843344223904317e-08,1.2843344223904317e-08,0.0
107,1.574127625201771e-08,1.574127625201771e-08,0.0
108,1.9167259846063494e-08,1.9167259846063494e-08,0.0
109,2.3273192311603077e-08,2.3273192311603077e-08,0.0
110,2.809341531258148e-08,2.809341531258148e-08,0.0
111,3.3815027904722125e-08,3.3815027904722125e-08,0.0
112,4.048713604365597e-08,4.048713604365597e-08,0.0
113,4.833707330574993e-08,4.833707330574993e-08,0.0
114,5.7432614866298114e-08,5.7432614866298114e-08,0.0
115,6.804649169880525e-08,6.804649169880525e-08,0.0
116,8.026952822091362e-08,8.026952822091362e-08,0.0
117,9.442506025772368e-08,9.442506025772368e-08,0.0
118,1.1063176638165076e-07,1.1063176638165076e-07,0.0
119,1.2926874881275482e-07,1.2926874881275482e-07,0.0
120,1.5048769984971548e-07,1.5048769984971548e-07,0.0
121,1.7472851050836072e-07,1.7472851050836072e-07,0.0
122,2.021813125891291e-07,2.021813125891291e-07,0.0
123,2.3335157533592917e-07,2.3335157533592917e-07,0.0
124,2.684734579799749e-07,2.684734579799749e-07,0.0
125,3.081224720618481e-07,3.081224720618481e-07,0.0
126,3.525824379625706e-07,3.525824379625706e-07,0.0
