t,f_total,f_a,f_b
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,4.4099007086254554e-24,4.4099007086254554e-24,0.0
52,2.072653333053964e-24,2.072653333053964e-24,0.0
53,5.279436110550809e-22,5.279436110550809e-22,0.0
54,2.551401767565889e-22,2.551401767565889e-22,0.0
55,1.8158721044227245e-20,1.8158721044227245e-20,0.0
56,2.089443273386263e-20,2.089443273386263e-20,0.0
57,3.224048678093216e-19,3.224048678093216e-19,0.0
58,4.9287836072090315e-19,4.9287836072090315e-19,0.0
59,3.6824861195353875e-18,3.6824861195353875e-18,0.0
60,6.3149174192007994e-18,6.3149174192007994e-18,0.0
61,3.0518471701958823e-17,3.0518471701958823e-17,0.0
62,5.468601462040877e-17,5.468601462040877e-17,0.0
63,1.9752807542040964e-16,1.9752807542040964e-16,0.0
64,3.571003897830445e-16,3.571003897830445e-16,0.0
65,1.0485432316206334e-15,1.0485432316206334e-15,0.0
66,1.877336795975212e-15,1.877336795975212e-15,0.0
67,4.726219612888104e-15,4.726219612888104e-15,0.0
68,8.29824887317713e-15,8.29824887317713e-15,0.0
69,1.856320838345127e-14,1.856320838345127e-14,0.0
70,3.180434543460652e-14,3.180434543460652e-14,0.0
71,6.481796329359448e-14,6.481796329359448e-14,0.0
72,1.0813444930350929e-13,1.0813444930350929e-13,0.0
73,2.0443027740357512e-13,2.0443027740357512e-13,0.0
74,3.3192752494355594e-13,3.3192752494355594e-13,0.0
75,5.899307084696998e-13,5.899307084696998e-13,0.0
76,9.326945502917467e-13,9.326945502917467e-13,0.0
77,1.5742588519065256e-12,1.5742588519065256e-12,0.0
78,2.4260507241549863e-12,2.4260507241549863e-12,0.0
79,3.9194247925374926e-12,3.9194247925374926e-12,0.0
80,5.895198272204648e-12,5.895198272204648e-12,0.0
81,9.172560517459332e-12,9.172560517459332e-12,0.0
82,1.3484657405617044e-11,1.3484657405617044e-11,0.0
83,2.0307225209152185e-11,2.0307225209152185e-11,0.0
84,2.9221769943604536e-11,2.9221769943604536e-11,0.0
85,4.2764283955566547e-11,4.2764283955566547e-11,0.0
86,6.032049823672164e-11,6.032049823672164e-11,0.0
87,8.606773423408748e-11,8.606773423408748e-11,0.0
88,1.191644765839681e-10,1.191644765839681e-10,0.0
89,1.6623399591867037e-10,1.6623399591867037e-10,0.0
90,2.2620919462368756e-10,2.2620919462368756e-10,0.0
91,3.092350667520664e-10,3.092350667520664e-10,0.0
92,4.140829497851818e-10,4.140829497851818e-10,0.0
93,5.558126772907492e-10,5.558126772907492e-10,0.0
94,7.331987633563219e-10,7.331987633563219e-10,0.0
95,9.67968063304931e-10,9.67968063304931e-10,0.0
96,1.2592107802904984e-09,1.2592107802904984e-09,0.0
97,1.6374663228907283e-09,1.6374663228907283e-09,0.0
98,2.1026551394826355e-09,2.1026551394826355e-09,0.0
99,2.6966922510980285e-09,2.6966922510980285e-09,0.0
100,3.421104051649722e-09,3.421104051649722e-09,0.0
101,4.332173686763158e-09,4.332173686763158e-09,0.0
102,5.434131056857861e-09,5.434131056857861e-09,0.0
103,6.801047571773103e-09,6.801047571773103e-09,0.0
104,8.441334595390784e-09,8.441334595390784e-09,0.0
105,1.045068321181549e-08,1.045068321181549e-08,0.0
106,1.2843596864720603e-08,1.2843596864720603e-08,0.0
107,1.574159803927042e-08,1.574159803927042e-08,0.0
108,1.9167667463328104e-08,1.9167667463328104e-08,0.0
109,2.3273706111427104e-08,2.3273706111427104e-08,0.0
110,2.809405966347941e-08,2.809405966347941e-08,0.0
111,3.381583223653365e-08,3.381583223653365e-08,0.0
112,4.0488135321388015e-08,4.0488135321388015e-08,0.0
113,4.833830936440799e-08,4.833830936440799e-08,0.0
114,5.7434137046308136e-08,5.7434137046308136e-08,0.0
115,6.804835852539489e-08,6.804835852539489e-08,0.0
116,8.0271808241773e-08,8.0271808241773e-08,0.0
117,9.442783412685833e-08,9.442783412685833e-08,0.0
118,1.1063512794600925e-07,1.1063512794600925e-07,0.0
119,1.2927280766477714e-07,1.2927280766477714e-07,0.0
120,1.504925827156868e-07,1.504925827156868e-07,0.0
121,1.7473436433749364e-07,1.7473436433749364e-07,0.0
122,2.021883063021974e-07,2.021883063021974e-07,0.0
123,2.3335990352151796e-07,2.3335990352151796e-07,0.0
124,2.6848334306730104e-07,2.6848334306730104e-07,0.0
125,3.0813416869667277e-07,3.0813416869667277e-07,0.0
