t,f_total,f_a,f_b
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.016224000000000002,0.016224000000000002,0.0
5,0.0129792,0.0129792,0.0
6,0.016405708800000005,0.016405708800000005,0.0
7,0.014495170559999996,0.014495170559999996,0.0
8,0.014602520657919997,0.014602520657919997,0.0
9,0.013316263247871997,0.013316263247871997,0.0
10,0.012664291287105535,0.012664291287105535,0.0
11,0.011680787225116673,0.011680787225116673,0.0
12,0.010932484349990139,0.010932484349990139,0.0
13,0.010138727510617406,0.010138727510617406,0.0
14,0.009457958185038468,0.009457958185038468,0.0
15,0.008804388141088722,0.008804388141088722,0.0
16,0.008220409839727971,0.008220409839727971,0.0
17,0.007677119492029087,0.007677119492029087,0.0
18,0.007183832194909526,0.007183832194909526,0.0
19,0.00672899057391386,0.00672899057391386,0.0
20,0.00631278006686696,0.00631278006686696,0.0
21,0.005929389518233819,0.005929389518233819,0.0
22,0.005576812562025001,0.005576812562025001,0.0
23,0.005251449117688446,0.005251449117688446,0.0
24,0.0049510614326847375,0.0049510614326847375,0.0
25,0.004673102273816126,0.004673102273816126,0.0
26,0.004415600189411007,0.004415600189411007,0.0
27,0.004176626699417597,0.004176626699417597,0.0
28,0.003954552964123048,0.003954552964123048,0.0
29,0.0037478704527566216,0.0037478704527566216,0.0
30,0.003555257872223482,0.003555257872223482,0.0
31,0.003375514309931694,0.003375514309931694,0.0
32,0.0032075703985069977,0.0032075703985069977,0.0
33,0.0030504589842060663,0.0030504589842060663,0.0
34,0.0029033112372859487,0.0029033112372859487,0.0
35,0.0027653410174070725,0.0027653410174070725,0.0
36,0.002635838020942488,0.002635838020942488,0.0
37,0.0025141579420012543,0.0025141579420012543,0.0
38,0.0023997160014728822,0.0023997160014728822,0.0
39,0.0022919800634960685,0.0022919800634960685,0.0
40,0.0021904652704305147,0.0021904652704305147,0.0
41,0.0020947289449108064,0.0020947289449108064,0.0
42,0.002004366316329492,0.002004366316329492,0.0
43,0.0019190066319051515,0.0019190066319051515,0.0
44,0.001838309789822177,0.001838309789822177,0.0
45,0.00176196332200895,0.00176196332200895,0.0
46,0.0016896797412485282,0.0016896797412485282,0.0
47,0.001621194173125486,0.001621194173125486,0.0
48,0.001556262255922905,0.001556262255922905,0.0
49,0.0014946582646224648,0.0014946582646224648,0.0
50,0.0014361734374881605,0.0014361734374881605,0.0
51,0.0013806144772973165,0.0013806144772973165,1.4576080109926907e-30
52,0.0013278022082034028,0.0013278022082034028,1.4867601712125434e-29
53,0.001277570368760409,0.001277570368760409,2.4058753090561367e-28
54,0.0012297645258344805,0.0012297645258344805,2.003893023351269e-27
55,0.0011842410951601796,0.0011842410951601796,1.514993493519936e-26
56,0.001140866456647197,0.001140866456647197,9.162226106050782e-26
57,0.0010995161537486484,0.0010995161537486484,4.883274396187159e-25
58,0.0010600741677077449,0.0010600741677077449,2.2903427068062812e-24
59,0.0010224322585402905,0.0010224322585402905,9.70789465021415e-24
60,0.0009864893656594184,0.0009864893656594184,3.7550977427908793e-23
61,0.0009521510618750197,0.0009521510618750197,1.341728601036038e-22
62,0.0009193290552644095,0.0009193290552644095,4.464712673530933e-22
63,0.000887940734048366,0.000887940734048366,1.3939783930704702e-21
64,0.0008579087501765935,0.0008579087501765935,4.1082645198284475e-21
65,0.0008291606378149541,0.0008291606378149541,1.148883992716567e-20
66,0.0008016284633578432,0.0008016284633578432,3.0622967619748853e-20
67,0.0007752485039631986,0.0007752485039631985,7.810280105401719e-20
68,0.0007499609519367998,0.0007499609519367996,1.9125637500747173e-19
69,0.0007257096425803394,0.0007257096425803389,4.510299630161268e-19
70,0.0007024418033711376,0.0007024418033711366,1.0270663614035214e-18
71,0.0006801078225641021,0.0006801078225640998,2.2637861196774914e-18
72,0.0006586610355030615,0.0006586610355030566,4.840053970118674e-18
73,0.0006380575271020981,0.000638057527102088,1.0057405618202639e-17
74,0.0006182559491110566,0.0006182559491110362,2.0347287948513603e-17
75,0.0005992173509154955,0.0005992173509154554,4.014270851791933e-17
76,0.0005809050227422105,0.0005809050227421332,7.734290415967059e-17
77,0.0005632843502489676,0.0005632843502488219,1.4572312425894333e-16
78,0.0005463226795729166,0.0005463226795726478,2.6882131336494975e-16
79,0.000529989191997698,0.000529989191997212,4.860902082371273e-16
80,0.0005142547874757828,0.0005142547874749204,8.624638132273653e-16
81,0.0004990919763111435,0.0004990919763096405,1.5029850158595644e-15
82,0.00048447477836888994,0.0004844747783663151,2.574817869432435e-15
83,0.00047037862923383206,0.00047037862922949216,4.339874523192303e-15
84,0.00045678029278974525,0.0004567802927825428,7.202483713051232e-15
85,0.00044365777973606773,0.00044365777972428966,1.1778086911029347e-14
86,0.0004309902715993535,0.00043099027158036255,1.899095309205559e-14
87,0.0004187580498335459,0.00041875804980333445,3.0211449149978446e-14
88,0.0004069424296364318,0.00040694242958898524,4.744659803615136e-14
89,0.00039552569813984995,0.00039552569806624834,7.360162043838926e-14
90,0.00038449105665868647,0.00038449105654585143,1.1283501927417793e-13
91,0.0003738225667086807,0.00037382256653764503,1.7103567056186933e-13
92,0.0003635050995258364,0.00036350509926937893,2.564574788983999e-13
93,0.0003535242888410089,0.0003535242884604533,3.8055559656241083e-13
94,0.00034386648668221896,0.0003438664861231408,5.590781513839908e-13
95,0.00033451872199460615,0.0003345187211811271,8.134790393821531e-13
96,0.0003254686618838267,0.00032546866071109595,1.172730769633971e-12
97,0.00031670457530327134,0.0003167045736276396,1.6756317490789463e-12
98,0.00030821529901885013,0.00030821529664513026,2.3737198999634244e-12
99,0.00029999020569737133,0.0002999902023624471,3.334924231444549e-12
100,0.0002920191739758325,0.0002920191693277245,4.6481080367313805e-12
101,0.0002842925603793363,0.0002842925539506545,6.428681828540064e-12
