kappa,t,smoothed_f,phase,t_peak1,t_valley,t_peak2
0.014,0,0.0,1,535,1586,2028
0.014,1,0.0,1,535,1586,2028
0.014,2,0.0,1,535,1586,2028
0.014,3,0.0,1,535,1586,2028
0.014,4,0.0,1,535,1586,2028
0.014,5,0.0,1,535,1586,2028
0.014,6,0.0,1,535,1586,2028
0.014,7,0.0,1,535,1586,2028
0.014,8,0.0,1,535,1586,2028
0.014,9,0.0,1,535,1586,2028
0.014,10,0.0,1,535,1586,2028
0.014,11,0.0,1,535,1586,2028
0.014,12,0.0,1,535,1586,2028
0.014,13,0.0,1,535,1586,2028
0.014,14,0.0,1,535,1586,2028
0.014,15,0.0,1,535,1586,2028
0.014,16,0.0,1,535,1586,2028
0.014,17,0.0,1,535,1586,2028
0.014,18,0.0,1,535,1586,2028
0.014,19,0.0,1,535,1586,2028
0.014,20,0.0,1,535,1586,2028
0.014,21,0.0,1,535,1586,2028
0.014,22,0.0,1,535,1586,2028
0.014,23,0.0,1,535,1586,2028
0.014,24,0.0,1,535,1586,2028
0.014,25,0.0,1,535,1586,2028
0.014,26,0.0,1,535,1586,2028
0.014,27,0.0,1,535,1586,2028
0.014,28,0.0,1,535,1586,2028
0.014,29,0.0,1,535,1586,2028
0.014,30,0.0,1,535,1586,2028
0.014,31,0.0,1,535,1586,2028
0.014,32,0.0,1,535,1586,2028
0.014,33,0.0,1,535,1586,2028
0.014,34,0.0,1,535,1586,2028
0.014,35,0.0,1,535,1586,2028
0.014,36,0.0,1,535,1586,2028
0.014,37,0.0,1,535,1586,2028
0.014,38,0.0,1,535,1586,2028
0.014,39,0.0,1,535,1586,2028
0.014,40,0.0,1,535,1586,2028
0.014,41,0.0,1,535,1586,2028
0.014,42,0.0,1,535,1586,2028
0.014,43,0.0,1,535,1586,2028
0.014,44,0.0,1,535,1586,2028
0.014,45,0.0,1,535,1586,2028
0.014,46,0.0,1,535,1586,2028
0.014,47,0.0,1,535,1586,2028
0.014,48,5.169289698094429e-28,1,535,1586,2028
0.014,49,1.902298608898749e-27,1,535,1586,2028
0.014,50,6.483860745478637e-26,1,535,1586,2028
0.014,51,2.3652989019013457e-25,1,535,1586,2028
0.014,52,2.5348957465899353e-24,1,535,1586,2028
0.014,53,1.0052579862627492e-23,1,535,1586,2028
0.014,54,5.771538279418551e-23,1,535,1586,2028
0.014,55,2.129005151392567e-22,1,535,1586,2028
0.014,56,8.673196135046895e-22,1,535,1586,2028
0.014,57,2.8362482643321206e-21,1,535,1586,2028
0.014,58,9.318701129293514e-21,1,535,1586,2028
0.014,59,2.702804358571686e-20,1,535,1586,2028
0.014,60,7.63662471893422e-20,1,535,1586,2028
0.014,61,1.9913920997007785e-19,1,535,1586,2028
0.014,62,5.017856632449856e-19,1,535,1586,2028
0.014,63,1.1941751307276525e-18,1,535,1586,2028
0.014,64,2.7459896810285046e-18,1,535,1586,2028
0.014,65,6.043450142695041e-18,1,535,1586,2028
0.014,66,1.2884627895042296e-17,1,535,1586,2028
0.014,67,2.6513697159819467e-17,1,535,1586,2028
0.014,68,5.3023030163270473e-17,1,535,1586,2028
0.014,69,1.0294074281504868e-16,1,535,1586,2028
0.014,70,1.9483368192672586e-16,1,535,1586,2028
0.014,71,3.595160849744676e-16,1,535,1586,2028
0.014,72,6.485580482503878e-16,1,535,1586,2028
0.014,73,1.1444140249884977e-15,1,535,1586,2028
0.014,74,1.979070981337955e-15,1,535,1586,2028
0.014,75,3.3564762174947525e-15,1,535,1586,2028
0.014,76,5.590781749105064e-15,1,535,1586,2028
0.014,77,9.152532915062309e-15,1,535,1586,2028
0.014,78,1.4742568038698254e-14,1,535,1586,2028
0.014,79,2.3381262617042103e-14,1,535,1586,2028
0.014,80,3.654386888471482e-14,1,535,1586,2028
0.014,81,5.632346616201808e-14,1,535,1586,2028
0.014,82,8.566708131756083e-14,1,535,1586,2028
0.014,83,1.2865855790444254e-13,1,535,1586,2028
0.014,84,1.909127450608974e-13,1,535,1586,2028
0.014,85,2.8004473769478997e-13,1,535,1586,2028
0.014,86,4.0630204833363104e-13,1,535,1586,2028
0.014,87,5.833117231032804e-13,1,535,1586,2028
0.014,88,8.290576299471296e-13,1,535,1586,2028
0.014,89,1.1670265180608307e-12,1,535,1586,2028
0.014,90,1.6276688190842518e-12,1,535,1586,2028
0.014,91,2.250097988742686e-12,1,535,1586,2028
0.014,92,3.084207481481502e-12,1,535,1586,2028
0.014,93,4.193113379600879e-12,1,535,1586,2028
0.014,94,5.6561359419882956e-12,1,535,1586,2028
0.014,95,7.57221181009447e-12,1,535,1586,2028
0.014,96,1.0063983810859498e-11,1,535,1586,2028
0.014,97,1.3282443785056763e-11,1,535,1586,2028
0.014,98,1.7412406908343294e-11,1,535,1586,2028
0.014,99,2.267867704284651e-11,1,535,1586,2028
0.014,100,2.935320934576417e-11,1,535,1586,2028
0.014,101,3.776311456627044e-11,1,535,1586,2028
0.014,102,4.8299833777101274e-11,1,535,1586,2028
0.014,103,6.142931390937023e-11,1,535,1586,2028
0.014,104,7.770352890169554e-11,1,535,1586,2028
0.014,105,9.777316395551525e-11,1,535,1586,2028
0.014,106,1.2240181643367647e-10,1,535,1586,2028
0.014,107,1.524815192329113e-10,1,535,1586,2028
0.014,108,1.890499410490787e-10,1,535,1586,2028
0.014,109,2.333090588545554e-10,1,535,1586,2028
0.014,110,2.866456499301269e-10,1,535,1586,2028
0.014,111,3.506533892774284e-10,1,535,1586,2028
0.014,112,4.271568849808338e-10,1,535,1586,2028
0.014,113,5.182374287034522e-10,1,535,1586,2028
0.014,114,6.262607720127949e-10,1,535,1586,2028
0.014,115,7.539066977647675e-10,1,535,1586,2028
0.014,116,9.042006691438194e-10,1,535,1586,2028
0.014,117,1.080547318179541e-09,1,535,1586,2028
0.014,118,1.2867660231017389e-09,1,535,1586,2028
0.014,119,1.5271283294072993e-09,1,535,1586,2028
0.014,120,1.8063974268525918e-09,1,535,1586,2028
0.014,121,2.1298694307386036e-09,1,535,1586,2028
0.014,122,2.5034166399366698e-09,1,535,1586,2028
0.014,123,2.9335325140072592e-09,1,535,1586,2028
0.014,124,3.427378500776111e-09,1,535,1586,2028
0.014,125,3.992832451315455e-09,1,535,1586,2028
0.014,126,4.638538712542797e-09,1,535,1586,2028
0.014,127,5.373959629767068e-09,1,535,1586,2028
0.014,128,6.2094285093284e-09,1,535,1586,2028
0.014,129,7.156203770049975e-09,1,535,1586,2028
0.014,130,8.22652429569182e-09,1,535,1586,2028
0.014,131,9.433665714764867e-09,1,535,1586,2028
0.014,132,1.0791997584919613e-08,1,535,1586,2028
0.014,133,1.2317041207409158e-08,1,535,1586,2028
0.014,134,1.4025528017550825e-08,1,535,1586,2028
0.014,135,1.5935458277566265e-08,1,535,1586,2028
0.014,136,1.8066159990652944e-08,1,535,1586,2028
0.014,137,2.0438347765492922e-08,1,535,1586,2028
0.014,138,2.3074181527564264e-08,1,535,1586,2028
0.014,139,2.5997324811396337e-08,1,535,1586,2028
0.014,140,2.9233002512435526e-08,1,535,1586,2028
0.014,141,3.280805783981666e-08,1,535,1586,2028
0.014,142,3.67510083358548e-08,1,535,1586,2028
0.014,143,4.1092100712974333e-08,1,535,1586,2028
0.014,144,4.5863364365811754e-08,1,535,1586,2028
0.014,145,5.109866332088499e-08,1,535,1586,2028
0.014,146,5.6833746478074133e-08,1,535,1586,2028
0.014,147,6.310629592016033e-08,1,535,1586,2028
0.014,148,6.995597314548272e-08,1,535,1586,2028
0.014,149,7.742446301585678e-08,1,535,1586,2028
0.014,150,8.555551527957945e-08,1,535,1586,2028
0.014,151,9.439498347941666e-08,1,535,1586,2028
0.014,152,1.0399086111370056e-07,1,535,1586,2028
0.014,153,1.1439331487980855e-07,1,535,1586,2028
0.014,154,1.2565471487953687e-07,1,535,1586,2028
0.014,155,1.3782966163637318e-07,1,535,1586,2028
0.014,156,1.509750098181725e-07,1,535,1586,2028
0.014,157,1.651498885370366e-07,1,535,1586,2028
0.014,158,1.804157181360117e-07,1,535,1586,2028
0.014,159,1.9683622335695251e-07,1,535,1586,2028
0.014,160,2.1447744281691353e-07,1,535,1586,2028
0.014,161,2.334077347103994e-07,1,535,1586,2028
0.014,162,2.536977786837452e-07,1,535,1586,2028
0.014,163,2.75420573822063e-07,1,535,1586,2028
0.014,164,2.986514327146514e-07,1,535,1586,2028
0.014,165,3.2346797156222296e-07,1,535,1586,2028
0.014,166,3.499500963117699e-07,1,535,1586,2028
0.014,167,3.781799848048661e-07,1,535,1586,2028
0.014,168,4.0824206494506137e-07,1,535,1586,2028
0.014,169,4.4022298889186687e-07,1,535,1586,2028
0.014,170,4.7421160330639114e-07,1,535,1586,2028
0.014,171,5.102989156768396e-07,1,535,1586,2028
0.014,172,5.485780567676038e-07,1,535,1586,2028
0.014,173,5.891442392396724e-07,1,535,1586,2028
0.014,174,6.320947125037542e-07,1,535,1586,2028
0.014,175,6.775287138719864e-07,1,535,1586,2028
0.014,176,7.255474160860679e-07,1,535,1586,2028
0.014,177,7.762538713042993e-07,1,535,1586,2028
0.014,178,8.29752951640425e-07,1,535,1586,2028
0.014,179,8.861512863517273e-07,1,535,1586,2028
