kappa,phase,sep_peaks,t_peak1,t_valley,t_peak2,tau_mem_peak1,tau_mem_valley,tau_mem_peak2,tau_out_peak2
0.012,1,0.3113010635125733,538,1544,2104,0.0373069893374628,0.41490934025847265,0.4662485265525233,0.999968956301632
0.013,1,0.30049985298441634,536,1563,2069,0.0418776833713707,0.43945446922716985,0.48940099014343863,0.9999651170728174
0.014,1,0.2887535054636882,535,1586,2028,0.04683103155853996,0.4636522430965,0.51015871357803,0.9999587312126742
0.0145,1,0.2824478816408877,535,1601,2005,0.04949762020430612,0.4759259487748888,0.519622955397683,0.99995412956972
0.0148,1,0.2787136294027565,534,1611,1990,0.050889487567832056,0.48332805051825045,0.5249684100367743,0.9999506274104072
0.0149,1,0.27738482125788566,534,1615,1985,0.05143480794349595,0.4858718511586143,0.5267148554676073,0.9999493943009448
0.015,1,0.2758949880668258,534,1618,1979,0.051982497618059266,0.488267001647183,0.5283407646466686,0.9999477202667323
0.0151,1,0.27457336257031173,534,1622,1974,0.05253254915500716,0.49079351981174935,0.5300516675639231,0.9999464064935024
0.0152,1,0.2731168460146653,534,1626,1968,0.05308495510359332,0.49331132258605687,0.5316411391808311,0.9999446245318458
0.0153,0,0.0,,,,nan,nan,nan,nan
