case,window,t_lo,t_hi,region,region_label,region_formula,cell_count,occupancy_share,mean_cell_occupancy,max_cell_occupancy,hit_mass,window_flux_c2o,window_flux_o2c
corridor_only_soft,peak1,528,580,left_core,Left core,x < 5 and |y-7| <= 1,15,0.004629015700547244,0.0003086010467031496,0.0005222951854709708,0.01770578314665283,6.031739240041678e-05,8.35897695257799e-05
corridor_only_soft,peak1,528,580,left_shoulders,Left shoulders,x < 5 and 5 <= y <= 9 and |y-7| > 1,10,0.0024099152775728864,0.00024099152775728863,0.00034470121586286756,0.01770578314665283,6.031739240041678e-05,8.35897695257799e-05
corridor_only_soft,peak1,528,580,left_outer,Left outer,x < 5 and (y < 5 or y > 9),50,0.004570835943566357,9.141671887132714e-05,0.00020323138588642146,0.01770578314665283,6.031739240041678e-05,8.35897695257799e-05
corridor_only_soft,peak1,528,580,corridor,Corridor,5 <= x <= 54 and 5 <= y <= 9,250,0.9039851420825834,0.0036159405683303335,0.005739990990914082,0.01770578314665283,6.031739240041678e-05,8.35897695257799e-05
corridor_only_soft,peak1,528,580,outer_reservoir,Outer reservoir,5 <= x <= 54 and (y < 5 or y > 9),500,0.007874362849647031,1.5748725699294063e-05,0.0005380989995799417,0.01770578314665283,6.031739240041678e-05,8.35897695257799e-05
corridor_only_soft,peak1,528,580,target_funnel,Target funnel,x > 54,75,0.07653072814608303,0.0010204097086144405,0.005599358241686433,0.01770578314665283,6.031739240041678e-05,8.35897695257799e-05
corridor_only_soft,valley,1464,1516,left_core,Left core,x < 5 and |y-7| <= 1,15,0.06825197849064335,0.0045501318993762235,0.00827524130966149,0.0033825353833496254,0.000349856574238061,0.00030235746382723915
corridor_only_soft,valley,1464,1516,left_shoulders,Left shoulders,x < 5 and 5 <= y <= 9 and |y-7| > 1,10,0.044609519659287375,0.0044609519659287375,0.008156563990719902,0.0033825353833496254,0.000349856574238061,0.00030235746382723915
corridor_only_soft,valley,1464,1516,left_outer,Left outer,x < 5 and (y < 5 or y > 9),50,0.20747210459367202,0.00414944209187344,0.00803116247885263,0.0033825353833496254,0.000349856574238061,0.00030235746382723915
corridor_only_soft,valley,1464,1516,corridor,Corridor,5 <= x <= 54 and 5 <= y <= 9,250,0.5242498283604571,0.0020969993134418285,0.0035842446067208037,0.0033825353833496254,0.000349856574238061,0.00030235746382723915
corridor_only_soft,valley,1464,1516,outer_reservoir,Outer reservoir,5 <= x <= 54 and (y < 5 or y > 9),500,0.11233636526852286,0.00022467273053704574,0.0012412373696054344,0.0033825353833496254,0.000349856574238061,0.00030235746382723915
corridor_only_soft,valley,1464,1516,target_funnel,Target funnel,x > 54,75,0.04308020362741736,0.0005744027150322315,0.0029793998374297455,0.0033825353833496254,0.000349856574238061,0.00030235746382723915
corridor_only_soft,peak2,2301,2353,left_core,Left core,x < 5 and |y-7| <= 1,15,0.06224311448499623,0.004149540965666416,0.007780496919991148,0.004489990712372687,0.0004807149285424488,0.00025172141722862843
corridor_only_soft,peak2,2301,2353,left_shoulders,Left shoulders,x < 5 and 5 <= y <= 9 and |y-7| > 1,10,0.04146774196662932,0.004146774196662932,0.007774045525888323,0.004489990712372687,0.0004807149285424488,0.00025172141722862843
corridor_only_soft,peak2,2301,2353,left_outer,Left outer,x < 5 and (y < 5 or y > 9),50,0.20699009802706766,0.004139801960541353,0.007766649677288925,0.004489990712372687,0.0004807149285424488,0.00025172141722862843
corridor_only_soft,peak2,2301,2353,corridor,Corridor,5 <= x <= 54 and 5 <= y <= 9,250,0.4406483451863272,0.0017625933807453088,0.0025855398792395574,0.004489990712372687,0.0004807149285424488,0.00025172141722862843
corridor_only_soft,peak2,2301,2353,outer_reservoir,Outer reservoir,5 <= x <= 54 and (y < 5 or y > 9),500,0.21104763355268313,0.00042209526710536624,0.001277585431637879,0.004489990712372687,0.0004807149285424488,0.00025172141722862843
corridor_only_soft,peak2,2301,2353,target_funnel,Target funnel,x > 54,75,0.03760306678229662,0.0005013742237639549,0.0024409285156680115,0.004489990712372687,0.0004807149285424488,0.00025172141722862843
