window,region,region_label,occupancy_share,ever_visit_probability
peak1,target_funnel,Target funnel,0.07653072814608303,1.0000000000000162
peak1,outer_reservoir,Outer reservoir,0.007874362849647031,0.2193754676647952
peak1,left_outer,Left outer,0.004570835943566357,0.06906428493830588
peak1,left_shoulders,Left shoulders,0.0024099152775728864,0.13383660682860082
peak1,left_core,Left core,0.004629015700547244,0.16887532572541347
valley,target_funnel,Target funnel,0.04308020362741736,1.0000000000000495
valley,outer_reservoir,Outer reservoir,0.11233636526852286,0.9349936391197992
valley,left_outer,Left outer,0.20747210459367202,0.8721924685147732
valley,left_shoulders,Left shoulders,0.044609519659287375,0.8838398031962881
valley,left_core,Left core,0.06825197849064335,0.8674457011317684
peak2,target_funnel,Target funnel,0.03760306678229662,1.0000000000000668
peak2,outer_reservoir,Outer reservoir,0.21104763355268313,0.9992436734036201
peak2,left_outer,Left outer,0.20699009802706766,0.9925011769108971
peak2,left_shoulders,Left shoulders,0.04146774196662932,0.9928522158536919
peak2,left_core,Left core,0.06224311448499623,0.9786764443014015
