case,window,L0R0,L0R1,L1R0,L1R1
sym_shared,peak1,0.251658969708498,0.743953327578332,0.0010059820517172406,0.0033817206614528616
sym_shared,valley,0.006820879260550659,0.6795718721708734,0.021479344978348223,0.2921279035902276
sym_shared,peak2,0.0009508579859928979,0.8811529949058483,0.0015914397585609047,0.11630470734959786
tb_asym_balanced,peak1,0.2521274800458968,0.7451733357948073,0.0006166885202294435,0.0020824956390664883
tb_asym_balanced,valley,0.007802206833310198,0.7716126033100374,0.015106747108396289,0.20547844274825597
tb_asym_balanced,peak2,0.0009872983926914238,0.9246675760719796,0.0009676518791705717,0.07337747365615838
dir_asym_easy_out_balanced,peak1,0.2527772961743774,0.7447038077695326,0.0004396241816331227,0.0020792718744568595
dir_asym_easy_out_balanced,valley,0.007605658580268906,0.7388339488326617,0.006123914808263289,0.24743647777880617
dir_asym_easy_out_balanced,peak2,0.0009760164201361069,0.9057455126060149,0.00039713208628541324,0.09288133888756352
dir_asym_easy_in_balanced,peak1,0.2515352061763434,0.7458008745009557,0.0007329170619871654,0.0019310022607137685
dir_asym_easy_in_balanced,valley,0.008093086390353674,0.8082314813521655,0.02463209207843686,0.15904334017904412
dir_asym_easy_in_balanced,peak2,0.0010013604487109705,0.9439726076597944,0.0016021579649770532,0.05342387392651762
